,Northern Natural @ Demarc,,,,,,Enron Energy Services
,,,,premium per mmbtu for the volume,option premium,,
,2001-11-01 00:00:00,1500.0,,0.16,0.4,,
,2001-12-01 00:00:00,1850.0,,0.214,0.535,,
,2002-01-01 00:00:00,2250.0,,0.256,0.639,,"Larry, per our conversation these are"
,2002-02-01 00:00:00,1975.0,,0.237,0.5920000000000001,,the daily volumes by month.
,2002-03-01 00:00:00,1525.0,,0.17,0.426,,
,2002-04-01 00:00:00,1275.0,,0.068,0.17,,ENA Sells Demarc Index (Offered + $.05)
,2002-05-01 00:00:00,875.0,,0.074,0.185,,ENA Sells 20% daily FOM Index Call
,2002-06-01 00:00:00,800.0,,0.073,0.182,,ENA Sells 20% daily FOM Index Put
,2002-07-01 00:00:00,650.0,,0.081,0.20299999999999999,,
,2002-08-01 00:00:00,575.0,,0.088,0.219,,"Thanks,"
,2002-09-01 00:00:00,600.0,,0.086,0.214,,Bryant Frihart x 31505
,2002-10-01 00:00:00,675.0,,0.094,0.23399999999999999,,
,2002-11-01 00:00:00,800.0,,0.139,0.347,,
,2002-12-01 00:00:00,900.0,,0.184,0.46099999999999997,,
,2003-01-01 00:00:00,1050.0,,0.197,0.493,,
,2003-02-01 00:00:00,975.0,,0.182,0.454,,
,2003-03-01 00:00:00,775.0,,0.145,0.362,,
,2003-04-01 00:00:00,775.0,,0.059,0.148,,
,2003-05-01 00:00:00,625.0,,0.065,0.16199999999999998,,
,2003-06-01 00:00:00,600.0,,0.064,0.16,,
,2003-07-01 00:00:00,600.0,,0.071,0.177,,
,2003-08-01 00:00:00,550.0,,0.076,0.191,,
,2003-09-01 00:00:00,550.0,,0.075,0.187,,
,2003-10-01 00:00:00,600.0,,0.081,0.20299999999999999,,
,2003-11-01 00:00:00,750.0,,0.122,0.305,,
,2003-12-01 00:00:00,850.0,,0.161,0.40299999999999997,,
,2004-01-01 00:00:00,950.0,,0.174,0.434,,
,2004-02-01 00:00:00,950.0,,0.164,0.409,,
,2004-03-01 00:00:00,725.0,,0.13,0.326,,
