,-----Monthly-----,-----Monthly-----,-----Monthly-----,,,
% Load,Variable Rebate,Automatic Rebate 10MW vs. 7.5MW,Total Rebate,Annual Rebate,,
1,0,31050.030000000002,31050.030000000002,372600.36000000004,10000.0,Billed KW
0.99,910.4996999999858,31050.030000000002,31960.52969999999,383526.3563999999,10000.0,Max HP
0.98,1820.9994000000006,31050.030000000002,32871.0294,394452.3528,7457.0,Max KW
0.97,2731.499100000001,31050.030000000002,33781.5291,405378.3492,12.21,Avoidable Demand Charge
0.96,3641.998800000001,31050.030000000002,34692.0288,416304.3456,,
0.95,4552.4985000000015,31050.030000000002,35602.5285,427230.342,,
0.94,5462.998200000002,31050.030000000002,36513.0282,438156.3384,,
0.93,6373.497899999988,31050.030000000002,37423.52789999999,449082.33479999984,,
0.92,7283.997599999988,31050.030000000002,38334.02759999999,460008.33119999984,,
0.91,8194.497300000003,31050.030000000002,39244.5273,470934.3276,,
0.9,9104.996999999988,31050.030000000002,40155.02699999999,481860.32399999985,,
0.89,10015.496699999989,31050.030000000002,41065.52669999999,492786.32039999985,,
0.88,10925.996400000004,31050.030000000002,41976.0264,503712.31680000003,,
0.87,11836.49609999999,31050.030000000002,42886.52609999999,514638.31319999986,,
0.86,12746.995800000004,31050.030000000002,43797.0258,525564.3096,,
0.85,13657.495500000005,31050.030000000002,44707.5255,536490.3060000001,,
0.84,14567.99519999999,31050.030000000002,45618.02519999999,547416.3023999999,,
0.83,15478.494900000005,31050.030000000002,46528.524900000004,558342.2988,,
0.82,16388.994600000005,31050.030000000002,47439.024600000004,569268.2952,,
0.81,17299.49429999999,31050.030000000002,48349.52429999999,580194.2915999999,,
0.8,18209.99399999999,31050.030000000002,49260.02399999999,591120.288,,
0.79,19120.49369999999,31050.030000000002,50170.52369999999,602046.2843999999,,
0.78,20030.993399999992,31050.030000000002,51081.02339999999,612972.2807999998,,
0.77,20941.493099999992,31050.030000000002,51991.52309999999,623898.2771999999,,
0.76,21851.992799999993,31050.030000000002,52902.02279999999,634824.2736,,
0.75,22762.492499999993,31050.030000000002,53812.52249999999,645750.2699999999,,
0.74,23672.992199999993,31050.030000000002,54723.02219999999,656676.2663999998,,
0.73,24583.491899999994,31050.030000000002,55633.52189999999,667602.2627999999,,
0.72,25493.991599999994,31050.030000000002,56544.02159999999,678528.2592,,
0.71,26404.4913,31050.030000000002,57454.52130000001,689454.2556,,
0.7,27314.991,31050.030000000002,58365.02100000001,700380.2520000001,,
0.69,28225.490699999995,31050.030000000002,59275.520699999994,711306.2483999999,,
0.68,29135.990399999995,31050.030000000002,60186.020399999994,722232.2448,,
0.67,30046.490099999988,31050.030000000002,61096.520099999994,733158.2411999999,,
0.66,30956.989799999996,31050.030000000002,62007.019799999995,744084.2375999999,,
0.65,31867.489499999996,31050.030000000002,62917.519499999995,755010.2339999999,,
0.64,32777.98919999999,31050.030000000002,63828.019199999995,765936.2304,,
0.63,33688.4889,31050.030000000002,64738.518899999995,776862.2268,,
0.62,34598.9886,31050.030000000002,65649.0186,787788.2231999999,,
0.61,35509.488300000005,31050.030000000002,66559.51830000001,798714.2196000002,,
0.6,36419.988,31050.030000000002,67470.018,809640.216,,
0.59,37330.4877,31050.030000000002,68380.5177,820566.2124,,
0.58,38240.987400000005,31050.030000000002,69291.01740000001,831492.2088000001,,
0.57,39151.4871,31050.030000000002,70201.5171,842418.2052,,
0.56,40061.9868,31050.030000000002,71112.0168,853344.2016,,
0.55,40972.48649999999,31050.030000000002,72022.5165,864270.198,,
0.54,41882.98619999999,31050.030000000002,72933.0162,875196.1943999999,,
0.53,42793.4859,31050.030000000002,73843.5159,886122.1908,,
0.52,43703.98559999999,31050.030000000002,74754.0156,897048.1872,,
0.51,44614.48529999999,31050.030000000002,75664.5153,907974.1836,,
0.5,45524.985,31050.030000000002,76575.015,918900.1799999999,,
0,91049.97,31050.030000000002,122100,1465200,,
