Counterparty Legal Names,FIN/PHY,Short Name
,,
Adams Resource Marketing ,all,ADAMSRESMAR
AEC Marketing,phy,AECMAR
AEC Storage & Hubservice,phy,AECSTOAND
"AEP Energy Services, Inc.",all,AEPENESER
"AIG Energy Trading, Inc",all,AIGENETRA
Alberta Company Ltd. (must be ecc),all,AEC-OIL&GAS
Amereda Hess Corp,all,AMERADO
Amoco Energy Trading Corporation,phy,AMOCO
Anadarko Petroleum Corporation,fin,ANADARKOPETCOR
Aquila Energy Marketing Corporation,phy,AQUILA
"Aquila Risk Management (formerly Utilicorp United, Inc.)",fin,AQUILA RISK
Arizona Public Service Co.,all,APS
"Avista Energy, Inc.",all,AVISTAENE
Axia Energy L.P. (formerly Koch Energy Trading),all,AXIAENELP
"Bank of America, National Association",all,BANKAMENAT
Bank of Montreal,all,BANKMONTREALCAN
Bank One,all,BANKONENAT
Bankers Trust (Deutsch Bank),all,DEUTSCHEBANAKT
Banque Paribas,all,BNPPARIBAS
Barrett Resources Corporation,all,BARRETTRESOUR
BP Amoco Corporation,all,BPAMOCOR
BP Canada Energy Co.,phy,BPCANENECOM
"BP Exploration & Oil, Inc.",all,BPEXPLORE
"Bridgeline Gas Marketing, LLC",all,BRIDGELIGASMAR
Calpine Energy Services,all,CALPINEENESER
Canadian Imperial Bank of Commerce  (CIBC Financial Prod),all,CIBC
"Cargill Energy, a division of Cargill Incorporated",all,CARGILLENEA D
Chase Manhattan Bank,all,CHASEMANBANCOR
"Cinergy Marketing and Trading, LLC",all,CINERGYMARTRA
"Cleco Marketing and Trading, LLC",all,CLECOMARAND
CMS Field Service Inc.,all,CMSFIESER
"CMS Marketing, Services and Trading Company",all,CMSMARSERTRA
"Coast Energy Group, a division of Conerstone Propane, L.P.",all,COASTENEGRO
Coastal Merchant Energy,all,COASTALMERENE
"Conagra Energy Services, Inc.",all,CONGRAENESER
"Connectiv Energy Supply, Inc.",all,CONECTIVENESUP
Conoco Inc.,all,CONOCO
Constellation Energy Source,all,CONSTELLENESOU
Cook Inlet Energy Supply,all,COOK
Coral Energy Canada (ECC),all,CORALENECAN
Coral Energy Holding L.P.,all,CORALENEHOL
"Coral Energy Resources, L.P.",phy,CORALENERES
"Cornerstone Propane, L.P.",all,CORNERSTPOL P
"Credit Lyonnais Rouse Derivatives, div'n of Credit Lyonnais SA",,CREDITLYOROU
Cross Timbers,all,CROSSTIMBERS
Dreyfus Plastic Corp,all,LOUISDREPLA
Duke Energy Field Svcs.Mktg LLC,all,DUKEFSVCMAR
Duke Energy Marketing Limited Partnership (Aeco),all,DUKENEMARTLD
Duke Energy Marketing Limited Partnership (Dawn/Empress),(Aeco-must be ecc),DUKENEMARTLD
"Duke Energy Trading and Marketing, L.L.C.",all,DUKEENETRA
Dynegy Canada Inc. (must be ecc),all,DYNEGYCAN
Dynegy Marketing and Trading,all,DYNEGYMARAND
Dynegy Marketing & Trade Canada (ECC),all,DYNEGYCANMAR
"E Prime, Inc.",all,EPRI
"El Paso Merchant Energy, L.P.",all,ELPASOMERLP
EnergyUSA-TPC Corp.,all,ENERGYUSA
Engage Energy Canada L.P. (must be ecc),all,ENGAGEENECAN
Enserco Energy,all,ENSERCOENE
Entergy Power Marketing Corp.,all,ENTERGYPOWMAR
"Enterprise Products Operating, L.P.",all,ENTERPRIPROOPE
Glencore AG,all,GLENCOREAG
Glencore LTD,all,GLENCORELTD
"Hess Energy Services Company, LLC",all,HESSENESER
"Hess Energy Trading Company, LLC",all,HESSENETRA
"HS Energy Services, Inc.",all,HSENESER
"Idacorp Energy Solutions, L.P.",all,IDACORPENESOL
J. Aron & Company,all,JARON
"Kinder Morgan, Inc.",all,KINMORINC
LG & E Energy Marketing,all,LGEENEMAR
Louis Dreyfus Corp,all,LOUISDRECOR
Louis Dreyfus Plastics LLD,all,LOUISDREPLA1
"Merchant Energy Group of the Americas, Inc.",all,MERCHANTENEGRO
Merrill Lynch,all,MERRILL
MidAmerican Energy Company,all,MIDAMERIENECO
Mirant Americas Energy Marketing L.P. (formerly Southern Company),,MIRANTAMEENE
"Morgan Stanley Capitol Group, Inc.",all,MORGAN
Nexen Marketing,all,NEXENMARKET
Nexen Marketing USA,all,NEXENMARUSA
NGTS LLC,all,NGTS LLC
NRG Power Marketing,all,NRGPOWMAR
"NUI Energy Brokers, Inc.",all,NUIENEBRO
"Occidental Energy Marketing, Inc.",all,OCCIDENTENEMAR
"OGE Energy Resources, Inc.",all,OGEENERES
"Oneok Energy Marketing and Trading Company, L.P.",all,ONEOKMARTRA
"PanCanadian Energy Services, Inc.",all,PANCANADENESER
PG&E Energy Trading-Gas Corporation,all,PGEENETRAGAS
Phibro Inc.,all,PHIBROINC
PPL Energyplus,all,PPL E
PSEG Energy Resources & Trade,all,PSEGENERES
Public Service Electric and Gas Company,all,PSE&G
"Puget Sound Energy, Inc.",all,PUGETSOUENE
"Reliant Energy Services, Inc.",all,RELIANTENESER
"Richardson Products II, Ltd.",all,RICHARDSPROII
Scana Energy Marketing,fin,SCANAENGRY
Sempra Energy Trading Corp.,all,SEMPRAENETRA
Societe Generale,all,SOCIETE
Southern California Gas Company,all,SOCAL
Sprague Energy Corp.,all,SPRAGUEENECOR
"Statoil Energy Trading, Inc.",all,STATOILENETRA
Tejas Gas Marketing LLC,all,TEJASGASMAR
Tenaska Marketing Ventures,all,TENASKA
Texaco Natural Gas (Texaco),all,TEXACOGASMKT
"Tractebel Energy Marketing, Inc.",all,TRACTEBEENEMAR
Transcanada Energy Financial Products Limited (must be ecc),fin,TRANSCANENEFIN
"Transcanada Energy Marketing USA, Inc (must be ecc)",all,
"Transcanada Gas Services, Inc.",phy,TRANSCANGASSERI
TXU Energy Trading Canada Limited,phy,TXUENETRCANL
TXU Energy Trading Company,fin,TXUENETRA
Union Oil Company of California,fin,UNOCAL
Unocal Corporation,all,UNION
Unocal Energy Trading,phy,UNOCALENETRA
Venoco Inc.,all,VENOCO
"Virginia Power Energy Marketing, Inc.",all,VIRGINIAPOWENE
"Vitol S.A., Inc.",all,VITOL S.A.
"Western Gas Resources, Inc.",all,WESTERNGASRESO
"Western Resources, Inc.",all,WESTERNRES
Williams Energy Marketing & Trading Company,all,WILLIAMSENEMAR
"WPS Energy Services, Inc.",all,WPSENGRYSVC
