,HSC,HSC,HSC,HSC,WAHA,WAHA,WAHA,PERMIAN,PERMIAN,PERMIAN,,,,,
,,MID,BID,OFFER,MID,BID,OFFER,MID,BID,OFFER,,,,,
,CAL02,0.08333333333333352,-0.16666666666666646,0.33333333333333354,-10.875000000000002,-11.125000000000002,-10.625000000000002,-14.020833333333336,-14.270833333333336,-13.770833333333336,,,,,
,Q1-02,-4.083333333333333,-4.333333333333333,-3.833333333333333,-13.333333333333334,-13.583333333333334,-13.083333333333334,-15.833333333333332,-16.083333333333332,-15.583333333333332,,,,,
,Q2-02,2.2500000000000004,2.0000000000000004,2.5000000000000004,-10.999999999999998,-11.249999999999998,-10.749999999999998,-14.583333333333334,-14.833333333333334,-14.333333333333334,,,,,
,Q3-02,4.500000000000001,4.250000000000001,4.750000000000001,-7.083333333333335,-7.333333333333335,-6.833333333333335,-11.083333333333334,-11.333333333333334,-10.833333333333334,,,,,
,Q4-02,-2.3333333333333335,-2.5833333333333335,-2.0833333333333335,-12.083333333333334,-12.333333333333334,-11.833333333333334,-14.583333333333334,-14.833333333333334,-14.333333333333334,,,,,
,J-V02,3.0000000000000004,2.7500000000000004,3.2500000000000004,-9.5,-9.75,-9.25,-13.25,-13.5,-13,-3.75,,,,
,CALO3,0.125,-0.125,0.375,-9.386363636363635,-9.636363636363635,-9.136363636363635,-11.312499999999998,-11.562499999999998,-11.062499999999998,,,,,
,X-H02,-3.6500000000000004,-3.9000000000000004,-3.4000000000000004,-13.999999999999998,-14.249999999999998,-13.749999999999998,-16.499999999999996,-16.749999999999996,-16.249999999999996,,,,,
,X-H03,-4,-4.25,-3.75,-11.850000000000001,-12.100000000000001,-11.600000000000001,-13.850000000000001,-14.100000000000001,-13.600000000000001,,,,,
,,,,,,,,,,,,,,,
,,HSC,WAHA,PERM,,,,,,,,,,,
,2001-10-01 00:00:00,,,,,,,,,,,,,,
,2001-11-01 00:00:00,-0.0175,-0.155,-0.18,,2.681,,,-0.0175,-0.155,-0.18,,5.0,-0.0175,-0.08750000000000001
,2001-12-01 00:00:00,-0.0425,-0.145,-0.17,,2.99,0.30900000000000016,,-0.0425,-0.145,-0.17,,7.0,0.0025,0.0175
Q1,2002-01-01 00:00:00,-0.05,-0.145,-0.1675,,3.171,0.1809999999999996,,-0.05,-0.145,-0.1675,,12.0,-0.005833333333333334,-0.07
Q1,2002-02-01 00:00:00,-0.0425,-0.13,-0.1575,,3.173,0.002000000000000224,,-0.0425,-0.13,-0.1575,,,,
Q1,2002-03-01 00:00:00,-0.03,-0.125,-0.15,,3.126,-0.04700000000000015,,-0.03,-0.125,-0.15,,,,
Q2,2002-04-01 00:00:00,0.015,-0.12,-0.1525,,3.031,-0.09499999999999975,,0.015,-0.12,-0.1525,,,,
Q2,2002-05-01 00:00:00,0.02,-0.1125,-0.1475,,3.059,0.028000000000000025,,0.02,-0.1125,-0.1475,,,,
