EAM Technology Codes Version 6.0,,,
,,,
Area,Tech Code,Description,ECM Code
Lighting,1,Interior Lighting Upgrade,110
Lighting,1,Exterior Lighting Upgrade,111
Lighting,1,LED Exit Signs,120
Lighting,1,Interior Lighting Control Systems,130
Lighting,1,Exterior Lighting Control Systems,131
Lighting,1,Occupancy Sensors,132
Lighting,1,Revise Switching Zones,133
Lighting,1,Load Shed Systems,140
Lighting,1,Skylights (including controls),150
Lighting,1,Daylighting (including controls),151
Lighting,1,Dimming (not including daylighting),160
Lighting,1,LED Traffic Signals,170
Lighting,1,Group Relamp & Maintanince ,180
Lighting,1,Combination,198
Lighting,1,Other,199
Refrigeration,2,Increase Condenser Capacity,201
Refrigeration,2,Install Air Purger,203
Refrigeration,2,Descale,204
Refrigeration,2,Evaporator Fan Control (Cycling or VSD),205
Refrigeration,2,Float Head Pressure to Minimum,206
Refrigeration,2,Install liquid Subcooling (Economizer),207
Refrigeration,2,Demand Defrost on Evaporators,208
Refrigeration,2,Convert to Screw Comp. Thermosyphon Oil Cooling,209
Refrigeration,2,Condenser Fans Control (Cycling or VSD)  ,210
Refrigeration,2,Combination,298
Refrigeration,2,Other,299
Boilers,3,Replace Failed Steam Traps,301
Boilers,3,Sensible Flue Gas Heat Recovery/Feedwater Preheating,302
Boilers,3,Increase Condensate Return,303
Boilers,3,Blowdown Heat Recovery/Make-Up Water Preheating,304
Boilers,3,Automatic Boiler Staging/Loading,305
Boilers,3,Sensible Flue Gas Heat Recovery/Combustion Air Preheating,306
Boilers,3,Automatic Oxygen/Excess Air Trim ,307
Boilers,3,Replacement Boiler with Higher Efficiency,308
Boilers,3,Replacement Burner with Modulating Capacity Control,309
Boilers,3,Water Softener Replacement with Tube Cleaning,310
Boilers,3,Modulate Blowdown Volume,311
Boilers,3,Recover Latent Energy of High Temperature Condensate,312
Boilers,3,Replace Electric Heater/Humidifier with Steam Heater/Humidifier,313
Boilers,3,Replace Electric Motor with Non-Condensing Steam Turbine,314
Boilers,3,Repalce Inefficient Electric Water Chiller with Steam Absorbtion Chiller,315
Boilers,3,Replace Insulation/Refractory,316
Boilers,3,Replace Pressure Reducing Valve with Non-Condensing Steam Turbine Genst,317
Boilers,3,Add Superheater and Steam Turbine Genset,318
Boilers,3,Replace Central Boiler Plant with Distributed Boilers/Heaters,319
Boilers,3,Refrigerant Condensation Heat Recovery/Process Feedwater Heating,320
Boilers,3,Latent Flue Gas Heat Recovery/Process Feedwater Preheating,321
Boilers,3,Combination,398
Boilers,3,Other,399
Chillers,4,VFDs on Cooling Tower Fans,401
Chillers,4,VFD(s) on Secondary Pump(s),402
Chillers,4,VFD(s) on Condenser Water Pump(s),403
Chillers,4,Chilled Water Reset,404
Chillers,4,Sequencing & CHWS Secondary Control,405
Chillers,4,Condenser Water Reset,406
Chillers,4,Chiller Replacement (Constant Speed),407
Chillers,4,Chiller Replacement (Variable Speed),408
Chillers,4,Chiller Replacement (Absorption),409
Chillers,4,Chiller Replacement (Engine Driven),410
Chillers,4,Chiller Retrofit with VFD,411
Chillers,4,Convert Air Cooled Chillers to Water Cooled,412
Chillers,4,Convert DX cooling to Chilled Water,413
Chillers,4,Eliminate Hot-Gas-Bypass or etc.,414
Chillers,4,Cross Connect Multiple CPs to one Central Plant,415
Chillers,4,Convert Primary only Const. Vol. To Prim/Sec Variable,416
Chillers,4,Convert Primary only Const. Vol. To Variable Volume,417
Chillers,4,Split Process CHW from Building CHW,418
Chillers,4,Isolate CHW Sections when not in Service,419
Chillers,4,Rebalance Water System,420
Chillers,4,Plate & Frame HX,421
Chillers,4,Refrigerant Migration (free cooling),422
Chillers,4,Injector Cycle Cooling from Tower,423
Chillers,4,Heat Recovery from Absorption Chiller,424
Chillers,4,Heat Recovery from  Engine Driven  Chiller,425
Chillers,4,Heat Recovery from Electric Chiller,426
Chillers,4,Thermal Energy Storage (Water),427
Chillers,4,Thermal Energy Storage (Ice),428
Chillers,4,Cooling Tower Replacement,429
Chillers,4,Cooling Tower Rebuild (fill replacement),430
Chillers,4,Install Tower to Eliminate once through Chiller Cooling,431
Chillers,4,Eliminate Tower by-pass as CW Temperature Control,432
