WEST,TRADE DATE,Counterparty,Buy/Sell from EPMI View,Buy/Sell from EES View,Trader,Location,Type (PFI),Term,"Peak, Off-peak, Super Peak, Shoulder Peak or Flat",Volume,Price,"Broker,EOL, Internal or Notes",EPMI TRADER Providing Sleeve,EPMI Deal #,EES DEAL Tracker #,EES Traders
1,2000-11-14 00:00:00,EES,BUY,SELL,NB,SP,P,2000-12-01 00:00:00,PEAK,25,100,INTERNAL / MM,,,6327,JW = Jubran Whalan
2,,,,,,,,,,,,,,,,NB= Neil Bresnan
3,,EES,BUY,SELL,NB,COB,P,Q3 01,PEAK,25,140,EOL,,,6328,SS=Suneet Sharma
4,,,,,,,,,,,,,,,,
5,,EES,BUY,SELL,NB,SP,P,2000-12-01 00:00:00,PEAK,25,101,INTERNAL / MD,,,6329,
6,,,,,,,,,,,,,,,,
7,,EES,BUY,SELL,NB,SP,P,2000-12-01 00:00:00,PEAK,25,100,INTERNAL / MM,,,6330,
8,,,,,,,,,,,,,,,,
9,,EES,BUY,SELL,NB,SP,P,DEC,PEAK,25,102,INTERNAL / MM,,,6332,
10,,,,,,,,,,,,,,,,
11,,EES,BUY,SELL,JW,COB,P,Q4 2001,PEAK,25,84.25,EOL,,,6333,
12,,,,,,,,,,,,,,,,
13,,AVISTIA,SELL,SLEEVE,CS,COB,P,Q4 2001,OFF,-25,-64,AMEREX,SC,,6334,
14,,EES,BUY,SELL,JW,COB,P,Q4 2001,OFF,25,63.95,,,,,
15,,,,,,,,,,,,,,,,
16,,SMUD,SELL,SLEEVE,SS,COB,P,Q2 2001,OFF,-50,-51,APB,BB,,6335,
17,,EES,BUY,SELL,JW,COB,P,Q2 2001,OFF,50,50.95,,,,,
18,,,,,,,,,,,,,,,,
19,,MORGAN,SELL,SLEEVE,TF,COB,P,Q2 2001,OFF,-25,-51,AMEREX,SC,,6336,
20,,EES,BUY,SELL,JW,COB,P,Q2 2001,OFF,25,50.95,,,,,
21,,,,,,,,,,,,,,,,
22,,CONSTELLATION,SELL,SLEEVE,MH,COB,P,Q2 2001,OFF,-50,-53,NATSOURSE,BB,,6337,
23,,EES,BUY,SELL,JW,COB,P,Q2 2001,OFF,50,52.95,,,,,
24,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,
