Ending,,24th
09:00:00,,1901.1962890625
10:00:00,,1881.8603515625
11:00:00,,1854.6873779296875
12:00:00,,1825.390625
13:00:00,,2060
14:00:00,,2060
15:00:00,,2060
16:00:00,,2060
17:00:00,,2060
18:00:00,,2060
19:00:00,,2060
20:00:00,,2060
21:00:00,,2060
22:00:00,,2060
23:00:00,,1855.4197998046875
1900-01-01 00:00:00,,1849.6827392578125
1900-01-01 01:00:00,,1849.642211914064
1900-01-01 02:00:00,,1873.2071533203125
1900-01-01 03:00:00,,3747.021484375
1900-01-01 04:00:00,,3747.021484375
1900-01-01 05:00:00,,3747.021484375
1900-01-01 06:00:00,,3747.021484375
1900-01-01 07:00:00,,3747.021484375
1900-01-01 08:00:00,,3802.392578125
Daily Total,,58028.58654785156
