"Historical Streamflow  (Average of the daily values)    Columbia River at The Dalles, Oregon",,,,,,,,
,,"October 1, 19XX - - September 30, 19YY",,,,,,
,1900-1999,1900-1999,,1900-1999,1900-1999,,1936-1999,1936-1999
,Water Year Ranking,Water Year Ranking,,Date,Date,,Date,Date
, ,,, ,,, ,
,year,Avg kcfs,,year,Avg kcfs,,1936-1937,128.71671232876713
,1996-1997,263.71178082191784,,1900-1901,218.68739726027397,,1937-1938,190.15315068493146
,1995-1996,251.87131147540987,,1901-1902,197.4227397260274,,1938-1939,149.72410958904112
,1971-1972,244.14016393442623,,1902-1903,210.94136986301368,,1939-1940,148.4532786885246
,1955-1956,243.39016393442623,,1903-1904,242.0792349726776,,1940-1941,130.02520547945204
,1903-1904,242.0792349726776,,1904-1905,139.90849315068496,,1941-1942,178.58109589041092
,1915-1916,238.0877049180328,,1905-1906,156.7145205479452,,1942-1943,207.30356164383562
,1973-1974,237.74,,1906-1907,229.1284931506849,,1943-1944,119.60464480874316
,1947-1948,235.46830601092896,,1907-1908,196.2188524590164,,1944-1945,150.81260273972603
,1927-1928,231.21256830601095,,1908-1909,189.65534246575345,,1945-1946,196.09835616438355
,1920-1921,230.08657534246578,,1909-1910,212.77780821917818,,1946-1947,193.6723287671233
,1906-1907,229.1284931506849,,1910-1911,187.68136986301369,,1947-1948,235.46830601092896
,1981-1982,228.9043835616438,,1911-1912,182.83196721311478,,1948-1949,180.14164383561646
,1950-1951,226.4312328767123,,1912-1913,213.00931506849312,,1949-1950,217.1408219178082
,1970-1971,226.36164383561652,,1913-1914,186.8654794520548,,1950-1951,226.4312328767123
,1964-1965,224.45150684931508,,1914-1915,146.78465753424655,,1951-1952,198.16857923497275
,1975-1976,220.272131147541,,1915-1916,238.0877049180328,,1952-1953,179.3358904109589
,1900-1901,218.68739726027397,,1916-1917,208.50356164383564,,1953-1954,209.05397260273975
,1949-1950,217.1408219178082,,1917-1918,204.6591780821918,,1954-1955,178.97287671232877
,1982-1983,216.6304109589041,,1918-1919,172.0027397260274,,1955-1956,243.39016393442623
,1998-1999,215.36931506849317,,1919-1920,156.79480874316937,,1956-1957,194.11917808219178
,1912-1913,213.00931506849312,,1920-1921,230.08657534246578,,1957-1958,180.74520547945207
,1909-1910,212.77780821917818,,1921-1922,183.19534246575344,,1958-1959,211.58794520547946
,1958-1959,211.58794520547946,,1922-1923,179.4380821917808,,1959-1960,195.34672131147542
,1983-1984,211.53196721311474,,1923-1924,136.79508196721306,,1960-1961,189.03123287671232
,1933-1934,211.48,,1924-1925,201.38301369863018,,1961-1962,169.32246575342464
,1902-1903,210.94136986301368,,1925-1926,118.10657534246576,,1962-1963,174.14767123287672
,1953-1954,209.05397260273975,,1926-1927,206.05561643835617,,1963-1964,184.19289617486334
,1916-1917,208.50356164383564,,1927-1928,231.21256830601095,,1964-1965,224.45150684931508
,1942-1943,207.30356164383562,,1928-1929,132.77041095890414,,1965-1966,162.02246575342465
,1926-1927,206.05561643835617,,1929-1930,131.39287671232876,,1966-1967,191.2912328767123
,1968-1969,205.82712328767133,,1930-1931,121.92191780821912,,1967-1968,165.70163934426228
,1917-1918,204.6591780821918,,1931-1932,185.51775956284158,,1968-1969,205.82712328767133
,1990-1991,203.44520547945203,,1932-1933,197.9950684931507,,1969-1970,166.47835616438357
,1924-1925,201.38301369863018,,1933-1934,211.48,,1970-1971,226.36164383561652
,1951-1952,198.16857923497275,,1934-1935,170.22,,1971-1972,244.14016393442623
,1932-1933,197.9950684931507,,1935-1936,158.91939890710384,,1972-1973,136.13479452054793
,1901-1902,197.4227397260274,,1936-1937,128.71671232876713,,1973-1974,237.74
,1907-1908,196.2188524590164,,1937-1938,190.15315068493146,,1974-1975,187.01397260273978
,1945-1946,196.09835616438355,,1938-1939,149.72410958904112,,1975-1976,220.272131147541
,1959-1960,195.34672131147542,,1939-1940,148.4532786885246,,1976-1977,120.44027397260272
,1997-1998,194.4693150684932,,1940-1941,130.02520547945204,,1977-1978,170.5304109589041
,1956-1957,194.11917808219178,,1941-1942,178.58109589041092,,1978-1979,152.4808219178082
,1946-1947,193.6723287671233,,1942-1943,207.30356164383562,,1979-1980,159.03633879781418
,1966-1967,191.2912328767123,,1943-1944,119.60464480874316,,1980-1981,187.41150684931506
,1937-1938,190.15315068493146,,1944-1945,150.81260273972603,,1981-1982,228.9043835616438
,1985-1986,190.05643835616436,,1945-1946,196.09835616438355,,1982-1983,216.6304109589041
,1908-1909,189.65534246575345,,1946-1947,193.6723287671233,,1983-1984,211.53196721311474
,1960-1961,189.03123287671232,,1947-1948,235.46830601092896,,1984-1985,165.06191780821916
,1910-1911,187.68136986301369,,1948-1949,180.14164383561646,,1985-1986,190.05643835616436
,1980-1981,187.41150684931506,,1949-1950,217.1408219178082,,1986-1987,145.08931506849316
,1974-1975,187.01397260273978,,1950-1951,226.4312328767123,,1987-1988,135.8073770491803
,1913-1914,186.8654794520548,,1951-1952,198.16857923497275,,1988-1989,155.92739726027395
,1931-1932,185.51775956284158,,1952-1953,179.3358904109589,,1989-1990,177.00438356164383
,1963-1964,184.19289617486334,,1953-1954,209.05397260273975,,1990-1991,203.44520547945203
