Date,17-Dec-01,3:15P.M. Eastern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brokerage house,TFS Enegy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broker ,Keith  Kelly / Dan Wayland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOM,Dec-01,Jan-02,Feb-02,Mar-02,Q1-02,Apr-02,May-02,Jun-02,Q2-02,Jul-02,Aug-02,Sep-02,Q3-02,Oct-02,Nov-02,Dec-02,Q4-02,,Q1-03,Q2-03,Q3-03,Q4-03,Cal-04,Cal-05,Cal-06,Cal-07,Cal-08,Cal-09,Cal-10,Cal-11,Cal-12,Cal-13,Cal-14,Cal-15,,
ON PEAK,Mid Columbia,n/a,n/a,27.25,24,21,24.25,n/a,n/a,n/a,19.5,N/A,N/A,N/A,35.75,N/A,N/A,N/A,30.5, ,32,24,41.5,36,31.5,32,32.5,33,33.5,34,34.5,35,35.5,36,36.5,37,,
,COB,n/a,n/a,29.25,26,12,25,n/a,n/a,n/a,21.5,N/A,N/A,N/A,39.25,N/A,N/A,N/A,30.25, ,31.75,21.5,44,38,34.75,35.25,35.75,36.25,36.75,37.25,37.75,38.25,38.75,39.25,39.75,40.25,,
,NP15,n/a,n/a,30,28,20,27.5,n/a,n/a,n/a,24,N/A,N/A,N/A,42.5,N/A,N/A,N/A,32, ,33.75,28,45.5,38,37.25,37.75,38.25,38.75,39.25,39.75,40.25,40.75,41.25,41.75,42.25,42.75,,
,SP15,n/a,n/a,29.75,28.5,30,29,n/a,n/a,n/a,28,N/A,N/A,N/A,42.25,N/A,N/A,N/A,31, ,31.75,32.75,46.5,35,37.75,38.25,38.75,39.25,39.75,40.25,40.75,41.25,41.75,42.25,42.75,43.25,,
,Palo Verde,n/a,n/a,28.6,26,26,27,n/a,n/a,n/a,27.25,N/A,N/A,N/A,47,N/A,N/A,N/A,29.5, ,29.75,28,50.5,33.75,35.25,35.75,36.25,36.75,37.25,37.75,38.25,38.75,39.25,39.75,40.25,40.75,,
,, , , , , , , , , , , , , , , , , , , , , ,  , , , , , , , , , ,  , , , , ,  
OFF PEAK,Mid Columbia,n/a,n/a,n/a,n/a,n/a,17,N/A,N/A,N/A,13,N/A,N/A,N/A,24.5,N/A,N/A,N/A,20, ,19.75,20.5,26.5,22.5,22,22.2,22.4,22.6,22.8,23,23.2,23.4,23.6,23.8,24,24.2,,
,COB,n/a,n/a,n/a,n/a,n/a,17.5,N/A,N/A,N/A,13.25,N/A,N/A,N/A,24.75,N/A,N/A,N/A,22, ,20.75,21.5,27.5,23.5,22.75,22.95,23.15,23.35,23.55,23.75,23.95,24.15,24.35,24.55,24.75,24.95,,
,NP15,n/a,n/a,n/a,n/a,n/a,19,N/A,N/A,N/A,18.25,N/A,N/A,N/A,26.5,N/A,N/A,N/A,20.75, ,19.25,22.5,28.5,24.5,22.75,22.95,23.15,23.35,23.55,23.75,23.95,24.15,24.35,24.55,24.75,24.95,,
,SP15,n/a,n/a,n/a,n/a,n/a,20,N/A,N/A,N/A,20,N/A,N/A,N/A,26,N/A,N/A,N/A,20.75, ,19.25,19.5,30,22.5,23.75,23.95,24.15,24.35,24.55,24.75,24.95,25.15,25.35,25.55,25.75,25.95,,
