ENRON North American Gas - EOL vs NON-EOL Analysis,ENRON North American Gas - EOL vs NON-EOL Analysis,ENRON North American Gas - EOL vs NON-EOL Analysis,ENRON North American Gas - EOL vs NON-EOL Analysis,ENRON North American Gas - EOL vs NON-EOL Analysis,ENRON North American Gas - EOL vs NON-EOL Analysis,ENRON North American Gas - EOL vs NON-EOL Analysis,ENRON North American Gas - EOL vs NON-EOL Analysis,ENRON North American Gas - EOL vs NON-EOL Analysis
PHYSICAL + FINANCIAL,,,,,,,,
"As of September 6, 2000",,,,,,,,
LTD,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
REGION,REGION,,DEAL COUNT,% OF TOTAL DEAL COUNT,VOLUME,% OF TOTAL VOLUME,NOTIONAL VALUE,% OF TOTAL NOTIONAL VALUE
,,,,,,,,
CENTRAL,EOL,,55684,79.46116414800862,7647832913,74.38078966549229,6171968310.695765,52.568433345611176
,NON-EOL,,14393,20.53883585199138,2634167247.7862506,25.61921033450771,5568857728.608388,47.43156665438882
,TOTAL,,70077,,10282000160.786251,,11740826039.304153,
,,,,,,,,
EAST,EOL,,38401,59.52535962301587,4118706049,33.93381608512986,6406753368.485348,28.309200460977994
,NON-EOL,,26111,40.47464037698413,8018761893.50134,66.06618391487015,16224593558.16683,71.69079953902201
,TOTAL,,64512,,12137467942.501339,,22631346926.652176,
,,,,,,,,
ECC-CANADA WEST,EOL,,34593,69.66529724504592,4646859388.023636,52.024950709927595,12862648691.471079,59.38540183590298
,NON-EOL,,15063,30.334702754954083,4285122910.110295,47.975049290072405,8796965108.926968,40.614598164097
,TOTAL,,49656,,8931982298.13393,,21659613800.39805,
,,,,,,,,
ENA-CANADA EAST,EOL,,2510,48.88975457732762,341716246.01100004,43.0972906311784,1154640648.9019713,44.10391837264058
,NON-EOL,,2624,51.110245422672385,451178715.6128474,56.90270936882159,1463359500.5320098,55.89608162735943
,TOTAL,,5134,,792894961.6238475,,2618000149.433981,
,,,,,,,,
G-DAILY-EST,EOL,,8153,73.57639202238066,1747479882,62.97425322319149,6234240560.980381,64.85136021410575
,NON-EOL,,2928,26.42360797761935,1027431756.5813,37.02574677680852,3378881724.1931825,35.14863978589426
,TOTAL,,11081,,2774911638.5813,,9613122285.173563,
,,,,,,,,
NG-PRICE,EOL,,48442,56.158126594018086,19285786912,31.15371433705562,73241564383.8,32.99822830978797
,NON-EOL,,37818,43.841873405981914,42619470044.98706,68.84628566294438,148714486396.28088,67.00177169021204
,TOTAL,,86260,,61905256956.98706,,221956050780.08087,
,,,,,,,,
TEXAS,EOL,,8729,48.951323463436516,1565323168,30.24762744673855,2176845584.462,25.27580907820628
,NON-EOL,,9103,51.048676536563484,3609704760.2442727,69.75237255326145,6435521986.944271,74.72419092179372
,TOTAL,,17832,,5175027928.244272,,8612367571.406271,
,,,,,,,,
WEST,EOL,,40973,70.22899454938123,8658906460,55.91982801083134,4689511182.966563,40.6524573748445
,NON-EOL,,17369,29.771005450618766,6825594776.882956,44.08017198916866,6846104338.933975,59.34754262515549
,TOTAL,,58342,,15484501236.882956,,11535615521.90054,
,,,,,,,,
TOTAL,EOL,,237485,65.44197479153692,48012611018.03464,40.86734652761736,112938172731.76312,36.388595902981955
,NON-EOL,,125409,34.55802520846308,69471432105.70633,59.132653472382636,197428770342.58652,63.61140409701805
,TOTAL,,362894,,117484043123.74097,,310366943074.3496,
