"Reporting Categories
       EOL Product Type","Reporting Categories
       EOL Product Type","Valuation Calculation Used
as of 7/14/2000","PCG
Calculated LTD Value",IT Compliance Notes & Exceptions,IT Compliance Recalculated LTD Value,"Difference
(over stated)",Percentage of PCG $,Comments
1. US Gas,,,,,,,,
,U.S. Gas Basis Swaps,"EOL Price = Online Negotiated Basis Differential Price
Fixed Price = EOL Price
Notional Volume = EOL Volume * Determination Period

Abs Value = EOL Price * Notional Volume
",3082099652,"68 Deals were identified that were extracted from TAGG with 0 prices.  As a result these deals were not calculated as part of the final Absolute Value.  
6 Deals were identified where the volumes between TAGG and EOL did not reconcile.
Another 87 deals were priced out in the Management Report with Index Prices instead of Basis Differential Prices.  This is the primary error contributing to the $268M overstatement.",2813490982,-268608670,0.08715119572000134,"Over 270 million of the net 268 million discrepancy is due to two post Ids which Risk Management mistakenly officialized as Gas Daily Books on the 8th and 19th of May. This caused the basis deals contained in these books to be pulled in as Gas Daily Index trades and they were valued accordingly. The Post Ids were subsequently corrected (the next day) by Risk Management, but PCG was not notified of the change to these officialized books."
,US Gas Financial Swaps,"EOL Price = Online Negotiated Price
Fixed Price = EOL Price
Notional Volume = EOL Volume * Determination Period (#Days)

Abs Value = EOL Fixed Price * Notional Volume",58573012170,124 deals were identified where their were volumetric discrepancies between TAGG and EOL data.  The result is $24M overstatement in absolute value.,58548195650,-24816520,0.0004236852277286596,Two days worth of data on two book codes were doubled in Access. Individual deals being corrected.
,"US Gas Physical Forward Firm
(Sitara & Tagg)","EOL Price = Online Negotiated Price
Fixed Price = EOL Price
Notional Volume = EOL Volume * Determination Period

Abs Value = EOL Fixed Price * Notional Volume
(after 4/18/00)",4241025462,"Minor differences between Management Reporting Database values and EOL recalculated were due to:
- Henry Hub prices used to value all deal prior to 4/19/00.  This still contributes approximately $49.7M to the difference.
- Some deals from TAGG & SITARA after 4/18/00 are still being valued with the Henry Hub prices.  This may have been a result of missing information during the reporting day and HH prices had to be used.
- There are still some 81 deals where the volumes do not tie out.",4190678157,-50347305,0.011871493215760373,About 25% of the original Henry Hub mass-Price correction from June not currently reflected in Database. We are reviewing the individual spreadsheets which did not update and will run another mass-conversion on physical trade data to reflect the remaining 25% of the June correction.
,"US Gas Physical Index Firm
(Sitara & Tagg)","EOL Price = Online Negotiated Basis Differential Price
Fixed Price = EOL Price + Index Price
Notional Volume = EOL Volume * Determination Period

Abs Value = Henry Hub Price * Notional Value
(prior to 4/18/00)

Abs Value = Fixed Price * Notional Value
(after 4/18/00)
 ",1095842015,"Unable to completely recomputed the Absolute values from EOL data.  After 4/18/00 Sitara began providing the actual fixed prices (Index Settlement Price + EOL Price).  However, no significant variations were observed when comparing the Management Report Absolute values against the absolute values obtained using the Henry Hub Price + EOL Price.  

Only three records were identified in the TAGG data with volumetric differences.",1095877808,35793,3.266255492129493e-05,See above.
,TOTAL US Gas,,66991979299,,66648242597,-343736702,0.005131012780885711,
2. Canadian Gas,,,,,,,,
,"CAN Gas Physical Forward Firm East & West
(Sitara)","EOL Price = Negotiated Price (US$/CAD$)
Fixed Price = EOL Price
Notional Volume = EOL Volume (MMBtu/GJ) * Determination Period (# days)

Abs Value = Henry Hub Price * Notional Value
(prior to 4/18/00)

Abs Value = Fixed Price * Notional Value
(after 4/18/00)",2842288535,"The majority of the $207M difference in absolute value is due to the Henry Hub prices that were used to calculate absolute value instead of the EOL Fixed Price for all deals prior to 4/18/00.  
Some of the difference is also a result of some residual conversion factor problems left over from previous cleanup exercises.  There are approximately 334 deals that have the incorrect GJ to MMBtu conversion factors applied.  In our previous test, this number was 3,149.",2634657959,-207630576,0.07305049203950717,"Henry Hub Price conversion issue. Of the original 1.2 billion dollar conversion in June, about 400 million is not currently reflected as being updated in the database. Mass correction and verification will be made after audit is completed"
,CAN Gas Physical Forward Firm East & West (TAGG),"EOL Price = Online Negotiated Price (US$/CAD$)
Fixed Price = EOL Price
Notional Volume = EOL Volume (MMBtu/GJ) * Determination Period (#days)

Abs Value = HH (deal date) * Converted Notional Volume
",3411050444,"The majority of the $399M difference in absolute value is due to the Henry Hub prices that were used to calculate absolute value instead of the EOL Fixed Price.  Henry Hub prices appear to be used for deals after 4/19/00 when the price extracts from Tagg were changed.  Also, 76 deals were identified with minor differences in conversion factors.",3011391776,-399658668,0.1171658627045505,"Existing issue from June regarding Henry Hub price substitution on Term Firm Physical Forwards housed in TAGG. Trades in TAGG which have both price and basis/index components appear in more than one portfolio within ERMS. To avoid double counting, the database discards all but one of these deal legs. Since the price component can appear in both financial and physical portfolios, the index component is retained on physical term trades and is added to the NYMEX settle."
,"CAN Gas Physical Index Firm
(Sitara & Tagg)","EOL Price = Online Negotiated Basis Differential Price (CAD$)
Fixed Price = EOL Price + Index Price
Notional Volume = EOL Volume (GJ) * Determination Period (#days)

Abs Value = Fixed Price * Converted Notional Volume",136651208,Minor differences due to pricing methodology changes after 4/18/00.  Prior to 4/18/00 the Henry Hub price was used to value the index deals.  This was done without netting the Henry Hub price against the EOL Price Differential entered on the website.,136818676,167468,0.001225514230360847,
