,,,,,,2018-08-07 13:29:57.610
,,,,,,
,,,,,,
,,,,,,
El Paso Natural Gas Rates,,,,,,
,,,,,,
,2001.0,2002.0,2003.0,2004.0,2005.0,
Fixed,,,,,,
Reservation,0.29908,0.29908,0.29908,0.29908,0.29908,
Resv Add-on,0.0574,0.0574,0.0574,0.0,0.0,
GRI Resv.,0.00296,0.00197,0.00164,0.0,0.0,
,0.35944000000000004,0.35845000000000005,0.35812,0.29908,0.29908,
Variable-San Juan,,,,,,
Usage,0.0168,0.0168,0.0168,0.0168,0.0168,
GRI,0.007,0.005,0.004,0.0,0.0,
ACA,0.0022,0.0022,0.0022,0.0022,0.0022,
,0.026,0.024,0.023,0.019,0.019,
,,,,,,
Variable-Permian,,,,,,
Usage,0.0344,0.0344,0.0344,0.0344,0.0344,
GRI,0.007,0.005,0.004,0.0,0.0,
ACA,0.0022,0.0022,0.0022,0.0022,0.0022,
,0.0436,0.0416,0.040600000000000004,0.0366,0.0366,
,,,,,,
Total Rate-San Juan,0.38544000000000006,0.38245000000000007,0.38112,0.31808000000000003,0.31808000000000003,
,,,,,,
Total Rate-Permian,0.40304000000000006,0.40005,0.39872,0.33568000000000003,0.33568000000000003,
,,,,,,
Current Fuel %,0.0347,0.0347,0.0347,0.0347,0.0347,
