USGT #27161 Contract Analysis,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,GD PB TX Waha,GD PB TW,East flow volumes,1.31% fuel,CSM,,GD So Cal,So Cal volumes,5.0% fuel,GD PG&E,PG&E volumes,5.0% fuel,Cal Border avg GD,West flow volumes,CSM
April 2000,2.8978333333333324,2.822666666666666,4156317,0.03697693333333333,120074.8897787979,,3.0128333333333335,662243,0.1411333333333333,2.9981666666666666,30000,0.1411333333333333,3.0055,692243,5813.261766667088
May 2000,3.4314516129032264,3.370806451612902,4253497,0.04415756451612902,30572.42131624916,,3.6243548387096762,241764,0.1685403225806451,3.579838709677419,131933,0.1685403225806451,3.602096774193547,373697,10946.232233871067
June 2000,4.203833333333333,4.142833333333332,2361622,0.054271116666666654,-6072.005684564679,,4.6306666666666665,113921,0.2071416666666666,4.472166666666667,1102737,0.2071416666666666,4.551416666666666,1216658,118055.62728333566
July 2000,4.037741935483871,3.9600000000000004,2690354,0.051876000000000005,44568.23079277392,,4.616612903225806,137405,0.19800000000000004,4.196290322580644,374456,0.19800000000000004,4.406451612903225,511861,56879.30699999938
August 2000,4.382903225806451,4.308064516129032,2778703,0.05643564516129032,25294.712680159722,,5.24241935483871,180488,0.2154032258064516,4.653870967741935,551391,0.2154032258064516,4.948145161290323,731879,172390.14379032276
Sept 2000 (9/21),4.946666666666668,4.822619047619049,1670211,0.06317630952380954,86134.968451072,,6.198333333333333,143525,0.24113095238095245,5.751666666666667,406704,0.24113095238095245,5.9750000000000005,550229,420610.3729166661
,,,,,,,,,,,,, ,,
,,,,,300573.217334488,,,,,,,, ,,784694.944990862
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,,  ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
