COUNTERPARTY,Trade Date,Flow Date,Location,Daily QTY,TOTAL QTY,Fixed Price,,VOLUME,Price,Total $
Aquila Energy Marketing Corporation Natural Gas,2001-05-24 11:11:12,2001-06-01 00:00:00,CIG MAINLINE,5000,155000,2.745,,155000,2.745,425475
Aquila Energy Marketing Corporation Natural Gas,2001-05-24 11:13:12,2001-06-01 00:00:00,CIG MAINLINE,5000,155000,2.7575,,155000,2.7575,427412.5
"E Prime, Inc.",2001-05-24 14:13:12,2001-06-01 00:00:00,CIG MAINLINE,5000,155000,2.675,,155000,2.675,414625
Aquila Energy Marketing Corporation Natural Gas,2001-05-24 14:20:12,2001-06-01 00:00:00,CIG MAINLINE,1073,33263,2.65,,33263,2.65,88146.95
Sempra Energy Trading Corp.,2001-05-25 10:41:11,2001-06-01 00:00:00,CIG MAINLINE,5000,155000,2.505,,155000,2.505,388275
Sempra Energy Trading Corp.,2001-05-25 10:53:11,2001-06-01 00:00:00,CIG MAINLINE,5000,155000,2.515,,155000,2.515,389825
"e prime, inc.",2001-05-29 09:12:24,2001-06-01 00:00:00,CIG MAINLINE,5000,155000,2.38,,155000,2.38,368900
"e prime, inc.",2001-05-29 09:14:52,2001-06-01 00:00:00,CIG MAINLINE,5000,155000,2.38,,155000,2.38,368900
Public Service Company Of Colorado,2001-05-29 09:16:03,2001-06-01 00:00:00,CIG MAINLINE,5000,155000,2.37,,155000,2.37,367350
"e prime, inc.",2001-05-29 09:19:12,2001-06-01 00:00:00,CIG MAINLINE,5000,155000,2.365,,155000,2.365,366575
"Western Gas Resources, Inc.",2001-05-29 09:31:03,2001-06-01 00:00:00,CIG MAINLINE,3000,93000,2.385,,93000,2.385,221805
"e prime, inc.",2001-05-29 09:51:09,2001-06-01 00:00:00,CIG MAINLINE,2500,77500,2.38,,77500,2.38,184450
"e prime, inc.",2001-05-29 09:59:09,2001-06-01 00:00:00,CIG MAINLINE,2500,77500,2.395,,77500,2.395,185612.5
"Western Gas Resources, Inc.",2001-05-29 11:34:09,2001-06-01 00:00:00,CIG MAINLINE,1080,33480,2.36,,33480,2.36,79012.8
"El Paso Merchant Energy, L.P.",2001-05-29 11:43:09,2001-06-01 00:00:00,CIG MAINLINE,2500,77500,2.37,,77500,2.37,183675
"El Paso Merchant Energy, L.P.",2001-05-29 12:51:09,2001-06-01 00:00:00,CIG MAINLINE,2500,77500,2.325,,77500,2.325,180187.5
"El Paso Merchant Energy, L.P.",2001-05-29 14:11:09,2001-06-01 00:00:00,CIG MAINLINE,5000,155000,2.27,,155000,2.27,351850
"El Paso Merchant Energy, L.P.",2001-05-29 14:36:09,2001-06-01 00:00:00,CIG MAINLINE,2500,77500,2.33,,77500,2.33,180575
"El Paso Merchant Energy, L.P.",2001-05-29 14:41:09,2001-06-01 00:00:00,CIG MAINLINE,2500,77500,2.37,,77500,2.37,183675
"Enserco Energy, Inc.",2001-05-30 08:26:09,2001-06-01 00:00:00,CIG MAINLINE,5000,155000,2.23,,155000,2.23,345650
"El Paso Merchant Energy, L.P.",2001-05-30 08:26:09,2001-06-01 00:00:00,CIG MAINLINE,5000,155000,2.24,,155000,2.24,347200
WACOG,2.4345283395506097,,,,2484743,,,2484743,,6049177.25
,,,,,,,,,,
"HS Energy Services, Inc.",2001-05-24 09:17:12,2001-06-01 00:00:00,Cheyenne Hub,5000,155000,2.945,,155000,2.945,456475
"HS Energy Services, Inc.",2001-05-24 11:04:12,2001-06-01 00:00:00,Cheyenne Hub,5000,155000,2.885,,155000,2.885,447175
"HS Energy Services, Inc.",2001-05-24 14:54:12,2001-06-01 00:00:00,Cheyenne Hub,2500,77500,2.79,,77500,2.79,216225
Tenaska Marketing Ventures,2001-05-24 15:45:12,2001-06-01 00:00:00,Cheyenne Hub,2500,77500,2.81,,77500,2.81,217775
Tenaska Marketing Ventures,2001-05-24 15:46:12,2001-06-01 00:00:00,Cheyenne Hub,2500,77500,2.84,,77500,2.84,220100
Questar Energy Trading Company,2001-05-25 08:56:11,2001-06-01 00:00:00,Cheyenne Hub,5000,155000,2.685,,155000,2.685,416175
"HS Energy Services, Inc.",2001-05-25 10:37:11,2001-06-01 00:00:00,Cheyenne Hub,2500,77500,2.665,,77500,2.665,206537.5
"HS Energy Services, Inc.",2001-05-25 11:28:11,2001-06-01 00:00:00,Cheyenne Hub,2500,77500,2.68,,77500,2.68,207700
"HS Energy Services, Inc.",2001-05-29 09:30:09,2001-06-01 00:00:00,Cheyenne Hub,2500,77500,2.56,,77500,2.56,198400
"HS Energy Services, Inc.",2001-05-29 14:43:09,2001-06-01 00:00:00,Cheyenne Hub,2500,77500,2.46,,77500,2.46,190650
WACOG,2.7565384615384616,,,,1007500,,,1007500,,2777212.5
,,,,,,,,,,
"Cross Timbers Energy Services, Inc.",2001-05-24 08:16:42,2001-06-01 00:00:00,NW ROCKIES - Opal,10000,310000,2.875,,310000,2.875,891250
"Enserco Energy, Inc.",2001-05-24 08:31:47,2001-06-01 00:00:00,NW ROCKIES - Opal,10000,310000,2.91,,310000,2.91,902100
"Enserco Energy, Inc.",2001-05-24 08:49:03,2001-06-01 00:00:00,NW ROCKIES - Opal,10000,310000,2.895,,310000,2.895,897450
"e prime, inc.",2001-05-24 08:53:38,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.89,,155000,2.89,447950
"e prime, inc.",2001-05-24 09:02:59,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.89,,155000,2.89,447950
"e prime, inc.",2001-05-24 09:08:01,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.87,,155000,2.87,444850
