Buyer           ,Seller          ,Deal No.   ,Type        ,Deal Date ,Beg Date ,End Date ,Original Deal Number
,,,,,,,
TEXACOINC      ,ENA            ,V78252.1  ,Swap       ,2001-05-04 00:00:00,2001-11-01 00:00:00,2001-12-31 00:00:00, 
ENA            ,TEXACOINC      ,VT2484.1  ,Swap       ,2001-08-01 00:00:00,2001-10-01 00:00:00,2001-12-31 00:00:00, 
TEXACOINC      ,ENA            ,QK8986.2  ,Swap       ,2001-01-10 00:00:00,2001-10-01 00:00:00,2001-12-31 00:00:00, 
ENA            ,TEXACOINC      ,YL5648.1  ,Swap       ,2001-11-26 00:00:00,2001-12-01 00:00:00,2001-12-31 00:00:00, 
TEXACOINC      ,ENA            ,VT2484.2  ,Swap       ,2001-08-01 00:00:00,2001-10-01 00:00:00,2001-12-31 00:00:00, 
TEXACOINC      ,ENA            ,YL8166.1  ,Gas Daily S,2001-11-27 00:00:00,2001-12-01 00:00:00,2001-12-31 00:00:00, 
ENA            ,TEXACOINC      ,QK8986.1  ,Swap       ,2001-01-10 00:00:00,2001-10-01 00:00:00,2001-12-31 00:00:00, 
TEXACOINC      ,ENA            ,V96500.1  ,Swap       ,2001-05-15 00:00:00,2001-11-01 00:00:00,2001-12-31 00:00:00, 
TEXACOINC      ,ENA            ,VJ6720.1  ,Swap       ,2001-06-25 00:00:00,2001-12-01 00:00:00,2001-12-31 00:00:00, 
TEXACOINC      ,ENA            ,VG9952.1  ,Swap       ,2001-06-13 00:00:00,2001-11-01 00:00:00,2001-12-31 00:00:00, 
TEXACOINC      ,ENA            ,YL8182.1  ,Gas Daily S,2001-11-27 00:00:00,2001-12-01 00:00:00,2001-12-31 00:00:00, 
ENA            ,TEXACOINC      ,QF0010.1  ,Swap       ,2000-12-06 00:00:00,2001-03-01 00:00:00,2001-12-31 00:00:00, 
TEXACOINC      ,ENA            ,VN4317.1  ,Swap       ,2001-07-11 00:00:00,2001-10-01 00:00:00,2001-12-31 00:00:00,1528174
ENA            ,TEXACOINC      ,VK6782.1  ,Swap       ,2001-06-27 00:00:00,2001-10-01 00:00:00,2001-12-31 00:00:00, 
TEXACOINC      ,ENA            ,VK6782.2  ,Swap       ,2001-06-27 00:00:00,2001-10-01 00:00:00,2001-12-31 00:00:00, 
TEXACOINC      ,ENA            ,VN3740.1  ,Swap       ,2001-07-11 00:00:00,2001-10-01 00:00:00,2001-12-31 00:00:00,1526963
TEXACOINC      ,ENA            ,VH5353.1  ,Swap       ,2001-06-15 00:00:00,2002-01-01 00:00:00,2002-01-31 00:00:00, 
ENA            ,TEXACOINC      ,VN5718.1  ,Swap       ,2001-07-11 00:00:00,2002-01-01 00:00:00,2002-01-31 00:00:00, 
TEXACOINC      ,ENA            ,YJ0623.1  ,Swap       ,2001-11-13 00:00:00,2002-01-01 00:00:00,2002-02-28 00:00:00, 
ENA            ,TEXACOINC      ,YK0221.1  ,OPT/Put    ,2001-11-16 00:00:00,2002-02-01 00:00:00,2002-02-28 00:00:00, 
TEXACOINC      ,ENA            ,YJ0622.1  ,OPT/Put    ,2001-11-13 00:00:00,2002-01-01 00:00:00,2002-02-28 00:00:00, 
