"Deals done Since April 1, 2001",,,,,,,,,,,
Counterparty,Date,Location,Term,Days,Volume/d,Phys/Fin,Trader,Trader Price,Counter Party Price,Orig/ MMBtu,Total Orig
E-Prime,2001-05-08 00:00:00,CIG,Nov 01-Mar 02,151,700,Fin,Ermis,4.415,4.42,0.004999999999999893,528.4999999999887
E-Prime,2001-05-08 00:00:00,CIG,2001-10-01 00:00:00,31,300,Fin,Ermis,3.75,3.76,0.009999999999999787,92.99999999999801
E-Prime,2001-05-08 00:00:00,CIG,2001-04-02 00:00:00,30,300,Fin,Ermis,3.73,3.74,0.010000000000000231,90.00000000000207
E-Prime,2001-05-15 00:00:00,NYMEX,Jul 02 - Jun 03,720,333,Fin,Quigly,5.535,5.535,0,0
Mega,2001-05-16 00:00:00,Sumas,Sep 01-Oct 01,61,6690,Fin,Mc Kay,Monthly,,0.01234,5035.830599999999
OSM,2001-05-17 00:00:00,Sumas,Jun 01-Oct 02,491,4000,Phys,Mc Kay,5.917,5.94,0.023000000000000576,45172.000000001135
E-Prime,2001-05-08 00:00:00,CIG,Nov 01 - Feb 02,120,1000,Fin,Ermis,3.285,3.34,0.054999999999999716,6599.999999999965
Mega,2001-05-21 00:00:00,Sumas,Sep 01-Nov 01,91,6690,Fin,Mc Kay,Monthly,,0.045,27395.55
E-Prime,2001-05-22 00:00:00,CIG,Jun 01 - Sep 02,487,3200,Fin,Ermis,,,0.015,23376
E-Prime,2001-05-24 00:00:00,CIG,Nov 01-Oct 02,365,5000,Phys,Reitmeyer,0.2,0.21,0.009999999999999981,18249.999999999967
Kaiser,2001-05-24 00:00:00,NWR,2001-06-01 00:00:00,30,2696,Phys,South,0,0.02,0.02,1617.6
Kaiser,2001-05-24 00:00:00,AECO,2001-06-01 00:00:00,15,2100,Phys,McKay,0,0.02,0.02,630
Kaiser,2001-05-24 00:00:00,AECO,2001-06-01 00:00:00,15,1400,Phys,McKay,0,0.02,0.02,420
West Linn Paper,2001-05-24 00:00:00,Sumas,Jun 26 - Jun 29,4,1000,Phys,Chad,0.01,0.01,0,0
E-Prime,2001-05-25 00:00:00,CIG,Nov 01-Feb 02,120,1800,Fin,Ermis,4.155,4.17,0.01499999999999968,3239.999999999931
E-Prime,2001-05-25 00:00:00,CIG,2002-03-01 00:00:00,31,1400,Fin,Ermis,3.995,4.01,0.01499999999999968,650.9999999999861
West Linn Paper,2001-05-29 00:00:00,Sumas,Jun 30 - Jun 31,2,2030,Phys,Chad,0.01,0.01,0,0
E-Prime,2001-05-29 00:00:00,CIG,Nov 01- Mar 02,151,850,Fin,Ermis,3.97,3.99,0.020000000000000018,2567.0000000000023
,,,,,,,,,,,
,,,,,,,,,,,135666.480600001
