"Desert Power, L.P.","Desert Power, L.P.","Desert Power, L.P.","Desert Power, L.P.","Desert Power, L.P.","Desert Power, L.P."
Estimated Gas Consumption,Estimated Gas Consumption,Estimated Gas Consumption,Estimated Gas Consumption,Estimated Gas Consumption,Estimated Gas Consumption
,,,,,
,,,,,
,,,,Estimated,Cumulative
Date,Day,,Nomination,Actual Consumption,Imbalance
,,,,,
2001-07-29 00:00:00,Sun,,1500,0,1500
2001-07-30 00:00:00,Mon,,,1.4,1498.6
2001-07-31 00:00:00,Tue,,,35.7,1462.8999999999999
2001-08-01 00:00:00,Wed,,,494.5,968.3999999999999
2001-08-02 00:00:00,Thu,,,37.86,930.5399999999998
2001-08-03 00:00:00,Fri,,,65.5,865.0399999999998
2001-08-04 00:00:00,Sat,,,5.2,859.8399999999998
2001-08-05 00:00:00,Sun,,,58.5,801.3399999999998
2001-08-06 00:00:00,Mon,,,0,801.3399999999998
2001-08-07 00:00:00,Tue,,,0,801.3399999999998
2001-08-08 00:00:00,Wed,,,569.09,232.24999999999977
2001-08-09 00:00:00,Thu,,3000,0,3232.25
2001-08-10 00:00:00,Fri,,,0,3232.25
2001-08-11 00:00:00,Sat,,,0,3232.25
2001-08-12 00:00:00,Sun,,,453.1,2779.15
2001-08-13 00:00:00,Mon,,,0,2779.15
2001-08-14 00:00:00,Tue,,,579.46,2199.69
2001-08-15 00:00:00,Wed,,,1158.04,1041.65
2001-08-16 00:00:00,Thu,,,,1041.65
2001-08-17 00:00:00,Fri,,,,1041.65
2001-08-18 00:00:00,Sat,,,,1041.65
2001-08-19 00:00:00,Sun,,,,1041.65
2001-08-20 00:00:00,Mon,,,,1041.65
2001-08-21 00:00:00,Tue,,,,1041.65
2001-08-22 00:00:00,Wed,,,,1041.65
2001-08-23 00:00:00,Thu,,0,,1041.65
2001-08-24 00:00:00,Fri,,,,1041.65
2001-08-25 00:00:00,Sat,,,,
2001-08-26 00:00:00,Sun,,,,
2001-08-27 00:00:00,Mon,,,,
2001-08-28 00:00:00,Tue,,,,
2001-08-29 00:00:00,Wed,,,,
2001-08-30 00:00:00,Thu,,,,
2001-08-31 00:00:00,Fri,,,,
2001-09-01 00:00:00,Sat,,,,
2001-09-02 00:00:00,Sun,,,,
2001-09-03 00:00:00,Mon,,,,
2001-09-04 00:00:00,Tue,,,,
2001-09-05 00:00:00,Wed,,,,
2001-09-06 00:00:00,Thu,,,,
,,,,,
Red - Magcorp Nominated Supply,Red - Magcorp Nominated Supply,Red - Magcorp Nominated Supply,Red - Magcorp Nominated Supply,Red - Magcorp Nominated Supply,Red - Magcorp Nominated Supply
,,,,,
Blue - Enron Nominated Supply,Blue - Enron Nominated Supply,Blue - Enron Nominated Supply,Blue - Enron Nominated Supply,Blue - Enron Nominated Supply,Blue - Enron Nominated Supply
