,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Monthly Changes in Norscan Inventories,,,,,,
,,,,NORSCAN Producer Inventories of Chemical Paper-Grade Market Pulp,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,,,,,,,,,,,,,,,,,,,,,,,,,,
1979.0,612,1004,953,863,828,732,754,738,731,709,719,613,,1979,,392,-51,-90,-35,-96,22,-16,-7,-22,10,-106
1980.0,745,738,731,750,802,742,812,947,831,937,1088,946,,1980,132,-7,-7,19,52,-60,70,135,-116,106,151,-142
1981.0,1090,1183,1192,1167,1192,1024,1106,1193,1142,1373,1539,1432,,1981,144,93,9,-25,25,-168,82,87,-51,231,166,-107
1982.0,1580,1694,1766,1744,1904,1878,1876,1917,1741,1831,1801,1592,,1982,148,114,72,-22,160,-26,-2,41,-176,90,-30,-209
1983.0,1690,1738,1564,1524,1526,1409,1564,1622,1469,1509,1605,1197,,1983,98,48,-174,-40,2,-117,155,58,-153,40,96,-408
1984.0,1303,1084,914,1003,1034,1039,1247,1349,1309,1490,1635,1616,,1984,106,-219,-170,89,31,5,208,102,-40,181,145,-19
1985.0,1788,1836,1790,1643,1466,1478,1504,1528,1384,1504,1562,1326,,1985,172,48,-46,-147,-177,12,26,24,-144,120,58,-236
1986.0,1330,1306,1131,1024,1080,943,1014,1030,894,890,1018,847,,1986,4,-24,-175,-107,56,-137,71,16,-136,-4,128,-171
1987.0,1000,1022,867,907,925,801,955,1053,854,870,897,676,,1987,153,22,-155,40,18,-124,154,98,-199,16,27,-221
1988.0,915,900,797,815,767,671,798,844,772,798,852,675,,1988,239,-15,-103,18,-48,-96,127,46,-72,26,54,-177
1989.0,890,897,764,804,841,786,943,1033,992,1068,1182,1026,,1989,215,7,-133,40,37,-55,157,90,-41,76,114,-156
1990.0,1417,1471,1388,1395,1442,1403,1705,1658,1484,1467,1451,1362,,1990,391,54,-83,7,47,-39,302,-47,-174,-17,-16,-89
1991.0,1526,1630,1612,1598,1618,1668,1686,1783,1510,1481,1414,1274,,1991,164,104,-18,-14,20,50,18,97,-273,-29,-67,-140
1992.0,1278,1384,1231,1249,1279,1114,1272,1489,1565,1608,1815,1848,,1992,4,106,-153,18,30,-165,158,217,76,43,207,33
1993.0,2007,2101,1953,1875,1808,1848,1960,2073,1931,1753,1605,1412,,1993,159,94,-148,-78,-67,40,112,113,-142,-178,-148,-193
1994.0,1500,1501,1425,1324,1262,1264,1268,1266,1112,1162,1205,1054,,1994,88,1,-76,-101,-62,2,4,-2,-154,50,43,-151
1995.0,1170,1184,1186,1198,1135,1021,1250,1269,1284,1588,1848,1991,,1995,116,14,2,12,-63,-114,229,19,15,304,260,143
1996.0,2318,2579,2558,2191,1827,1525,1720,1767,1737,1748,1928,1927,,1996,327,261,-21,-367,-364,-302,195,47,-30,11,180,-1
1997.0,2046,2109,1958,1710,1612,1573,1697,1776,1624,1579,1764,1770,,1997,119,63,-151,-248,-98,-39,124,79,-152,-45,185,6
1998.0,1931,1836,1536,1474,1434,1521,1837,1934,1760,1661,1648,1581,,1998,161,-95,-300,-62,-40,87,316,97,-174,-99,-13,-67
1999.0,1736,1690,1525,1460,1405,1341,1436,1449,1263,1142,1199,1153,,1999,155,-46,-165,-65,-55,-64,95,13,-186,-121,57,-46
2000.0,1296,1282,1178,1223,1215,1087,1271,1448,1408,1546,1686,1784,,2000,143,-14,-104,45,-8,-128,184,177,-40,138,140,98
2001.0,2027,2031,1935,1944,1860,1781,1804,1744,1549,,,,,2001,243,4,-96,9,-84,-79,23,-60,-195,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,10 Avg,143.6,48.8,-113.4,-86,-70.7,-63.3,143.5,85.7,-106,7.4,84.4,-31.8
