,          OCTOBER,,,,,,,,,,
,PLAN,ACTUALS,,NOV,NOV,,DEC,DEC,,PLAN,ACTUALS
,YTD,YTD,,PLAN,CE,,PLAN,CE,,YTD,YTD
,,,,,,,,,,,
Regulatory,-7.067,-6.718,,-0.704,-0.704,,-0.732,-0.732,,-8.503,-8.154
O&M Expenses,-1.81,-1.921,,-0.156,-0.163,,-0.358,-0.164,,-2.324,-2.248
Aviation,-0.3,0,,0,0,,-0.1,-0.1,,-0.4,-0.1
Other/Revenue Mangement,-0.2,0.048,,0,0,,-0.1,-0.06,,-0.30000000000000004,-0.011999999999999997
,,,,,,,,,,,
,-9.377,-8.591,,-0.86,-0.867,,-1.29,-1.056,,-11.527000000000001,-10.514000000000001
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
This analysis does not include UAF,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
