,,NEPOOL,Zone G ,Zone G-NEPOOL (Megawatt Daily),Actual NEPOOL Clearing Prices,G-NEPOOL (Actual),,ZoneG-NEPOOL Spread (MegaWatt Daily),ZoneG-NEPOOL Spread (MegaWatt Daily),ZoneG-NEPOOL Spread (MegaWatt Daily),ZoneG-NEPOOL Spread (MegaWatt Daily),
2000-01-01,6.0,22.670000076293945,33.91125,0,18.93,0,,,Average,High,Low,
2000-01-02,7.0,22.670000076293945,28.138125,0,23.74125,0,,Jan-Feb,-5.44339300428118,-47.16999908447266,19.43125106811523,
2000-01-03,1.0,32.279998779296875,33.756875,1.4768762207031259,24.626875,9.130000000000003,,January,-8.476399234590076,-47.16999908447266,19.43125106811523,
2000-01-04,2.0,26.829999923706055,33.894375,7.064375076293942,31.84625,2.0481249999999953,,February,-2.4103867739722844,-21.588125762939452,10.425000305175779,
2000-01-05,3.0,27.729999542236328,21.378125,-6.351874542236327,29.65,-8.271874999999998,,March,2.260815177585768,-4.422500381469728,11.059999771118164,
2000-01-06,4.0,34.790000915527344,24.22625,-10.563750915527343,30.621875,-6.395624999999999,,April,3.20821895980835,-19.468123931884765,16.751250076293942,
2000-01-07,5.0,31.040000915527344,22.148125,-8.891875915527343,31.2525,-9.104375000000001,,May,-9.510788434899373,-83.39438232421875,14.420624237060544,
2000-01-08,6.0,28.5,21.49375,0,31.6025,0,,June,20.10420425415039,-164.23376342773437,474.03062225341796,
2000-01-09,7.0,28.5,22.223125,0,24.70875,0,,July,6.048184153238931,-21.164377746582034,21.220001220703125,
2000-01-10,1.0,32.290000915527344,25.215625,-7.0743759155273445,35.345625,-10.129999999999999,,August,21.070787870987605,-17.112503051757812,142.00500061035157,
2000-01-11,2.0,32.90999984741211,24.5925,-8.317499847412108,29.846875,-5.254375,,September,3.1776192583356586,-14.563749694824217,14.324999237060545,
2000-01-12,3.0,33.130001068115234,26.615,-6.515001068115236,26.91375,-0.29875000000000185,,Jan-Sep,4.048487048026843,-164.23376342773437,474.03062225341796,
2000-01-13,4.0,32.18000030517578,25.011875,-7.168125305175781,33.74125,-8.729375000000001,,,,,,
2000-01-14,5.0,34.7400016784668,34.4375,-0.3025016784667969,60.025625,-25.588124999999998,,ZoneG-NEPOOL Spread (RT Clearing Prices),ZoneG-NEPOOL Spread (RT Clearing Prices),ZoneG-NEPOOL Spread (RT Clearing Prices),ZoneG-NEPOOL Spread (RT Clearing Prices),
2000-01-15,6.0,32,25.600625,0,45.953125,0,,ZoneG-NEPOOL Spread (RT Clearing Prices),ZoneG-NEPOOL Spread (RT Clearing Prices),ZoneG-NEPOOL Spread (RT Clearing Prices),ZoneG-NEPOOL Spread (RT Clearing Prices),
