Bonneville Power Administration - Transmission Purchases,Bonneville Power Administration - Transmission Purchases,Bonneville Power Administration - Transmission Purchases,,,,,,,,,
2001-10-01 00:00:00,2001-10-01 00:00:00,2001-10-01 00:00:00,,,,,,,,,
,,,,,,,,,,,
FROM HOTSPRINGS TO:,NETWORK     (MID-C/JOHN DAY),NETWORK     (MID-C/JOHN DAY),NETWORK     (MID-C/JOHN DAY),AC TIE     (COB/MALIN),AC TIE     (COB/MALIN),AC TIE     (COB/MALIN),DC TIE    (NOB/BIG EDDY),DC TIE    (NOB/BIG EDDY),DC TIE    (NOB/BIG EDDY),,
DATE,VOLUME,PRICE,TOTAL TRANS COST,VOLUME,PRICE,TOTAL TRANS COST,VOLUME,PRICE,TOTAL TRANS COST,,
2001-10-01 00:00:00,535,2.92,1562.2,70,6.26,438.2,,,0,,
2001-10-02 00:00:00,,,0,,,0,470,6.26,2942.2,,
2001-10-03 00:00:00,25,2.93,73.25,,,0,874,6.26,5471.24,,
2001-10-04 00:00:00,363,2.92,1059.96,,,0,19,6.26,118.94,,
2001-10-05 00:00:00,388,2.92,1132.96,,,0,,,0,,
2001-10-06 00:00:00,,,0,,,0,,,0,,
2001-10-07 00:00:00,,,0,,,0,,,0,,
2001-10-08 00:00:00,,,0,,,0,10,6.26,62.599999999999994,,
2001-10-09 00:00:00,577,2.92,1684.84,,,0,,,0,,
2001-10-10 00:00:00,110,2.92,321.2,,,0,25,6.26,156.5,,
2001-10-11 00:00:00,714,2.92,2084.88,2,6.26,12.52,,,0,,
2001-10-12 00:00:00,,,0,,,0,,,0,,
2001-10-13 00:00:00,,,0,,,0,,,0,,
2001-10-14 00:00:00,,,0,,,0,,,0,,
2001-10-15 00:00:00,,,0,,,0,,,0,,
2001-10-16 00:00:00,,,0,,,0,,,0,,
2001-10-17 00:00:00,,,0,,,0,,,0,,
2001-10-18 00:00:00,,,0,,,0,,,0,,
2001-10-19 00:00:00,,,0,,,0,,,0,,
2001-10-20 00:00:00,,,0,,,0,,,0,,
2001-10-21 00:00:00,,,0,,,0,,,0,,
2001-10-22 00:00:00,,,0,,,0,,,0,,
2001-10-23 00:00:00,,,0,,,0,,,0,,
2001-10-24 00:00:00,,,0,,,0,,,0,,
2001-10-25 00:00:00,,,0,,,0,,,0,,
2001-10-26 00:00:00,,,0,,,0,,,0,,
2001-10-27 00:00:00,,,0,,,0,,,0,,
2001-10-28 00:00:00,,,0,,,0,,,0,,
2001-10-29 00:00:00,,,0,,,0,,,0,,
2001-10-30 00:00:00,,,0,,,0,,,0,,
2001-10-31 00:00:00,,,0,,,0,,,0,,
TOTAL,2712,20.450000000000003,7919.29,72,12.52,450.71999999999997,1398,31.299999999999997,8751.48,TOTAL COST,TOTAL VOLUME
,,,,,,,,,,17121.489999999998,4182
