Retail Short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ancillary Service % - NP15,,,,,,,,,,,,,,,,,,,,,,,,,,Ancillary Service % - SP15,,,,,,,,,,,,,,,,,,,,,,,,,,,A/S Short - NP15,,,,,,,,,,,,,,,,,,,,,,,,,,
,FMONTH,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,FMONTH,Data,,,,,,,,,,,,,,,,,,,,,,,,,FMONTH,Data,,,,,,,,,,,,,,,,,,,,,,,,,,FMONTH,Data,,,,,,,,,,,,,,,,,,,,,,,,
,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,,Total pvMWH ON,Total pvMWH OFF,,,,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,,,,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,,,,,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,,Total pvMWH ON,Total pvMWH OFF
FYEAR,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,,,,,FYEAR,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,,FYEAR,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,,,FYEAR,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,pvMWH ON,pvMWH OFF,,
2001,,,,,,,,,,,,,,,,,,,,,,,-522817.46327553777,-359264.80058438494,-522817.46327553777,-359264.80058438494,,,2001,0.0517,0.0684,0.0527,0.0573,0.0601,0.0562,0.0651,0.0904,0.0698,0.0656,0.1777,0.1454,0.1353,0.1443,0.1165,0.0847,0.0988,0.0906,0.0537,0.054,0.0586,0.0538,0.0716,0.0779,,2001,0.0691,0.0797,0.0608,0.0684,0.0667,0.0739,0.0859,0.1333,0.0618,0.1061,0.1654,0.2127,0.1299,0.1842,0.0878,0.1276,0.0843,0.0776,0.0608,0.0546,0.0747,0.0614,0.0905,0.0817,,,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19237.353661855,-14402.7341787326,-19237.353661855,-14402.7341787326
2002,-555768.1835193215,-340116.03105939715,-535892.2674050448,-310807.88369777537,-566895.0135712349,-345729.00162464933,-455450.7615436713,-247764.6793467662,-470093.3592918496,-277641.0348979989,-461841.159492302,-280128.3144833822,-467886.4000363755,-279071.97461559507,-485416.45683350804,-263539.67092987895,-428982.33238914015,-282714.9874421001,-455707.6183871885,-243681.68042635685,-386387.69135963445,-243169.01920051698,-360779.7790141601,-244661.3530553656,-5631101.022843431,-3359025.6307797823,,,2002,0.0517,0.0684,0.0527,0.0573,0.0601,0.0562,0.0651,0.0904,0.0698,0.0656,0.1777,0.1454,0.1353,0.1443,0.1165,0.0847,0.0988,0.0906,0.0537,0.054,0.0586,0.0538,0.0716,0.0779,,2002,0.0691,0.0797,0.0608,0.0684,0.0667,0.0739,0.0859,0.1333,0.0618,0.1061,0.1654,0.2127,0.1299,0.1842,0.0878,0.1276,0.0843,0.0776,0.0608,0.0546,0.0747,0.0614,0.0905,0.0817,,,2002,-14799.883058061303,-12086.328923932666,-14427.305034132778,-9170.445341637364,-17462.632158863846,-9974.029985083796,-15587.58813567018,-12016.438022358527,-17114.039589879874,-9629.207202985084,-42874.990242548054,-21368.679759367784,-31726.99933961741,-20455.272290337813,-28684.48238872139,-11433.55871143539,-21737.704338539897,-13304.547281948158,-12662.47851088588,-6961.644872335369,-11341.000220962695,-6625.736442447182,-12859.92284648411,-9626.558366392961,-241279.0258643674,-142652.4472002621
2003,-387133.08881151525,-238738.82799120492,-377441.21916975314,-221136.93324279887,-390348.38122043794,-238982.85167614918,-323829.0157832412,-175789.1130183142,-330514.14328291203,-199523.4983671298,-335046.00127403624,-200123.98617312007,-346012.36548318266,-204971.07023960992,-331865.4508316787,-199035.32010437152,-312828.1128266372,-187113.37641621113,-305559.3857771002,-163270.59626182655,-250255.14938069254,-173035.33826640775,-249724.37172647746,-151514.45071420263,-3940556.6855676644,-2353235.3624713467,,,2003,0.0517,0.0684,0.0527,0.0573,0.0601,0.0562,0.0651,0.0904,0.0698,0.0656,0.1777,0.1454,0.1353,0.1443,0.1165,0.0847,0.0988,0.0906,0.0537,0.054,0.0586,0.0538,0.0716,0.0779,,2003,0.0691,0.0797,0.0608,0.0684,0.0667,0.0739,0.0859,0.1333,0.0618,0.1061,0.1654,0.2127,0.1299,0.1842,0.0878,0.1276,0.0843,0.0776,0.0608,0.0546,0.0747,0.0614,0.0905,0.0817,,,2003,-10176.20715092411,-8503.975684802273,-10094.637662799742,-6574.290040890907,-11725.094389412832,-6824.69673892895,-10949.093030122296,-8361.720402174798,-11813.90316928448,-6681.503269145234,-30436.50602186844,-14859.559164720924,-23788.059402996318,-15033.926961423074,-19676.674229289845,-8517.368338245804,-15468.173097599589,-8510.195226158206,-8459.342809409678,-4631.039238104994,-7474.037862383423,-4765.28712375382,-8999.23160698791,-5987.5350295486205,-169060.96043307867,-99251.0972178976
2004,-241894.66897012794,-148919.20493037044,-240817.13204684464,-150404.79385315144,-259160.64440667405,-139143.13055013053,-214306.86382902536,-114056.90083769543,-202224.22234405935,-132087.1359574086,-215909.4705968349,-114575.82049320043,-195399.00733471196,-115692.32543021392,-181726.6058385253,-106999.31375806387,-165408.56884356274,-97283.44950880605,-153889.05990439327,-89730.17703400734,-137759.72485717433,-81163.93253967087,-133931.88184093055,-76790.25912799059,-2342427.8508128645,-1366846.4440207097,,,2004,0.0517,0.0684,0.0527,0.0573,0.0601,0.0562,0.0651,0.0904,0.0698,0.0656,0.1777,0.1454,0.1353,0.1443,0.1165,0.0847,0.0988,0.0906,0.0537,0.054,0.0586,0.0538,0.0716,0.0779,,2004,0.0691,0.0797,0.0608,0.0684,0.0667,0.0739,0.0859,0.1333,0.0618,0.1061,0.1654,0.2127,0.1299,0.1842,0.0878,0.1276,0.0843,0.0776,0.0608,0.0546,0.0747,0.0614,0.0905,0.0817,,,2004,-6345.334584394483,-5181.824519309336,-6415.074427578471,-4382.34486801582,-7880.942923597517,-3980.61631593656,-7354.818343754829,-5589.0372054098525,-7539.061454468501,-4695.889388716037,-20674.152811571377,-9108.236492403797,-14402.175518997336,-9054.182626473084,-11872.383686659618,-5039.837338586246,-9286.478978976946,-5031.240596952843,-4811.184242039142,-2849.174747688585,-4735.198038705871,-2642.9069353108616,-5519.338032411886,-3601.1734932668633,-106836.14304315599,-61156.46452806989
2005,-118421.45046530126,-73740.6857011956,-123464.56024274131,-66792.10002599613,-133179.76982650493,-67522.34249991472,-131627.69803749706,-67391.22708609492,-128442.75240809645,-78755.89825763603,-141290.41747831355,-71794.44391032805,-133694.98048257543,-82756.52118577318,-133465.5123666224,-69389.55855476273,-123272.18610472887,-72102.57135203495,-120020.25358876731,-71424.20210600307,-106635.95907201152,-65074.34559420488,-103221.91682709698,-62537.55318708663,-1496737.4569002572,-849281.4494610308,,,2005,0.0517,0.0684,0.0527,0.0573,0.0601,0.0562,0.0651,0.0904,0.0698,0.0656,0.1777,0.1454,0.1353,0.1443,0.1165,0.0847,0.0988,0.0906,0.0537,0.054,0.0586,0.0538,0.0716,0.0779,,2005,0.0691,0.0797,0.0608,0.0684,0.0667,0.0739,0.0859,0.1333,0.0618,0.1061,0.1654,0.2127,0.1299,0.1842,0.0878,0.1276,0.0843,0.0776,0.0608,0.0546,0.0747,0.0614,0.0905,0.0817,,,2005,-3578.951657186923,-3103.4282921956396,-3811.767905984448,-2362.441697966782,-4707.334563953365,-2345.9918067201306,-4996.383011225186,-3723.2214883966985,-5229.3322919105,-3123.633863713001,-14625.660839525408,-6286.327485271198,-10417.407918452756,-7080.551190270009,-9804.417990508593,-3691.790483311346,-7708.339224756943,-4119.370075956519,-4106.24686986535,-2432.42110309966,-3936.8364175814318,-2201.910355464707,-4652.511867436769,-3059.1788451587627,-77575.19055838768,-43530.26668752446
2006,-96443.15401168547,-63059.72880644,-67629.09243450852,-37467.56226198584,-71547.08492257133,-36905.70624573732,-56028.20348140932,-29736.38767068674,-58994.84959127216,-30280.044891335074,-63279.26916793582,-29202.84218711452,-59682.880884555816,-33107.38272757757,-34655.1173140527,-21372.84085607328,-31104.608634685494,-21693.840955792806,-30331.598442917963,-20580.653793134494,-28079.782515362163,-19258.16290093558,-26263.00045510643,-19293.76978500853,-624038.6418560632,-361958.9230818217,,,2006,0.0517,0.0684,0.0527,0.0573,0.0601,0.0562,0.0651,0.0904,0.0698,0.0656,0.1777,0.1454,0.1353,0.1443,0.1165,0.0847,0.0988,0.0906,0.0537,0.054,0.0586,0.0538,0.0716,0.0779,,2006,0.0691,0.0797,0.0608,0.0684,0.0667,0.0739,0.0859,0.1333,0.0618,0.1061,0.1654,0.2127,0.1299,0.1842,0.0878,0.1276,0.0843,0.0776,0.0608,0.0546,0.0747,0.0614,0.0905,0.0817,,,2006,-3166.829384341783,-2737.6096299139244,-2262.64833562682,-1416.5175650774947,-2726.143791404964,-1375.4609449756845,-2271.649605376381,-1731.4707404479736,-2561.2629726552727,-1283.0260891857026,-6973.411549790933,-2737.33135902343,-4958.607651887583,-3029.2767855779357,-2601.8162596880793,-1206.466638666452,-2004.9434283451963,-1313.3740737389428,-1088.6669675720127,-779.6488913325832,-1097.8399252148777,-734.0539346579376,-1268.4698079671384,-1079.4889216767685,-32982.289679871035,-19423.725574274835
2007,-55922.296935797815,-37233.28412275576,-53605.45210326303,-34040.27124147451,-58076.16595158117,-34164.55089749342,-37120.96734488981,-25134.515911726077,-39017.67808503939,-26074.856795504493,-41910.358029428244,-26027.597061241744,-40932.173492582704,-29742.167209996343,-43294.61128656157,-26393.213646224965,-37834.21103281051,-28482.782068805205,-39210.42774438766,-24180.847283174346,-35284.413250788944,-24423.79847286851,-33181.16681563206,-24809.25087179522,-515389.9220727629,-340707.1355830606,,,2007,0.0517,0.0684,0.0527,0.0573,0.0601,0.0562,0.0651,0.0904,0.0698,0.0656,0.1777,0.1454,0.1353,0.1443,0.1165,0.0847,0.0988,0.0906,0.0537,0.054,0.0586,0.0538,0.0716,0.0779,,2007,0.0691,0.0797,0.0608,0.0684,0.0667,0.0739,0.0859,0.1333,0.0618,0.1061,0.1654,0.2127,0.1299,0.1842,0.0878,0.1276,0.0843,0.0776,0.0608,0.0546,0.0747,0.0614,0.0905,0.0817,,,2007,-946.3311371286841,-877.6337099678613,-941.3831357563328,-689.9064258579634,-1155.6000496438821,-694.196897066039,-1167.911887725288,-1147.756367742373,-1315.8738746909592,-862.720100247306,-3476.2014246906083,-1826.2461437732954,-2552.9633695547104,-2051.220971825671,-2377.3619213583715,-1100.3059647385267,-1759.5058800230042,-1258.4717517703812,-1062.5176203511967,-694.6741054639084,-1031.4962416551932,-689.6942417389944,-1191.7845266142508,-1014.228470733302,-18978.93106919248,-12907.05515092562
