City of Palo Alto,,,,,,,,,,,,
Direct Access Eligible Load,MMBtu,,,,,,,,,,,
Customer ,1999-12-01 00:00:00,2000-01-01 00:00:00,2000-02-01 00:00:00,2000-03-01 00:00:00,2000-04-01 00:00:00,2000-05-01 00:00:00,2000-06-01 00:00:00,2000-07-01 00:00:00,2000-08-01 00:00:00,2000-09-01 00:00:00,2000-10-01 00:00:00,2000-11-01 00:00:00
1,25872,29259,31561,30013,26761,28536,27299,24575,31698,21213,24495,28010
2,13757,16820,6930,33285,43449,35583,48215,52267,69388,39019,40318,42660
3,55948,73666,60353,57711,49901,55752,51581,48394,54775,43904,47617,58207
4,29324,53114,48920,46549,33939,29045,30254,23611,24291,21548,22046,30649
5,24446,37658,35735,33191,25689,29901,31384,23252,24019,20153,22183,29541
6,151349,231551,190581,178139,149120,158123,146439,116519,119782,98954,107099,137919
7,33066,43365,33234,27058,30436,36348,35964,27818,29070,25138,27252,35950
8,144562,191825,154739,134546,143702,151678,143615,102692,98951,93104,106593,132326
9,61059,85343,50670,69922,49532,53127,56461,47483,54763,48663,50327,58446
10,27128,30584,30018,29635,24380,26342,26957,20612,24514,19884,22091,28534
11,27514,42723,32688,34982,23690,27989,25457,14521,10625,10534,15997,18723
12,29263,31848,23746,28507,23200,23379,23936,23450,18958,18820,22428,23682
13,24163,26291,27078,28891,25567,19990,24352,32316,26952,22830,25675,27003
