ENRON NORTH AMERICA,,,,,,,
TECHNICAL RISK REPORT - 9/20/00,,,,,,,
Business Unit,Project Name,Responsible  Party,Project Type,$$ Exposure,Assessment of Risk,Updated,Update/Comments
OEC,New Albany,Dobler,Operation,$0.25 - $0.5 MM,Low risk of bucket failure during peaking season.  Low to medium risk of generator failure during peaking season.,2000-09-11 00:00:00,Schedule slippage on delivery of 2 replacement sets of turbine buckets.  Potential removal and repair of 2-3 generator rotors due to magnetism.
,Caledonia,Dobler,Operation,,None present,2000-09-11 00:00:00,
,Brownsville,Dobler,Operation,,TN Air Pollution Board allocation of Nox credits.,2000-09-11 00:00:00,"Federal court mandated delay of State implementation prompted TN to delay rulemaking from May 2003 to May 2004.  Similar reaction expected from IN, IL, GA.  "
,Gleason,Dobler,Operation,?,Medium to high risk on public relations issues stemming from low frequency noise.  Low risk to availability on exhaust plenum and duct failures due to improper construction.  Medium risk to increased MW rating on FD machines.,2000-09-11 00:00:00,"Met with SWPC on 9/11/00 to discuss low frequency noise issue and increase power rating.  SWPC willing to ""deal"" on trading LD's for increased rating from 182 to 188 MW and addressing noise issues by re-tuning combustion process.  Communication plan being developed for roll-out to community.  ENA to pursue recourse through EECC/NEPCO on duct constuction issues.  Potential ST4 bucket redesign available through SWPC which achieves 215 MW per unit (net 66 MW site increase)."
,Wheatland,Dobler,Operation,,None present,2000-09-11 00:00:00,
,Lincoln,Dobler,Operation,?,Low risk to implement revised combustor design.  Low risk on Brush generator design. ,2000-09-11 00:00:00,"GE planning roll-out of combustion hardware modifications beginning in September 00.  RCA not yet completed on generator failure, suspect installation casue not design."
,Doyle,Dobler,Operation,$ 1 - $ 2 MM,"H2 cooled generator leakage rates.  Mist eliminator opacity issues.  High seal air flows to #2 bearing, unit 1.",2000-09-11 00:00:00,"Turbine inspections to begin week of 9/18/00.  Owner decision to not install H2 seals and leave unit off line for remainder of off-peak season.  Mist eliminator replacement has mitigated the opacity levels, however, seal replacement is required to eliminate both opacity issue and high seal air flows to bearing cavity."
West,Alpine,Don Hammond/Saji John,Operation,,"Small preferred position, minimal risk",2000-09-06 00:00:00,"Natural Gas Distibution system constructed, currently signing up customers.  To date ANGI has met all construction milestones, and will meet their customer signup rate for the year 2000.  After fully subscribed exit strategy is to sell the equity.  "
,"Elvis
 (LVCLP)",J. Blackburn,O&M,,1) The trips and alarms caused by the Mark V LM Control System have been resolved.                                                                   2) Loose nuts in STG which could potentially destroy stator,2000-09-06 00:00:00,"1)  Nine months since replacement of the Control System and it did not interfere with this summer's high running schedule (plant ran non-stop generating merchant revenues for many days rather than the normal on/off cycle of the PPA)  Trips have been resolved by replacment of PROM's.                       2)  Inspection scheduled for10/17 to look at fleet problem of loose nuts in STG. Outage will be 24 hours. If problem found, outage will continue 5 days for repair"
,Priscilla (LVCII),Bill Williams/ Mark Mullen/ Don Hammond,Development/      Construction,,"1) Bid player options limited. Two bidders involved. Med risk.
2) Site boundary noise level - Low risk
3) HRSG long lead items - Med risk",2000-07-20 00:00:00,"1) High level of involvement in bid scope preparation and bidder response preparation.
2) Permitting going well, noise level issues are being worked through and remain low risk
3) Engineer/designer now on project so long lead items (HRSG) can be ordered."
,Pastoria,Wehn/Russell/Calger,Development/      Construction,,No current Risk,2000-09-20 00:00:00,"Project focus currently on permitting, no technical issues at this time.  "
,"Columbia        (Port of Longview, WA)",Bill Williams/ Mark Mullen/ Don Hammond,Development/      Construction,Development Budget Amount,"1) Verify the quantity of water the Port can provide under its current water right. 
2) Interconnection - Need to get ahead of Avista-Steag
3) Determine if the project can go through the Washington Energy Facility Siting Council's (EFSEC) expedited process.
4) Determine if a full year of ambient air data collection is required.",2000-07-20 00:00:00,"1) Pursue options with the City of Longview if quantity is not available at the Port.
2) BPA backed up on transmission interconnection studies but are now moving.
3) Meeting scheduled with EFSEC to discuss expedited process.
4) Purchased Local air data                                                                                                                                                  5)  Have now moved ahead of Avista in project permitting queue.  Siting for 249 MW."
,Black Mtn Power/Saguaro  (Cactus),Chuck Ward,Operational Review,,No current Risk,2000-08-03 00:00:00,The facility is currently over 95% available and ENA's ownership is 15%.  The plant availability has to fall below 90% for capacity payments to decrease substantially.
,Bighorn (Colstrip),Chuck Ward,Operational Review,,No current Risk,2000-08-03 00:00:00, Big Horn's historic availability exceeds 92%. 
East,Austin,Virgo,Development/      Construction,,Normal Construction Risk,2000-09-06 00:00:00,"No current issues, normal interface at site"
,Linden 6,Virgo/Mike Coleman,Development/      Construction,,"1) Construction risk - quarantees and liquidated damages with EPC contractor (NEPCO)
2) Machine - GE guarantees  East Coast Power has a capable project manager following this project.",2000-09-08 00:00:00,Under consturction no problems identified.  Orders have been placed for major equipment.
,East Coast Power       Linden   Camden   Bayonne,Dobler,O&M,,None present,2000-09-11 00:00:00,"OEC will be participating in monthly operator mtgs.  OEC preparing O&M proposal for ECP, for potential implementation beginning June 01."
,Ada Cogeneration,Mike Mazowita White Pine    248-442-4823,O&M,,Ongoing problems with both boiler feedpumps have been resolved.,2000-09-08 00:00:00,"One new motor has been ordered and installed. Currently assessing its operational performance and once it has successfully passed, the remaining feed pump motor will then be overhauled to like new condition.  The plant is now ten years old and components are starting to reach their useful life. The ongoing preventative maintenence programs will continue, which allow the plant to catch these incidents before failure.                                               "
,Ada Cogeneration,Dobler,O&M,,Ongoing problems with both boiler feedpumps have been resolved.,2000-09-11 00:00:00,"OEC has made contact with Owner's rep and will begin offering assistance, where practical, to project."
,Michigan Power,Mike Mazowita White Pine    248-442-4823,O&M,,None present,2000-09-08 00:00:00,The plant is running very well with Annual Availability exceeding 97%.
,Michigan Power,Dobler,O&M,,None present,2000-09-11 00:00:00,"OEC has made contact with Owner's rep and will begin offering assistance, where practical, to project."
,Tenaska IV Texas Partners  (Cleburne),Mike Mazowita White Pine    248-442-4823  Virgo,O&M,, Inherent risk exposure to Westinghouse 501 F technology machines and the transition/transition seal design deficiencies.,2000-09-08 00:00:00,"Outages have resulted because of this transition/transition seal design failure.. A new transition seal design is scheduled to be installed during the next outage beginning 9/25/00.  ENA is funding the retention of Power Systems to prepare a root cause diagnostic of the transition piece and seal failures, should take about 90 days.  Passed a technical boroscope inspection & comes down for a significant rebuild on Sept. 24.  WH will install a new transition seal then."
