,,,,,,,,,,,
,,,,,,,,,,,
, ,,,,,,,,,,
,,,PGT Shippers Listing - ENA Capacity Obligations ,,,,,,,,
,,,,,, ,,,,,
Structure,Market,Volume/day,Expiration,Shipper of Record,,,,Proposed,Potential ,,
,,,,,Tariff/Demand Charge,L/C Requst by PGT,Assignment Discussions ,Assignment Date,Adjusted L/C Amount, , 
(1),AEC,30000,2008-10-31 00:00:00,ENA,0.3194,3497430,Yes,2001-12-01 00:00:00,,,
,CNRL,15000,2008-10-31 00:00:00,ENA/CNRL,0.3194,1748715,Yes,2001-12-01 00:00:00, ,,
,Conoco/Crestar,5000,2008-10-31 00:00:00,ENA,0.3194,582905,Yes,2001-12-01 00:00:00,,,
,Rio Alto,2500,2008-10-31 00:00:00,ENA,0.3194,291452.5,Yes,2001-12-01 00:00:00,,,
,Talisman,10000,2008-10-31 00:00:00,ENA,0.3194,1165810,Yes,2001-12-01 00:00:00,,,
,ECC/Beau,5000,2008-10-31 00:00:00,ENA,0.3194,582905,No,,582905,,
,, ,,,,7869217.5,,,,,
(2),CNRL/Chevron,10000,2003-10-31 00:00:00,ENA,0.2548,930020,Yes,,,,
,,,, ,,,,,,,
(3),Humble,10000,2005-10-31 00:00:00,ENA,0.2548,930020,No,,930020,,
 ,,,, ,,,,,0,,
(4),Shell/SPPC,10099,2002-10-31 00:00:00,ENA,0.3194,1177352,No,,1177352,,
,,,,,,,,,0,,
(5),ENA,628,Expires Dec 31/01,ENA,0.2628,10067,No,,10067,,
,,,,,,,,,0,,
(6),ENA/EES,5387,Monthly Renewal,ENA,0.2548,41178,No,,41178,,
,,, ,,,,,,,,
,,,,,,10957854.5,,,2158617,,
,,,,,,,,,,,
,COMMENTS,,,,,,,,,,
,PGT wants L/C for demand charges on capacity obligations of actual tariff up to 1year or less.,,,,,,,,,,
,ENA and PGT volumes match,,,,,,,,,,
,"ENA will shed items 5 at year end, item 4, oct 31, 2002 and item 6 will be a monthly charge ( EES customers)",,,,,,,,,,
,"ENA sold 37,500 / day at Malin until 2008 and MMI pricing with Calpine holding the rights to drop the molecules off upstream of Malin ( PNW/ Hermiston)",,,,,,,,,,
,ENA and ECC will be appointed as Agent for billing and nominations as part of assignment.,,,,,,,,,,
