SOCO,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Geograhic Boundary:,,,"SE Mississippi, Alabama, Georgia, & Florida panhandle",,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Fuel Sources:,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,COAL,,,,,,,,,,,,,,
,,Appalachia,Ill Basin,S. PRB,Other,Imports,,,,,,,,,
,% Delivered,0.52,0.14,0.29,0.04,0.01,,,,,,,,,
,MS T&H,13.98,10.7,19,,,,,,,,,,,
,AL/FL T&H,11.01,7.12,21,,,,,,,,,,,
,GA T&H,12.11,11.04,21,,,,,,,,,,,
,BTU Content,12000,11300,8600,,,,,,,,,,,
,Conversion,0.041666666666666664,0.04424778761061947,0.05813953488372093,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Natural Gas,,"Southern Co., the main ute pulls off of SONAT which historically trades -.02 to Henry hub",,,,,,,,,,,,
,,,,,,,,,,,,,,,
,FO2/FO6,,"Use Gulf Coast Resid and Heating Oil prices, with minimal variable costs",,,,,,,,,,,,
,,,"FO6(resid) is qouted in $/Bl, conversion is .1586",,,,,,,,,,,,
,,,"FO2(HO) is quoted in Cents/Gallon, conversion is 7.17",,,,,,,,,,,,
,,,,,,,,,,,,,,,
Load Mix:,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Stack/Outages:,,,,,,,,,,,,,,,
,,,,,Winter,,,,Summer,,,,Marginal,Summer,Winter
,,,Winter,New,Total,%,Summer,New,Total,%,Fuel,$,MW(h),Increm,Increm
,Fuel Type,HeatRate,Cap,Cap,Cap,Cap,Cap,Cap,Cap,Cap,Cost,mmbtu,Cost,MW,MW
,Hydro,0.01,5249,0,5249,0.10038440207309376,5276,0,5276,0.10246649834919402,0.25,0.25,0.0025,5276,5249
,Nuke,10930,5774,0,5774,0.11042475472852799,5774,0,5774,0.11213827927752962,0.5,0.5,5.465,11050,11023
,Coal,9791,26017,0,26017,0.4975616286408231,25984,0,25984,0.5046416779957273,38,1.5833333333333333,15.502416666666665,37034,37040
,NG-CC,8138,5225,0,5225,0.09992541452313106,5161,0,5161,0.10023305496212857,2,2,16.276,42195,42265
,NG-CT,12142,8199,0,8199,0.15680162175600987,7782,0,7782,0.15113614294037678,2,2,24.284,49977,50464
,FO6-Resid,10746,122,0,122,0.0023331867123104286,122,0,122,0.0023693921149737815,14.63,2.320012686330479,24.93085632730733,50099,50586
,FO2-HO,13828,1703,0,1703,0.03256899156610377,1391,0,1391,0.027014954360069916,0.5205,3.731985,51.60588858,51490,52289
,,,52289,0,52289,1,51490,0,51490,1,,,,,
,*** SOCO has 1500MW of COGEN which could switch to the GRID if prices permit,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Capacity Additions,,,,,,Seasonal Demand/Outages,,,,,,,
,,Year,Gas-CC,Gas-CT,Cogen,Totals,,,16 hr Peak,Peak Range,,Seasonal,Src/Snk,*Normal,
,,Q1-2002,570,0,0,570,,Month,Avg.,Max,Min,Interch,Interch,Outages,
,,Q2-2002,3718,3562,0,7280,,Jan,30340,34184,15912,,,5198.45,
,,Q3-2002,0,0,240,240,,Feb,26185,29614,19179,,,8245.45,
,,Q4-2002,0,0,0,0,,Mar,25560,29106,19589,,,9998.45,
,,2002,4288,3562,240,8090,,Apr,28025,30306,18742,,,10551.45,
,,Q1-2003,2407,0,0,2407,,May,31932,35125,19584,,,6031.45,
,,Q2-2003,2590,2208,1500,6298,,Jun,34392,38036,20728,,,2952.45,
,,Q3-2003,0,0,0,0,,Jul,36597,41050,26423,,,2811.45,
,,Q4-2003,0,0,0,0,,Aug,36582,41489,24832,,,2762.45,
,,2003,4997,2208,1500,8705,,Sep,33599,37382,21574,,,4171.45,
,,Q1-2004,529,0,1230,1759,,Oct,37934,31984,20248,,,7794.45,
,,Q2-2004,1303,750,0,2053,,Nov,27073,29400,18841,,,8662.45,
,,Q3-2004,0,0,0,0,,Dec,30683,34608,18352,,,5766.45,
,,Q4-2004,0,0,0,0,,,*Outages include 5% forced out,,,,,,
,,2004,1832,750,1230,3812,,,,,,,,,
,,TOTAL,11117,6520,2970,20607,,,,,,,,,
Top 5 Utes:,,,,,,,,,,,,,,,
,,Hydro,Nuke,Coal,NG-CC,NG-CT,FO6,FO2,Totals,,,,,,
,Georgia Pwr,900,0,12845,187,1445,122,1106,16605,,,,,,
,Ala Pwr Co.,1682,940,8274,1314,940,0,16,13166,,,,,,
,Southern Nuclear,0,5773,0,0,0,0,0,5773,,,,,,
,Miss Pwr Co.,0,0,1730,1437,0,0,0,3167,,,,,,
,Gulf Pwr Co.,0,0,1468,88,13,0,32,1601,,,,,,
,,,,,,,,,,,,,,,
Top 5 Merchant(EOY '02):,,,,,,,,,,,,,,,
,,NG-CC,NG-CT,Totals,,,,,,,,,,,
,Duke,1240,640,1880,,,,,,,,,,,
,Tenaska,846,468,1314,,,,,,,,,,,
,Morgan Stanley,0,1120,1120,,,,,,,,,,,
,El Paso,0,680,680,,,,,,,,,,,
,Dynegy,0,500,500,,,,,,,,,,,
