,,,,,,,,
,,,,,,,,
Group Number,Gas Date,Net Schd,Operational,Role,,,Cycle,Allocations
24,2000-10-01 00:00:00,1073010,1090000,D,-16990.0,,,
24,2000-10-02 00:00:00,1076504,1090000,D,-13496.0,,,
24,2000-10-03 00:00:00,1091467,1090000,D,1467.0,Flow rate calculation,2,Nominations Exceed Capacity
24,2000-10-04 00:00:00,1082409,1090000,D,-7591.0,,3,Nominations Exceed Capacity
24,2000-10-05 00:00:00,1058395,1090000,D,-31605.0,,,
24,2000-10-06 00:00:00,1090910,1090427,D,483.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2000-10-07 00:00:00,1087788,1090000,D,-2212.0,,,
24,2000-10-08 00:00:00,1006331,1090000,D,-83669.0,,,
24,2000-10-09 00:00:00,1060678,1090000,D,-29322.0,,,
24,2000-10-10 00:00:00,1037974,1090000,D,-52026.0,,,
24,2000-10-11 00:00:00,944784,975000,D,-30216.0,,,
24,2000-10-12 00:00:00,1060820,1090000,D,-29180.0,,,
24,2000-10-13 00:00:00,1058152,1090000,D,-31848.0,,,
24,2000-10-14 00:00:00,1075614,1090000,D,-14386.0,,,
24,2000-10-15 00:00:00,1068941,1090000,D,-21059.0,,,
24,2000-10-16 00:00:00,1067441,1090000,D,-22559.0,,,
24,2000-10-17 00:00:00,1065601,1090000,D,-24399.0,,,
24,2000-10-18 00:00:00,876754,875000,D,1754.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2000-10-19 00:00:00,896069,875000,D,21069.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2000-10-20 00:00:00,1068207,1090000,D,-21793.0,,,
24,2000-10-21 00:00:00,1053477,1090000,D,-36523.0,,,
24,2000-10-22 00:00:00,1052430,1090000,D,-37570.0,,,
24,2000-10-23 00:00:00,1060352,1090000,D,-29648.0,,,
24,2000-10-24 00:00:00,1068621,1090000,D,-21379.0,,,
24,2000-10-25 00:00:00,1093154,1090224,D,2930.0,Flow rate calculation,2,Nominations Exceed Capacity
24,2000-10-26 00:00:00,1085429,1099084,D,-13655.0,,,
24,2000-10-27 00:00:00,1090000,1089960,D,40.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2000-10-28 00:00:00,1090025,1090000,D,25.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2000-10-29 00:00:00,1090024,1090000,D,24.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2000-10-30 00:00:00,775630,509952,D,265678.0,Flow rate calculation,4,Force Majeure
24,2000-10-31 00:00:00,851870,850000,D,1870.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2000-11-01 00:00:00,625370,850000,D,-224630.0,,,
24,2000-11-02 00:00:00,833284,850000,D,-16716.0,,,
24,2000-11-03 00:00:00,816270,850000,D,-33730.0,,,
24,2000-11-04 00:00:00,801473,875000,D,-73527.0,,4,Nominations Exceed Capacity
24,2000-11-05 00:00:00,875015,875000,D,15.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2000-11-06 00:00:00,875017,875000,D,17.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2000-11-07 00:00:00,961300,950000,D,11300.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2000-11-08 00:00:00,950029,950000,D,29.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2000-11-09 00:00:00,950715,950000,D,715.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2000-11-10 00:00:00,950282,949926,D,356.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2000-11-11 00:00:00,950431,950000,D,431.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2000-11-12 00:00:00,953577,950000,D,3577.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2000-11-13 00:00:00,955255,950000,D,5255.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2000-11-14 00:00:00,950041,950000,D,41.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2000-11-15 00:00:00,935495,950000,D,-14505.0,,4,Nominations Exceed Capacity
24,2000-11-16 00:00:00,939186,964496,D,-25310.0,,,
24,2000-11-17 00:00:00,953337,949924,D,3413.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2000-11-18 00:00:00,949212,950000,D,-788.0,,4,Nominations Exceed Capacity
24,2000-11-19 00:00:00,949878,950000,D,-122.0,,4,Nominations Exceed Capacity
24,2000-11-20 00:00:00,949419,950012,D,-593.0,,4,Nominations Exceed Capacity
24,2000-11-21 00:00:00,936097,949882,D,-13785.0,,4,Nominations Exceed Capacity
24,2000-11-22 00:00:00,938549,949842,D,-11293.0,,4,Nominations Exceed Capacity
24,2000-11-23 00:00:00,936111,950000,D,-13889.0,,4,Nominations Exceed Capacity
24,2000-11-24 00:00:00,939996,950000,D,-10004.0,,4,Nominations Exceed Capacity
24,2000-11-25 00:00:00,932130,950000,D,-17870.0,,4,Nominations Exceed Capacity
24,2000-11-26 00:00:00,1030235,1040000,D,-9765.0,,4,Nominations Exceed Capacity
24,2000-11-27 00:00:00,1032599,1040056,D,-7457.0,,4,Nominations Exceed Capacity
24,2000-11-28 00:00:00,1041151,1040068,D,1083.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2000-11-29 00:00:00,1039719,1040980,D,-1261.0,,4,Nominations Exceed Capacity
24,2000-11-30 00:00:00,1040124,1021566,D,18558.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2000-12-01 00:00:00,1084280,1100000,D,-15720.0,,3,Nominations Exceed Capacity
24,2000-12-02 00:00:00,1101296,1100000,D,1296.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2000-12-03 00:00:00,1111503,1100000,D,11503.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2000-12-04 00:00:00,1100021,1100000,D,21.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2000-12-05 00:00:00,1102312,1099950,D,2362.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2000-12-06 00:00:00,1109094,1099938,D,9156.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2000-12-07 00:00:00,1089680,1100000,D,-10320.0,,4,Nominations Exceed Capacity
24,2000-12-08 00:00:00,1086799,1100000,D,-13201.0,,4,Nominations Exceed Capacity
24,2000-12-09 00:00:00,1088891,1099946,D,-11055.0,,4,Nominations Exceed Capacity
24,2000-12-10 00:00:00,1089910,1099948,D,-10038.0,,4,Nominations Exceed Capacity
24,2000-12-11 00:00:00,1089033,1100000,D,-10967.0,,4,Nominations Exceed Capacity
24,2000-12-12 00:00:00,1090378,1100000,D,-9622.0,,4,Nominations Exceed Capacity
24,2000-12-13 00:00:00,1086123,1100000,D,-13877.0,,4,Nominations Exceed Capacity
24,2000-12-14 00:00:00,1087981,1099939,D,-11958.0,,4,Nominations Exceed Capacity
24,2000-12-15 00:00:00,1087566,1100000,D,-12434.0,,4,Nominations Exceed Capacity
24,2000-12-16 00:00:00,1089311,1099942,D,-10631.0,,4,Nominations Exceed Capacity
24,2000-12-17 00:00:00,1087086,1101958,D,-14872.0,,4,Nominations Exceed Capacity
24,2000-12-18 00:00:00,1089912,1101934,D,-12022.0,,4,Nominations Exceed Capacity
24,2000-12-19 00:00:00,1069040,1100000,D,-30960.0,,3,Nominations Exceed Capacity
24,2000-12-20 00:00:00,1079350,1090770,D,-11420.0,,4,Nominations Exceed Capacity
24,2000-12-21 00:00:00,1087907,1131944,D,-44037.0,,2,Nominations Exceed Capacity
24,2000-12-22 00:00:00,1086022,1100000,D,-13978.0,,4,Nominations Exceed Capacity
24,2000-12-23 00:00:00,1084585,1100000,D,-15415.0,,4,Nominations Exceed Capacity
24,2000-12-24 00:00:00,1086042,1100000,D,-13958.0,,4,Nominations Exceed Capacity
24,2000-12-25 00:00:00,1086022,1100000,D,-13978.0,,4,Nominations Exceed Capacity
24,2000-12-26 00:00:00,1085440,1100000,D,-14560.0,,4,Nominations Exceed Capacity
24,2000-12-27 00:00:00,1069072,1113562,D,-44490.0,,2,Nominations Exceed Capacity
24,2000-12-28 00:00:00,1058843,1100000,D,-41157.0,,1,Nominations Exceed Capacity
24,2000-12-29 00:00:00,1087084,1100000,D,-12916.0,,4,Nominations Exceed Capacity
24,2000-12-30 00:00:00,1086598,1099938,D,-13340.0,,4,Nominations Exceed Capacity
24,2000-12-31 00:00:00,1084633,1100000,D,-15367.0,,4,Nominations Exceed Capacity
24,2001-01-01 00:00:00,1096022,1110000,D,-13978.0,,4,Nominations Exceed Capacity
24,2001-01-02 00:00:00,1046768,1011378,D,35390.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2001-01-03 00:00:00,1106977,1109954,D,-2977.0,,4,Nominations Exceed Capacity
24,2001-01-04 00:00:00,1099466,1109944,D,-10478.0,,3,Nominations Exceed Capacity
24,2001-01-05 00:00:00,1109872,1109944,D,-72.0,,4,Nominations Exceed Capacity
24,2001-01-06 00:00:00,1116268,1122002,D,-5734.0,,4,Nominations Exceed Capacity
24,2001-01-07 00:00:00,1109984,1109944,D,40.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2001-01-08 00:00:00,1110000,1109866,D,134.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2001-01-09 00:00:00,1109999,1109956,D,43.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2001-01-10 00:00:00,1094380,1110000,D,-15620.0,,4,Nominations Exceed Capacity
24,2001-01-11 00:00:00,1094716,1113196,D,-18480.0,,4,Nominations Exceed Capacity
24,2001-01-12 00:00:00,1098134,1111166,D,-13032.0, ,4,Nominations Exceed Capacity
24,2001-01-13 00:00:00,1099685,1128396,D,-28711.0,,4,Nominations Exceed Capacity
24,2001-01-14 00:00:00,1093090,1112296,D,-19206.0,,4,Nominations Exceed Capacity
24,2001-01-15 00:00:00,1093611,1112310,D,-18699.0,,4,Nominations Exceed Capacity
