,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,MS,Enron,MS,Enron,MS,Enron,MS,Enron,MS,Enron,MS,Enron,
,PV ,PV ,PV ,PV ,Mead,Mead,Mead,Mead,4-Corner,4-Corner,4-Corner,4-Corner,
,Peak,Peak,Off-Peak,Off-Peak,Peak,Peak,Off-Peak,Off-Peak,Peak,Peak,Off-Peak,Off-Peak,
2001-11-01,28.5,,17.7,,,,,,,,,,2001-11-01
2001-12-01,30,,21.7,,,,,,,,,,2001-12-01
2002-01-01,31,,24,,24.5,,24.5,,30.99,,23.5,,2002-01-01
2002-02-01,30.5,,23.4,,23.9,,23.9,,30.49,,22.9,,2002-02-01
2002-03-01,30.15,,22.6,,23.1,,23.1,,30.14,,22.1,,2002-03-01
2002-04-01,31,,21.25,,22.25,,22.25,,31.5,,21.25,,2002-04-01
2002-05-01,34.3,,22.5,,23.5,,23.5,,34.8,,22.5,,2002-05-01
2002-06-01,41.25,,26,,29.5,,29.5,,45.75,,27.5,,2002-06-01
2002-07-01,54.5,,32,,35.2,,35.2,,59,,33.5,,2002-07-01
2002-08-01,63.5,,37,,40.2,,40.2,,68,,38.5,,2002-08-01
2002-09-01,48.5,,30.5,,33.7,,33.7,,53,,32,,2002-09-01
2002-10-01,34.5,,24.75,,25.5,,25.5,,34.75,,24.75,,2002-10-01
2002-11-01,36,,25,,25.75,,25.75,,36.25,,25,,2002-11-01
2002-12-01,38.5,,27.25,,28,,28,,38.75,,27.25,,2002-12-01
2003-01-01,37.2,,24.12,,,,,,,,,,2003-01-01
2003-02-01,35.685,,23.516999999999996,,,,,,,,,,2003-02-01
2003-03-01,35.275499999999994,,22.712999999999997,,,,,,,,,,2003-03-01
2003-04-01,32.86,,21.35625,,,,,,,,,,2003-04-01
2003-05-01,36.358,,22.6125,,,,,,,,,,2003-05-01
2003-06-01,43.725,,26.13,,,,,,,,,,2003-06-01
2003-07-01,56.68,,32.16,,,,,,,,,,2003-07-01
2003-08-01,66.04,,37.185,,,,,,,,,,2003-08-01
2003-09-01,50.44,,30.6525,,,,,,,,,,2003-09-01
2003-10-01,36.57,,24.87375,,,,,,,,,,2003-10-01
2003-11-01,38.16,,25.125,,,,,,,,,,2003-11-01
2003-12-01,40.81,,27.38625,,,,,,,,,,2003-12-01
2004-01-01,37.665,,24.240599999999993,,,,,,,,,,2004-01-01
2004-02-01,35.934794999999994,,23.634584999999994,,,,,,,,,,2004-02-01
2004-03-01,35.52242849999999,,22.826564999999995,,,,,,,,,,2004-03-01
2004-04-01,33.090019999999996,,21.463031249999997,,,,,,,,,,2004-04-01
2004-05-01,36.612505999999996,,22.725562499999995,,,,,,,,,,2004-05-01
2004-06-01,44.031074999999994,,26.26064999999999,,,,,,,,,,2004-06-01
2004-07-01,57.07675999999999,,32.32079999999999,,,,,,,,,,2004-07-01
2004-08-01,66.50228,,37.37092499999999,,,,,,,,,,2004-08-01
2004-09-01,50.793079999999996,,30.805762499999993,,,,,,,,,,2004-09-01
2004-10-01,36.82599,,24.998118749999996,,,,,,,,,,2004-10-01
2004-11-01,38.42712,,25.250625,,,,,,,,,,2004-11-01
2004-12-01,41.09567,,27.523181249999993,,,,,,,,,,2004-12-01
2005-01-01,37.947487499999994,,24.36180299999999,,,,,,,,,,2005-01-01
2005-02-01,36.204305962499994,,23.75275792499999,,,,,,,,,,2005-02-01
2005-03-01,35.78884671374999,,22.940697824999994,,,,,,,,,,2005-03-01
2005-04-01,33.33819515,,21.570346406249996,,,,,,,,,,2005-04-01
2005-05-01,36.887099795,,22.839190312499994,,,,,,,,,,2005-05-01
2005-06-01,44.361308062499994,,26.39195324999999,,,,,,,,,,2005-06-01
2005-07-01,57.504835699999994,,32.48240399999999,,,,,,,,,,2005-07-01
2005-08-01,67.00104710000001,,37.55777962499999,,,,,,,,,,2005-08-01
2005-09-01,51.1740281,,30.95979131249999,,,,,,,,,,2005-09-01
2005-10-01,37.102184925,,25.123109343749995,,,,,,,,,,2005-10-01
2005-11-01,38.7153234,,25.37687812499999,,,,,,,,,,2005-11-01
2005-12-01,41.403887525,,27.66079715624999,,,,,,,,,,2005-12-01
2006-01-01,38.232093656249994,,24.45925021199999,,,,,,,,,,2006-01-01
2006-02-01,36.47583825721875,,23.84776895669999,,,,,,,,,,2006-02-01
2006-03-01,36.05726306410312,,23.032460616299993,,,,,,,,,,2006-03-01
2006-04-01,33.588231613625,,21.656627791874996,,,,,,,,,,2006-04-01
2006-05-01,37.1637530434625,,22.930547073749995,,,,,,,,,,2006-05-01
2006-06-01,44.69401787296874,,26.49752106299999,,,,,,,,,,2006-06-01
2006-07-01,57.93612196775,,32.61233361599999,,,,,,,,,,2006-07-01
2006-08-01,67.50355495325002,,37.70801074349999,,,,,,,,,,2006-08-01
2006-09-01,51.557833310750006,,31.083630477749992,,,,,,,,,,2006-09-01
2006-10-01,37.380451311937506,,25.223601781124994,,,,,,,,,,2006-10-01
2006-11-01,39.0056883255,,25.47838563749999,,,,,,,,,,2006-11-01
2006-12-01,41.714416681437505,,27.771440344874993,,,,,,,,,,2006-12-01
