Dates,W.MIDCOLUMBIA - CommonLow,W.MIDCOLUMBIA - CommonHigh,W.MIDCOLUMBIA - PKWeightedAvg,W.MIDCOLUMBIA - AbsLow,W.MIDCOLUMBIA - AbsHigh,W.MIDCOLUMBIA - OffPKCommonLow,W.MIDCOLUMBIA - OffPKCommonHigh,W.MIDCOLUMBIA - OffPKWeightedAvg,W.MIDCOLUMBIA - OffPKAbsLow,W.MIDCOLUMBIA - OffPKAbsHigh
,"Mid-Columbia, West, Megawatt Daily Price Survey","Mid-Columbia, West, Megawatt Daily Price Survey","Mid-Columbia, West, Megawatt Daily Price Survey","Mid-Columbia, West, Megawatt Daily Price Survey","Mid-Columbia, West, Megawatt Daily Price Survey","Mid-Columbia, West, Megawatt Daily Price Survey","Mid-Columbia, West, Megawatt Daily Price Survey","Mid-Columbia, West, Megawatt Daily Price Survey","Mid-Columbia, West, Megawatt Daily Price Survey","Mid-Columbia, West, Megawatt Daily Price Survey"
2000-02-09 00:00:00,24.25,25,24.7,24.25,25.5,23.25,23.75,23.56,23,23.75
2000-02-10 00:00:00,24.25,25.5,24.85,23.5,26,23.25,23.5,23.38,23,24
2000-02-11 00:00:00,24,24.25,24.16,24,24.5,23,23.5,23.33,22,23.5
2000-02-12 00:00:00,24,24.25,24.16,24,24.5,23,23.5,23.33,23,24
2000-02-14 00:00:00,26,26.25,26.14,26,26.5,25.25,26,25.63,24.75,26.25
2000-02-15 00:00:00,27.5,28.25,27.86,27.25,28.75,25.5,26.75,26.25,24.5,27
2000-02-16 00:00:00,27.75,28.5,28.12,27.25,28.5,25.75,26.25,25.97,25.5,26.25
2000-02-17 00:00:00,30.75,31.75,31.28,30,32,28.25,28.5,28.3,28.25,28.5
2000-02-18 00:00:00,30.75,31.75,31.28,30,32,28.25,28.5,28.3,28.25,28.5
2000-02-19 00:00:00,28.75,29.75,29.24,28,30,28.75,29,28.86,28.75,29
2000-02-21 00:00:00,28.25,28.75,28.56,28.25,29,27,27.25,27.04,27,27.25
2000-02-22 00:00:00,28.25,28.75,28.56,28.25,29,27,27.25,27.04,27,27.25
2000-02-23 00:00:00,26.75,27.25,27.01,26.75,27.5,24.5,24.75,24.69,24.5,25
2000-02-24 00:00:00,25.25,25.75,25.59,25,26.5,23.75,24.25,24,23.5,24.5
2000-02-25 00:00:00,24,24.75,24.43,23.75,25,23,23.5,23.28,23,23.5
2000-02-26 00:00:00,24,24.75,24.43,23.75,25,23,23.5,23.28,23,23.5
2000-02-28 00:00:00,24.5,25,24.88,24.5,25.5,24,24.25,24.04,23.75,24.25
2000-02-29 00:00:00,24.25,24.75,24.53,24.25,25,22.75,23.25,22.99,22.5,23.5
2000-03-01 00:00:00,24.5,26.25,25.42,24.5,28,23.75,24,23.83,23.5,24.25
2000-03-02 00:00:00,26.5,27.75,27.16,25.5,28,24.5,24.75,24.63,24.5,25.25
2000-03-03 00:00:00,26.25,27.75,26.91,25,28,24.25,25.25,24.63,23.75,25.75
2000-03-04 00:00:00,26.25,27.5,26.91,25,28,24,25,24.63,23.75,25.75
2000-03-06 00:00:00,27.25,27.75,27.6,27,28,26.25,26.5,26.4,26,26.75
2000-03-07 00:00:00,27.5,28.25,27.95,27.25,29,25.75,26.5,26.07,25,26.5
2000-03-08 00:00:00,28.5,29,28.81,28,29,26.75,27.25,27,26.75,27.25
2000-03-09 00:00:00,27.75,28.5,28.15,27.75,29,25.5,25.75,25.7,25.5,26
2000-03-10 00:00:00,26.75,27.25,26.95,26.5,27.5,25,25.75,25.41,25,26.5
2000-03-11 00:00:00,26.75,27.25,26.95,26.5,27.5,25,25.75,25.41,25,26.5
2000-03-13 00:00:00,27.5,28.25,27.98,27,28.5,26.25,26.75,26.5,25.25,26.75
2000-03-14 00:00:00,26.75,27.5,27.07,26.25,27.5,24.75,25.25,25,24.75,25.25
2000-03-15 00:00:00,28,28.5,28.28,28,28.5,26,26.25,26.14,25.75,26.5
2000-03-16 00:00:00,28.25,28.5,28.35,28,28.5,26,26.25,26.08,26,26.25
2000-03-17 00:00:00,25,27.5,26.27,23,27.5,25,25.25,25.03,25,25.25
2000-03-18 00:00:00,25,27.25,26.27,23,27.5,25,25.25,25.03,25,25.25
2000-03-20 00:00:00,27.75,28.5,28.14,27.75,29.5,25.75,27,26.41,25,27.25
2000-03-21 00:00:00,27.25,27.5,27.39,27.25,27.75,26,26.5,26.18,26,27
2000-03-22 00:00:00,28.25,28.75,28.58,28,29,27.5,28.25,27.81,27,28.5
2000-03-23 00:00:00,28.75,29.25,29.08,28.75,29.5,27,28,27.48,27,29
2000-03-24 00:00:00,27.75,28.5,28.16,27.5,29,26.75,27.5,27.22,26.5,28
2000-03-25 00:00:00,27.5,28.5,28.16,27.5,29,26.5,27.5,27.22,26.5,28
2000-03-27 00:00:00,29.25,29.75,29.56,29,30,28.25,29,28.73,28,29.25
2000-03-28 00:00:00,28,29.25,28.66,27,29.5,26,27.25,26.72,25.5,28
2000-03-29 00:00:00,27.25,27.75,27.5,27,28,25.5,26,25.75,25.5,26
2000-03-30 00:00:00,27.75,28,27.91,27.5,28,25.5,25.75,25.66,25.5,26
2000-03-31 00:00:00,27.75,28,27.91,27.5,28,25.5,25.75,25.66,25.5,26
2000-04-01 00:00:00,29.5,30.25,29.94,29.5,30.5,24.5,25.5,25.11,24.25,26
2000-04-03 00:00:00,31.75,32.5,32.12,31.75,33,25.75,26.5,26.12,25,26.5
2000-04-04 00:00:00,31.25,32.5,31.83,30.5,33,22.5,24.25,23.21,21.75,24.5
2000-04-05 00:00:00,30.25,31,30.61,30,31.25,21.25,22,21.58,21,22.5
2000-04-06 00:00:00,30,31,30.76,30,31,20.5,21.25,20.99,20.5,21.75
2000-04-07 00:00:00,28.25,28.75,28.56,28,29.25,18.25,18.75,18.5,17.75,19
2000-04-08 00:00:00,28.25,28.75,28.56,28,29.25,18.25,18.75,18.5,17.75,19
2000-04-10 00:00:00,27.5,28.25,28.01,27.5,28.25,17.25,18.75,18.06,17,20
2000-04-11 00:00:00,24.75,26.25,25.45,24,27,13.25,14.5,14,12.75,15.5
2000-04-12 00:00:00,24.5,26.25,25.43,24,27,12.5,14,13.18,12.5,15.5
2000-04-13 00:00:00,24.5,26.25,25.43,24,27,12.5,14,13.18,12.5,15.5
2000-04-14 00:00:00,22.5,23.25,22.8,22,23.5,12.75,13.5,13.07,12.5,14
2000-04-15 00:00:00,22.5,23.25,22.8,22,23.5,12.75,13.5,13.07,12.5,14
2000-04-17 00:00:00,25.25,28.25,26.66,23.5,29.25,15.25,17.25,16.17,14,17.75
2000-04-18 00:00:00,25.75,27.75,26.79,25,29.25,13,13.5,13.34,13,14
2000-04-19 00:00:00,27,28.5,27.79,25.5,28.5,11.25,12.25,11.75,11,13
2000-04-20 00:00:00,26,26.25,26.12,25.75,26.25,9.5,9.75,9.6,9.5,10
2000-04-21 00:00:00,22.25,23.75,23,21.75,24.75,8.75,9.5,9.11,8.25,10
2000-04-22 00:00:00,22.25,23.75,23,21.75,24.75,9,10,9.11,8.25,10
2000-04-24 00:00:00,26.25,26.5,26.28,26,26.5,,,,,
2000-04-25 00:00:00,25.25,24.75,24.54,24,25,6.75,7,6.95,6.75,7.25
2000-04-26 00:00:00,26.5,29,27.72,25,30,,,,,
2000-04-27 00:00:00,32.75,36.5,34.72,30,37.75,12,12.25,12.04,12,12.25
2000-04-28 00:00:00,32.75,36.5,34.72,30,37.75,12,12.25,12.04,12,12.25
2000-04-29 00:00:00,30.5,32.5,31.54,29.5,33.5,17.75,18.25,18,17.75,18.25
2000-05-01 00:00:00,32.5,36,34.2,30.5,37.25,16,16.25,16.13,16,16.25
2000-05-02 00:00:00,46.75,53.5,50.11,44,57,19.5,20.5,20,19,21
2000-05-03 00:00:00,59.5,69.5,64.5,55,75,25.5,26.75,26.1,25,27.5
2000-05-04 00:00:00,36.75,38.75,37.74,36,40,17.5,18.25,18,17.5,19
2000-05-05 00:00:00,28.75,32,30.48,28,34.5,16.5,17,16.75,16,17
2000-05-06 00:00:00,29,32,30.48,28,34.5,16.5,17,16.75,16,17
2000-05-08 00:00:00,43,46.75,44.84,41.5,49,26.5,27,26.67,26,27
2000-05-09 00:00:00,36.75,40.5,38.77,35,42.5,23.25,24.75,23.97,22,25
2000-05-10 00:00:00,39.75,42.25,41.01,39,44,23.75,24,23.88,23.75,24
2000-05-11 00:00:00,43,46.5,44.7,42.5,49,27.25,28.5,27.79,26.5,29
2000-05-12 00:00:00,42.25,46,44.22,38,46,28.25,28.75,28.5,28,29
2000-05-13 00:00:00,42,46,44.22,38,46,28.25,28.75,28.5,28,29
2000-05-15 00:00:00,48,49.5,48.8,48,51,30.5,34.5,32.54,28,36.5
2000-05-16 00:00:00,44.5,46.75,45.66,42.5,47,25,27.25,26.08,23,27.75
2000-05-17 00:00:00,44.5,46.25,45.43,44,47,31,32.5,31.85,30,33
2000-05-18 00:00:00,50,52.5,51.26,48,53,37,40,38.48,34,40
2000-05-19 00:00:00,48.75,51.25,50.02,47,52,38,39.5,38.67,37,40
2000-05-20 00:00:00,48.75,51.25,50.02,47,52,38,39.5,38.67,37,40
2000-05-22 00:00:00,71.75,76.75,74.29,70,80,46.25,48.5,47.38,45,50
2000-05-23 00:00:00,152.25,184.25,168.59,125,190,51.75,57.25,54.62,49,60
2000-05-24 00:00:00,168.25,190.5,179.36,160,205,47,49.5,48.17,45,50
2000-05-25 00:00:00,58.75,66.25,62.5,56,71,44.25,47.5,46,41,47.5
2000-05-26 00:00:00,58.75,66.25,62.5,56,71,44.25,47.5,46,41,47.5
2000-05-27 00:00:00,58.75,66.25,62.5,56,71,44.25,47.5,46,41,47.5
2000-05-29 00:00:00,47.25,49.25,48.25,46.5,50,,,,,
2000-05-30 00:00:00,79.25,81.25,80.17,79,83,44.75,45.25,45,44.75,45.25
2000-05-31 00:00:00,65.25,70.75,68.01,64.5,75,46.25,46.75,46.6,46,47
2000-06-01 00:00:00,69.75,71.25,70.59,69,72,47.75,48.25,48,47.75,48.25
2000-06-02 00:00:00,63.5,64.5,64.04,63.5,66,43,43.5,43.33,43,44
2000-06-03 00:00:00,63.5,64.75,64.04,63.5,66,43,43.5,43.33,43,44
2000-06-05 00:00:00,84.5,100.5,92.4,83,115,54.75,55.25,55,54.75,55.25
