,,,, PROJECT SUNDEVIL TASK LIST AND CASH FLOW ESTIMATE FOR ENVIRONMENTAL PROGRAMS,,,,,,,,,,,,,,,, PROJECT SUNDEVIL TASK LIST AND CASH FLOW ESTIMATE FOR ENVIRONMENTAL PROGRAMS,,,,,,,,,
6792-162,, ,,,,,,,,,,,,,6792-162,,,,,,,,,,,,,,
,TOTAL,2001,,,,2002,,, ,,,,,,,,,2003,,, ,,,,,,,,
,COSTS,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Collection & Review,30000,5000,20000,5000,,,,,,,,,,,,,,,,,,,,,,,,,
Agency Consultation,60000,5000,10000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,2000,2000,2000,2000,2000,2000,,,,,,,,,
Route Selection,30000,5000,20000,5000,,,,,,,,,,,,,,,,,,,,,,,,,
Habitat/Land Use Surveys,30000,,15000,15000,,,,,,,,,,,,,,,,,,,,,,,,,
T&E Species Surveys,160000,,,,,,,32000,32000,32000,32000,32000,,,,,,,,,,,,,,,,,
Wetland Delineation & Report,120000,,,,,,,10000,20000,60000,30000,,,,,,,,,,,,,,,,,,
Cult. Res. Survey/Report,500000,,25000,200000,100000,25000,25000,25000,25000,25000,25000,25000,,,,,,,,,,,,,,,,,
Cult. Res. Testing/Mitigation,800000,,,,,,,,,100000,200000,200000,100000,100000,50000,50000,,,,,,,,,,,,,
Cultural Resources Mgt.,135000,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,,,,,,,,,,
FERC Resource Reports,100000,5000,16000,16000,16000,16000,16000,15000,,,,,,,,,,,,,,,,,,,,,
FERC Data Requests,20000,,,,,,,,,10000,10000,,,,,,,,,,,,,,,,,,
Biological Assessment,30000,,5000,5000,5000,5000,5000,5000, , , , , , , , , , , , , , , , , , , , , 
Map/Alig. Sheet Review,15000,,2500,2500,2500,2500,2500,2500,,,,,,,,,,,,,,,,,,,,,
Section 404 Permits,25000,,,,,,,,,,5000,5000,10000,5000,,,,,,,,,,,,,,,
404 Conditions Follow-up,11000,,,,,,,,,,,,,,1000,5000,5000,,,,,,,,,,,,
Air Quality Permits,40000,,,,,5000,5000,5000,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,
Withdrawal/Discharge Permits,25000,,,,,,,,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,
Agency/Public Meetings,70000,5000,10000,10000,5000,5000,5000,5000,,,5000,5000,,,,,,,,,,5000,,5000,,5000,,,
Coordination Meetings,90000,5000,5000,5000,5000,5000,,5000,5000,5000,,5000,,5000,,5000,5000,,5000,,5000,,5000,,5000,,5000,,5000
Project Management,275000,10000,20000,10000,10000,6250,6250,6250,6250,6250,6250,6250,6250,6250,6250,6250,6250,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500
GIS Web Page Mgt.,70000,2500,5000,7500,5000,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,,
Env. Compliance Plan Prep.,50000,,,,,,,,,,,,,,10000,20000,20000,,,,,,,,,,,,
EIS Review and Input,10000,,,,,,,,,,,,,,,5000,5000,,,,,,,,,,,,
Implementation Plan Prep.,10000,,,,,,,,,,,,,,,5000,5000,,,,,,,,,,,,
Permit Book Preparation,15000,,,,,,,,,,,,,,,5000,5000,5000,,,,,,,,,,,
Permit Compliance Tracking,35000,,,,,,,,,,,,,,,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
Env. Inspector Mgt.,30000,,,,,,,,,,,,,,,,,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
Env. Inspector Subcontract,1584000,,,,,,,,,,,,,,,,66000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,66000
Discharge Water Analysis,15000,,,,,,,,,,,,,,,,,,,,,,,,,,5000,5000,5000
Env. Training Support,15000,,,,,,,,,,,,,,,4000,4000,4000,2000,1000,,,,,,,,,
Field Support,35000,,,,,,,,,,,,,,,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
Restoration Support,15000,,,,,,,,,,,,,,,,,,,,,,,,,2500,2500,5000,5000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Third Party Contractor,550000,,10000,28000,28000,28000,28000,28000,32000,38000,40000,40000,40000,40000,40000,40000,40000,25000,25000,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total For Month,,50000,171000,319500,187000,110750,105750,151750,143250,299250,376250,341250,179250,169250,119250,162250,178250,197500,195500,157000,159000,159000,159000,159000,159000,161500,166500,162000,101000
Grand Total to Date,,50000,221000,540500,727500,838250,944000,1095750,1239000,1538250,1914500,2255750,2435000,2604250,2723500,2885750,3064000,3261500,3457000,3614000,3773000,3932000,4091000,4250000,4409000,4570500,4737000,4899000,5000000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,5000000,,,,,,,,,,,,Revised 09/25/01,,,,,,,,,,,,,,,Revised 09/25/01,
