,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EOTT P/L TANK LISTING- Last updated 8/01/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,SIC,Title,Possible,Legal ,County,St,Team,Tank,Status,Product,Volume,Constructed,Constructed,Tank ,Tank ,Tank,Tank,Roof,Roof Seals,IFR/EFR,Operating,NSPS,,Annual,Annual,TNRCC ,How ,Miscellaneous,Schem.
,Type,code,V,Tank,,,,,Number,,,(BBL),,,Dimensions,,shell,color,,primary/,Seal ,authority,Applicability,Comments,Inspx.,Emiss.,Acct.,Acquired,,
,,,,Relocate,,,,,,,,,,,(ft),(ft),,,,second.,Condition,"(Permit, GF, ",,(2000 thput: bbls/yr),Fee,Fee,No.,,,
,,,,,,,,,,,,,Date,By,Ht.,Dia.,,,,,"(+,0,-)","SE, PBR)","(K,Ka,Kb)",,($),($26/tn),,,,
Abell,,4612,No,,"sec30, ben dansby,range 9",Pecos,TX,Crane,1194B,Active,sour,9093,1962,,27,~49,W,wh,cone,,,GF,,thput 90k/yr,,,,TX-NMX 5/01/99,,Yes
Abell,,4612,No,,"sec30, ben dansby,rng 10",Pecos,TX,Crane,1202B,Active,sweet,9093,1948,,27,~49,W,wh,cone,,,GF,,thput 320k/yr,,,,TX-NMX 5/01/99,,
Adair,PLP,4612,No,,,Gaines,TX,LaMesa,789,Active,crude,10000,<1965,,40,~42,W,grey,IFR,,,GF,,,,,GA-0012-A,CITGO 2/27/97,(paid $52 emis. fee  FY99) ,
Baylor Booster,PLP,4612,No,,TNORR; S226,Baylor,TX,Ham/Has,58507,Inactive,crude,36756,1950s,,~40,~81,W,wh,EFR,,,SE 86,,thput zero,,,,COSMOS 12/1/98,,
Bedford-Wheeler,,4612,No,,,Andrews,TX,Monahans,312,out/svc,,9967,1945,,40,42.5,,,,,,,,perm. out of service,,,,,,
Bedford-Wheeler,,4612,No,,,Andrews,TX,Monahans,313,out/svc,,9976,1945,,40,42.5,,,,,,,,perm. out of service,,,,,,
Burger ,PLP,4612,No,,A.J. Smith; S98,Haskell,TX,Ham/Has,58018,Inactive,crude,9869,1980s,,~40,~42,W,wh,IFR,,,SE 86,Kb  ,thput zero,,Yes,HJ-0037-L,KPLPLP,pay emiss. fee if tank reactivated,
Cedar Lake,PLP,4612,No,,,Gaines,TX,LaMesa,724,Inactive,(sour),5000,<1965,,~36,~32,B,silv,cone,,,GF,,thput zero,,,GA-0126-H,CITGO 2/27/97,,
Cedar Lake,PLP,4612,No,,,Gaines,TX,LaMesa,725,Active,sour,10000,<1965,,~40,~42,W,silv,EFR,,,GF,,thput 100k/yr,,,GA-0126-H,CITGO 2/27/97,,
China Grove ,OLP,4612,No,,,Scurry,TX,LaMesa,56007,Active,crude,55000,1993,,40,96.6,W,wh,IFR,rpr/rpl '00,+ (good),SE 86,Kb,thput 3.5M/yr  ,,Yes,SG-0138-T,KOCH 7/01/98,pay emissions fee- NSPS,
China Grove ,PLP,4612,No,,,Scurry,TX,LaMesa,56008,Active,crude,55000,1993,,40,96.6,W,wh,IFR,rpr/rpl '00,+ (good),SE 86,Kb,thput 3.5M/yr  ,,Yes,SG-0138-T,KOCH 7/01/98,"(paid $304 emiss. fee, FY99)",
China Grove ,OLP,4612,No,,,Scurry,TX,LaMesa,56009,Active,crude,55000,1993,,40,96.6,W,wh,IFR,rpr/rpl '00,+ (good),SE 86,Kb,thput 3.5M/yr  ,,Yes,SG-0138-T,KOCH 7/01/98,,
China Grove ,PLP,4612,No,,,Scurry,TX,LaMesa,56010,Active,crude,90000,1993,,53,~110,W,wh,IFR,rpr/rpl '00,+ (good),SE 86,Kb,thput 3.5M/yr  ,,Yes,SG-0138-T,KOCH 7/01/98,,
Colorado City,OLP,4612,No,,,Scurry,TX,LaMesa,56005,Active,crude,10064,1953,,36,45,W,wh,IFR,,,GF,,thput 1.5M/yr  ,,,SG-0035-H,KOCH 7/01/98,,
Crane ,PLP,4612,Yes,,"sec9, ccsd, rgng block X",Crane,TX,Crane,1418B,Active,sour,115599,1957,Graver,59,125,W,wh,EFR,,,GF,,thput 950k/yr,,,CY-0016-N,TX-NMX 5/01/99,pay emissions fee-     PTE 100 tpy,Yes
Crane,,4612,Yes,,"sec9, ccsd, rgng block X",Crane,TX,Crane,1124A,Active,sweet,73733,1961,Graver,41.645,~113,R,wh,EFR,,,GF,,thput 2.3M/yr,,,CY-0016-N,TX-NMX 5/01/99,"(paid $1560 emiss. fee, FY99)",
Crane,,4612,Yes,,"sec9, ccsd, rgng block X",Crane,TX,Crane,1303A,Active,sweet,117335,1963,no tag,59,~125,W,wh,EFR,,,GF,,thput 2.3M/yr,,,CY-0016-N,TX-NMX 5/01/99,,
Crane,,4612,Yes,,"sec9, ccsd, rgng block X",Crane,TX,Crane,1337A,Active,sour,78400,1961,no tag,60,100,W,wh,EFR,,,GF,,thput 380k/yr,,,CY-0016-N,TX-NMX 5/01/99,,
Crane,,4612,Yes,,"sec9, ccsd, rgng block X",Crane,TX,Crane,1380A,Active,sour,73790,1953,Chicago Bridge,59,100.007,W,wh,EFR,,,GF,,thput 2.3M/yr,,,CY-0016-N,TX-NMX 5/01/99,Title V anniversary date: 5/06/99 ,
Crane,,4612,Yes,,"sec9, ccsd, rgng block X",Crane,TX,Crane,1381,Active,sweet,78400,1953,Chicago Bridge,59,100.009,W,wh,EFR,,,GF,,thput 2.3M/yr,,,CY-0016-N,TX-NMX 5/01/99,,
Crane,,4612,Yes,,"sec9, ccsd, rgng block X",Crane,TX,Crane,1407A,Active,sweet,116029,1955,Graver,59.55,124.994,W,wh,EFR,,,GF,,thput 2.3M/yr,,,CY-0016-N,TX-NMX 5/01/99,,
Crane,,4612,Yes,,"sec9, ccsd, rgng block X",Crane,TX,Crane,1410A,Active,sour,116326,1955,Graver,59,125.031,W,wh,EFR,,,GF,,thput 950k/yr,,,CY-0016-N,TX-NMX 5/01/99,,
Crane,,4612,Yes,,"sec9, ccsd, rgng block X",Crane,TX,Crane,797,Active,water,115599,1928,Graver,41.83,116.998,R,blk,cone,,,GF,,test wtr storage,,,CY-0016-N,TX-NMX 5/01/99,,
Crane ,,4612,Yes,,"sec9, ccsd, rgng block X",Crane,TX,Crane,798,Inactive,(crude),80000,1928,Graver,41.67,116.985,R,wh,cone,,,GF,,"gas free, out of svc",,,CY-0016-N,TX-NMX 5/01/99,,
Driver ,PLP,4612,No,,,Reagan,TX,Midland,56004,Inactive,crude,71349,<1950,,39.833,~113,W,wh,IFR,,,GF,,thput zero,,,,KOCH 7/01/98,,
Driver ,PLP,4612,No,,,Reagan,TX,Midland,56002,Active,WTI,66742,1930,,40.5,~108,W,wh,IFR,,,GF,,thput 1.2M/yr,,,,KOCH 7/01/98,,
Driver ,,4612,No,,,Reagan,TX,Midland,888,out/svc,,5000,1945,,30,35,,,cone,,,,,abandoned,,,,KOCH 7/01/98,,
