,,,,,,,,,,,,,,,,,,,,,,,,,
,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,,2001.0,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,
NNG,,,,,,,,,,,,,,,,,,,,,,,,,
NNG Gomez Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41000.0,154000.0,,150000.0,,0,0,30000,10000,10000,10000,40000,30000,5000,5000,5000,5000,150000.0
NNG Eunice Station,20000.0,0.0,15000.0,95000.0,11000.0,19000.0,12000.0,5000.0,3000.0,,5000.0,,0,0,0,0,0,0,0,5000,0,0,0,0,5000.0
Other NNG Sites-Ama. Reg.,0.0,0.0,0.0,0.0,0.0,28000.0,24000.0,57000.0,389000.0,,80000.0,,0,0,0,10000,10000,10000,10000,10000,10000,10000,10000,0,80000.0
Other NNG Sites-Lib. Reg.,,,,,,,,,,,50000.0,,0,0,0,10000,10000,5000,5000,5000,5000,5000,5000,0,50000.0
Other NNG Sites-Hol. Reg.,,,,,,,,,,,50000.0,,0,0,0,10000,10000,5000,5000,5000,5000,5000,5000,0,50000.0
Other NNG Sites,,,,,,,,,,,65000.0,,0,0,0,0,0,10000,10000,10000,10000,10000,10000,5000,65000.0
NNG Expense,20000.0,0.0,15000.0,95000.0,11000.0,19000.0,12000.0,46000.0,157000.0,,400000.0,,0,0,30000,40000,40000,40000,70000,65000,35000,35000,35000,10000,400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,
TW,,,,,,,,,,,,,,,,,,,,,,,,,
TW WT-1 Sta. Pit Area,0.0,0.0,20000.0,52000.0,34000.0,14000.0,34000.0,32000.0,15000.0,,45000.0,,0,0,0,10000,3000,3000,3000,3000,3000,10000,5000,5000,45000.0
TW WT-1 Pit Removal,0.0,0.0,20000.0,52000.0,34000.0,14000.0,34000.0,32000.0,15000.0,,195000.0,,0,0,0,0,0,0,0,0,0,20000,100000,75000,195000.0
TW WT-1 Sta. Dehy Area,0.0,0.0,25000.0,77000.0,54000.0,68000.0,44000.0,34000.0,61000.0,,20000.0,,0,0,0,4000,1000,1000,1000,1000,4000,1000,4000,3000,20000.0
TW Roswell Station,30000.0,0.0,80000.0,127000.0,217000.0,308000.0,198000.0,172000.0,97000.0,,80000.0,,0,0,0,15000,5000,5000,5000,20000,5000,5000,10000,10000,80000.0
TW Roswell Pit Removal,30000.0,0.0,80000.0,127000.0,217000.0,308000.0,198000.0,172000.0,97000.0,,510000.0,,0,0,0,0,0,10000,10000,100000,300000,60000,20000,10000,510000.0
TW Laguna Station Soil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TW Ivanhoe Station,0.0,20000.0,45000.0,30000.0,0.0,106000.0,35000.0,52000.0,213000.0,,50000.0,,0,0,0,0,0,0,0,0,0,0,30000,20000,50000.0
TW Expense,60000.0,20000.0,250000.0,413000.0,522000.0,804000.0,509000.0,462000.0,483000.0,,900000.0,,0,0,0,29000,9000,19000,19000,124000,312000,96000,169000,123000,900000.0
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Annual ETS Expense,80000.0,20000.0,265000.0,508000.0,533000.0,823000.0,521000.0,508000.0,640000.0,,1300000.0,,0,0,30000,69000,49000,59000,89000,189000,347000,131000,204000,133000,1300000.0
