ICE DRILLING,,,,,,,,,,,,,,
Interest Income Calculation ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,Interest on Outstanding,,,Principal ,,,Outstanding Principal ,
,,Rate,of Rate,,Applicable,Total,Principal and ,10%,90%,Addt'l Borrowing,Cash ,Overdue Interest,and Overdue Interest,Outstanding
Month,Days ,Type,Used,Rate,Margin,Rate*,Overdue Interest,Withholding Tax,Cash Due,(Repayment),Received,(Repayment),(not capitalized), Principal 
,,,,,,,,,,,,,,
Initial funding 07/02/98,,,,,,,,,,"6,321,000.00 ",,,"6,321,000.00 ","6,321,000.00 "
07/02/98-07/22/98,21,ER,19-Mar,9.900000%,6.250%,16.150000%,"36,003.72 ",,,,,,"6,321,000.00 ","6,321,000.00 "
07/23/98-07/31/98,9,,,9.900000%,,,"17,871.26 ",,," 1,000,000.00 ",,,"7,321,000.00 ","7,321,000.00 "
July interest,30,,,,,,"53,874.99 ","5,387.50 ","48,487.49 ",,"(48,487.49)",0.00 ,"7,321,000.00 ","7,321,000.00 "
08/01/98-08/11/98,11,,,9.900000%,,,"21,842.65 ",,,,,,"7,321,000.00 ","7,321,000.00 "
08/12/98-08/31/98,20,,,9.900000%,,,"45,138.58 ",,," 1,000,000.00 ",,,"8,321,000.00 ","8,321,000.00 "
August interest,31,,,,,,"66,981.23 ","6,698.12 ","60,283.11 ",,"(60,283.11)",0.00 ,"8,321,000.00 ","8,321,000.00 "
9/1/98-9/17/98,17,,,9.900000%,,,"38,367.79 ",,,,,,"8,321,000.00 ","8,321,000.00 "
9/18/98-9/30/98,13,,,9.900000%,,,"38,680.52 ",,," 2,649,000.00 ",,,"10,970,000.00 ","10,970,000.00 "
September interest,30,,,,,,"77,048.31 ","7,704.83 ","69,343.48 ",,"(69,343.48)",0.00 ,"10,970,000.00 ","10,970,000.00 "
10/1/98-10/27/98,27,,,9.900000%,,,"80,336.47 ",,,,,,"10,970,000.00 ","10,970,000.00 "
10/28/98-10/31/98,4,,,9.900000%,,,"12,986.63 ",,,"1,000,000.00 ",,,"11,970,000.00 ","11,970,000.00 "
October interest,31,,,,,,"93,323.10 ","9,332.31 ","83,990.79 ",,"(83,990.79)",0.00 ,"11,970,000.00 ","11,970,000.00 "
11/1/98-11/30/98,30,,,9.900000%,,,"97,399.73 ",,,,,,"11,970,000.00 ","11,970,000.00 "
November interest,30,,, ,,,"97,399.73 ","9,739.97 ","87,659.75 ",,"(87,659.75)",0.00 ,"11,970,000.00 ","11,970,000.00 "
12/1/98-12/3/98,3,,,9.900000%,,,"9,739.97 ",,,,,,"11,970,000.00 ","11,970,000.00 "
12/4/98-12/20/98,17,,,9.900000%,,,"63,031.81 ",,,"1,700,000.00 ",,,"13,670,000.00 ","13,670,000.00 "
12/21/98-12/31/98,11,,,9.900000%,,,"43,768.85 ",,,"1,000,000.00 ",,,"14,670,000.00 ","14,670,000.00 "
December interest,31,,,,,,"116,540.63 ","11,654.06 ","104,886.57 ",,"(104,886.57)",0.00 ,"14,670,000.00 ","14,670,000.00 "
1/1/99-1/31/99,31,,,9.900000%,,,"123,348.58 ",,,,,,"14,670,000.00 ","14,670,000.00 "
January interest,31,,,,,,"123,348.58 ","12,334.86 ","111,013.72 ",,"(111,013.72)",0.00 ,"14,670,000.00 ","14,670,000.00 "
2/1/99-2/28/99,28,,,9.900000%,,,"111,411.62 ",,,,,,"14,670,000.00 ","14,670,000.00 "
February interest,28,,,,,,"111,411.62 ","11,141.16 ","100,270.45 ",,0.00 ,"111,411.62 ","14,781,411.62 ","14,670,000.00 "
3/1/99-3/31/99,31,,,9.900000%,,,"124,285.35 ",,,,,,"14,781,411.62 ","14,670,000.00 "
March interest,31,,,,,,"124,285.35 ","12,428.53 ","111,856.81 ",,0.00 ,"124,285.35 ","14,905,696.97 ","14,670,000.00 "
4/1/99-4/30/99,30,,,9.900000%,,,"121,287.45 ",,,,,,"14,905,696.97 ","14,670,000.00 "
April interest,30,,,,,,"121,287.45 ","12,128.75 ","109,158.71 ",,0.00 ,"121,287.45 ","15,026,984.42 ","14,670,000.00 "
5/1/99-5/31/99,31,,,9.900000%,,,"126,350.18 ",,,,,,"15,026,984.42 ","14,670,000.00 "
May Interest,31,,,,,,"126,350.18 ","12,635.02 ","113,715.16 ",,0.00 ,"126,350.18 ","15,153,334.60 ","14,670,000.00 "
6/1/99-6/30/99,30,,,9.900000%,,,"123,302.48 ",,,,,,"15,153,334.60 ","14,670,000.00 "
June Interest,30,,,,,,"123,302.48 ","12,330.25 ","110,972.23 ",,0.00 ,"123,302.48 ","15,276,637.07 ","14,670,000.00 "
7/1/99-7/31/99,31,,,9.900000%,,,"128,449.31 ",,,,,,"15,276,637.07 ","14,670,000.00 "
July interest,31,,,,,,"128,449.31 ","12,844.93 ","115,604.38 ",,0.00 ,"128,449.31 ","15,405,086.38 ","14,670,000.00 "
8/1/99-8/8/99,8,,,9.900000%,,,"33,426.93 ",,,,,,"15,405,086.38 ","14,670,000.00 "
8/9/99 Payment,,,,,,,,,,"(14,005,547.11)",0.00 ,0.00 ,"1,399,539.27 ","664,452.89 "
8/9/99-8/31/99,23,,,9.900000%,,,"8,730.82 ",,,,,,"1,399,539.27 ","664,452.89 "
August interest,31,,,,,,"42,157.75 ","4,215.78 ","37,941.98 ",,0.00 ,"42,157.75 ","1,441,697.03 ","664,452.89 "
9/1/99-9/21/99,21,,,9.900000%,,,"8,211.75 ",,,,,,"1,441,697.03 ","664,452.89 "
9/22/99 Payment,,,,,,,,,,"(400,000.00)",0.00 ,0.00 ,"1,041,697.03 ","264,452.89 "
9/22/99-9/30/99,9,,,9.900000%,,,"2,542.88 ",,,,,,"1,041,697.03 ","264,452.89 "
September interest,30,,,,,,"10,754.63 ","1,075.46 ","9,679.17 ",,0.00 ,"10,754.63 ","1,052,451.66 ","264,452.89 "
10/1/99-10/31/99,31,,,9.900000%,,,"8,849.24 ",,,,,,"1,052,451.66 ","264,452.89 "
October interest,31,,,,,,"8,849.24 ",884.92 ,"7,964.32 ",,0.00 ,"8,849.24 ","1,061,300.90 ","264,452.89 "
11/1/99-11/30/99,30,,,9.900000%,,,"8,635.79 ",,,,,,"1,061,300.90 ","264,452.89 "
November interest,30,,,,,,"8,635.79 ",863.58 ,"7,772.21 ",,0.00 ,"8,635.79 ","1,069,936.69 ","264,452.89 "
12/1/99-12/31/99,31,,,9.900000%,,,"8,996.26 ",,,,,,"1,069,936.69 ","264,452.89 "
December interest,31,,,,,,"8,996.26 ",899.63 ,"8,096.64 ",,0.00 ,"8,996.26 ","1,078,932.95 ","264,452.89 "
