Mr. And Mrs. Lay's 2001 Commitments,Mr. And Mrs. Lay's 2001 Commitments,Mr. And Mrs. Lay's 2001 Commitments,Mr. And Mrs. Lay's 2001 Commitments,Mr. And Mrs. Lay's 2001 Commitments,Mr. And Mrs. Lay's 2001 Commitments
,,,,,(Paid/Budgeted)
Date,Organization,Event,Role,Who,Family $$$
2001-02-04 00:00:00,Holocaust Museum Houston,Human Race,Presenting Sponsors,Family,50000
2001-02-09 00:00:00,Houston Symphony ,2001 Ball,Honorary Committee,LPL&KLL,10000
2001-02-24 00:00:00,Jewish Community Center,2001: A Scholarship Ball,Honorary Committee,LPL&KLL,5000
2001-03-01 00:00:00,Family Service Center,7th Annual Celebration of Families Luncheon,Honorary Committee,LPL&KLL,5000
2001-03-01 00:00:00,United Friends of the Children,Brass Ring Awards Dinner ,Benefit Committee,LPL&KLL,25000
2001-03-06 00:00:00,Texas State History Museum ,Story of Texas,Host,LPL&KLL,50000
2001-03-10 00:00:00,The River Performing & Visual Arts Center,"""A Perfect Fit"" Gala",Tribute Committee,LPL&KLL,5000
3/17/01-3/18/01,Child Advocates,Houston Children's Festival,Tot Spot Sponsor,Family,10000
2001-03-21 00:00:00,Houston Grand Opera,Opera Ball 2001,Honorary Committee,LPL&KLL,10000
2001-03-21 00:00:00,The Briarwood School,Annual Benefit 2001,Honorary Committee,LPL&KLL,10000
2001-04-05 00:00:00,DePelchin Children's Center,2001 Spring Luncheon,Luncheon Committee,LPL,10000
2001-04-06 00:00:00,The Council on Alcohol and Drug,Waggoner Fdn. Speaker Series- Spring,Honorary Committee,LPL&KLL,5000
2001-04-12 00:00:00,Silver Grace Hope Foundation,4th Annual Luncheon and Style Show,Honorary Committee,LPL&KLL,5000
2001-04-19 00:00:00,San Jacinto Girl Scouts,Urban Campout 2001,Honorary Committee,LPL,20000
2001-04-21 00:00:00,Alley Theatre,Dinner with Friends,Honorary Committee,LPL&KLL,15000
2001-04-22 00:00:00,Diocese AIDS Ministry,Concert at the Villa,Honorary Committee,Family,10000
2001-04-22 00:00:00,End Hunger,Share Our Strength,Host Committee,LPL&KLL,5000
2001-04-26 00:00:00,Bush Foundation,Celebration of Reading,Co-Chairs,LPL&KLL,50000
2001-04-27 00:00:00,ORBIS International,Gala 2001,Host Committee,Family,5000
2001-05-01 00:00:00,Mental Health Association,Gala-Alexander's,Honorary Chairs,LPL&KLL,10000
2001-05-01 00:00:00,Spaulding for Children,honoring Elizabeth Labonowski,Honorary Chairs,LPL&KLL,25000
2001-05-07 00:00:00,Holocaust Museum Houston,Annual Benefit Dinner,,LPL&KLL,100000
2001-05-15 00:00:00,Crossroads Drug Education Project,Great Expectations,Honorary Committee,LPL&KLL,5000
2001-05-19 00:00:00,Child Advocates,Pull for Friends-Reasoner,Double AA Sponsor,Family,25000
2001-06-09 00:00:00,Filipino-American Council of South Texas,Pearl of the Orient Gala,Honorary Committee,LPL&KLL,5000
2001-09-15 00:00:00,Houston Symphony ,Opening Night Gala,Honorary Committee,LPL&KLL,
2001-09-15 00:00:00,Associated Catholic Charities,The Spirit of Charity Gala,Host Committee,LPL,3000
2001-09-21 00:00:00,UH-Houston Alumni Organization,2001 Red and White Ball,Host Committee,LPL&KLL,20000
2001-10-06 00:00:00,Houston SPCA,2001 Gala,Honorary Committee,Family,
2001-10-12 00:00:00,Houston Museum of Fine Arts,2001 Grand Gala Ball,Honorary Committee,LPL&KLL,
2001-11-01 00:00:00,Initiatives for Children,Champions for Children,Host Committee,LPL&KLL,
11/?/01,The Assistance Fund,Awards Dinner,Honorary Committee,LPL&KLL,5000
11/?/01-undecided,March of Dimes,Haute Cuisine,Honorary Committee,Family,10000
,Susan G. Komen Breast Cancer Foundation,Race for the Cure 2001,Presenting Sponsors,Family,45000
All Waggoner Events,The Council on Alcohol and Drug,Waggoner Fdn. Speaker Series-all events,Shooting Star,Family,20000
,,,,,
,,,,,
,,,,,
,,,,,
updated 5/14/01,,,,,
