,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Transportation Capacity West US Grid,,,,,,,,,,,
,,Planned Expansion Summary,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Region,Pipeline Name,Exisiting DCQ,2001.0,2001.0,2002,2002,2003,2003,2004,2004,2005,2005,Comments
,,MMBtu/day,,Total DCQ,Expansion,Total DCQ,Expansion,Total DCQ,Expansion,Total DCQ,Expansion,Total DCQ,
PNW,PGT - Malin,1900000,0.0,1900000,211000,2111000,160000,2271000,0,2271000,0,2271000,
,Northwest Pipeline,2900000,0.0,2900000,0,2900000,254000,3154000,0,3154000,0,3154000,"excludes displacement fixes of 225,000/d"
,Washington Lateral,0,0.0,0,0,0,0,0,350000,350000,0,350000,
,Tuscarora,124000,0.0,124000,100000,224000,0,224000,0,224000,0,224000,
,,,,,,,,,,,,,
Rockies,Kern River,835000,124000.0,959000,10000,969000,903000,1872000,0,1872000,0,1872000,
,CIG,0,0.0,0,0,0,0,0,0,0,0,0,
,Ruby Project,0,0.0,0,0,0,0,0,500000,500000,0,500000,
,Questar,0,0.0,0,80000,80000,0,80000,0,80000,0,80000,
,,,,,,,,,,,,,
SouthWest,El Paso,3300000,0.0,3300000,0,3300000,0,3300000,0,3300000,0,3300000,
,Trans Western,1190000,0.0,1190000,150000,1340000,0,1340000,540000,1880000,0,1880000,
,Sonoran,0,0.0,0,0,0,0,0,750000,750000,0,750000,
,North Baja,0,0.0,0,500000,500000,0,500000,0,500000,0,500000,
,,,,,,,,,,,,,
Intra State,SoCal ( Back Bone),3200000,0.0,3200000,175000,3375000,0,3375000,0,3375000,0,3375000,
,PG& E ( Back Bone),3000000,0.0,3000000,200000,3200000,0,3200000,0,3200000,0,3200000,planned expansion with Gas Accord
