Southpoint,,,Transwestern's 24 hr Gas Control 713-853-5533,,,,
,,,Gas Nomination for 1st = 65000,,,,
,,,SoCal Gas Price,,2.885,,
,,,San Juan Gas Price,,2.315,,
,,,,,,,
,,,Unit 1,Unit 2,Steam TurB,Total MW,Total Gas Usage
,,,,,,,
he 6,07:00:00,,0,0,0,378,2646
he 7,08:00:00,,0,0,0,378,2646
he8,09:00:00,,0,0,0,378,2646
he9,10:00:00,,0,0,0,378,2646
he10,11:00:00,,0,0,0,378,2646
he11,12:00:00,,0,0,0,378,2646
he12,13:00:00,,0,0,0,378,2646
he13,14:00:00,,0,0,0,378,2646
he14,15:00:00,,0,0,0,378,2646
he15,16:00:00,,0,0,0,378,2646
he16,17:00:00,,0,0,0,378,2646
he17,18:00:00,,0,0,0,378,2646
he18,19:00:00,,0,0,0,378,2646
he19,20:00:00,,0,0,0,378,2646
he20,21:00:00,,0,0,0,378,2646
he21,22:00:00,,0,0,0,378,2646
he22,00:00:00,,0,0,0,378,2646
he23,01:00:00,,0,0,0,378,2646
he24,02:00:00,,0,0,0,470,2646
he1,03:00:00,,0,0,0,470,3290
he2,04:00:00,,0,0,0,470,3290
he3,05:00:00,,0,0,0,470,3290
he4,06:00:00,,0,0,0,470,3290
he5,07:00:00,,0,0,0,470,3290
,,,,,,,
 ,,,,,,9624,
,,,,,,,64078
