Date,Price,Price,Price,Price
,DJ-COB,DJ-COB-OFF,DJ-MC,DJ-MC-OFF
,,,,
2001-12-01 00:00:00,29.03,23.31,28.43,22.48
2001-12-02 00:00:00,25.56,25.56,24.75,21
2001-12-03 00:00:00,29.34,25.56,27.73,23.81
2001-12-04 00:00:00,28.33,20.29,26.2,19.64
2001-12-05 00:00:00,29.56,20.64,27.34,20.3
2001-12-06 00:00:00,28.87,20.38,27.53,20.38
2001-12-07 00:00:00,27.92,20.66,26.43,20.18
2001-12-08 00:00:00,27.73,20.63,26.43,20.18
2001-12-09 00:00:00,22.63,22.63,25,20.5
2001-12-10 00:00:00,28.77,22.63,27.23,22.41
2001-12-11 00:00:00,29.06,21.2,27.17,21.08
2001-12-12 00:00:00,37.73,28.69,35.52,27.51
2001-12-13 00:00:00,36.53,28.89,34.37,26.6
2001-12-14 00:00:00,33.17,27.13,31.58,26.29
2001-12-15 00:00:00,33.09,27.13,31.57,26.29
2001-12-16 00:00:00,28.3,26.3,25,23
2001-12-17 00:00:00,30.92,26.3,28.03,24.95
2001-12-18 00:00:00,30.98,24.08,28.46,22.46
2001-12-19 00:00:00,30.98,24.08,27.71,22.7
2001-12-20 00:00:00,25.22,19.81,23.41,19.29
2001-12-21 00:00:00,25.22,19.81,23.41,19.29
2001-12-22 00:00:00,25.22,19.81,23.34,19.29
2001-12-23 00:00:00,17.19,17.19,17.75,16
2001-12-24 00:00:00,20.58,17.08,19.75,17.45
2001-12-25 00:00:00,16.15,16.15,19,17
2001-12-26 00:00:00,21.96,16.15,20.18,17.23
2001-12-27 00:00:00,25.35,18.75,23.61,19.78
2001-12-28 00:00:00,25.35,18.75,23.61,19.78
2001-12-29 00:00:00,25.35,18.75,23.61,19.78
2001-12-30 00:00:00,19.43,19.43,21.5,20
2001-12-31 00:00:00,24.48,19.43,22.99,21.45
