,,,,RESPONSES,RESPONSES,RESPONSES,RESPONSES,RESPONSES,RESPONSES,,,,,TRACKING REPORT,TRACKING REPORT,TRACKING REPORT,TRACKING REPORT,TRACKING REPORT,TRACKING REPORT,TRACKING REPORT,TRACKING REPORT,TRACKING REPORT,TRACKING REPORT,TRACKING REPORT
,,,,,,,,,,,,,,,,,,,Assessment  Rating,Assessment  Rating,Assessment  Rating,,,
Company_Name,Contact_Name,Product Group,Date of Letter,Date Response Received,Signed Disclosure Agreement Received,Completed Questionnaire Received,Other Information Received (Describe),Completed Review of Web site and/or other info. (Yes/No),Date Site Visit Completed,Rating       Good/ Satisfactory/ Unsatisfactory,EDI Testing Successfully Completed (Yes/No),Follow-up Required (Yes/No),,Written Contact Made to Counterparty,Correspondence Received from Counterparty,Signed Non-Disclosure Received,Personal Contact  completed with Counterparty,Initial Assessment Complete,Good,Satisfactory,Unsatisfactory,EDI Testing Completed Successfully (Pipelines only),Follow-up Required,Follow-up Completed
Bankers Trust Company,Jeff Sorenson,Financial - US,1999-05-06 00:00:00,,,,,Yes,,Good,,,,1,,,1,1,1,,,,,
Canadian Imperial Bank of Commerce,Jeff Sorenson,Financial - US,1999-05-06 00:00:00,,,,,Yes,,Satisfactory,,,,1,,,1,1,,1,,,,
"Chase Manhattan Bank, The",Jeff Sorenson,Financial - US,1999-05-06 00:00:00,6/7/1999. 6/28/99,No,No,Letter and overview of Y2K program; Overview,Yes,,Good,,,,1,,,1,1,1,,,,,
Georgia-Pacific Corporation,Jeff Sorenson,Financial - US,1999-05-12 00:00:00,"6/1/1999, 6/24/99",No,No,Letter (same letter received on both dates),Yes,,Satisfactory,,,,1,,,1,1,,1,,,,
J. Aron & Company,Jeff Sorenson,Financial - US,1999-05-06 00:00:00,,,,,Yes,,Good,,,,1,,,1,1,1,,,,,
"Merrill Lynch & Co., Inc.",Jeff Sorenson,Financial - US,1999-05-06 00:00:00,1999-06-08 00:00:00,No,No,Letter and self assessment,Yes,,Satisfactory,,,,1,,,1,1,,1,,,,
Morgan Guaranty Trust Company of New York,Jeff Sorenson,Financial - US,1999-05-06 00:00:00,1999-05-19 00:00:00,No,No,"Letter, brochure and self assessment",Yes,,Satisfactory,,,,1,,,1,1,,1,,,,
Morgan Stanley Group Inc.,Jeff Sorenson,Financial - US,1999-05-06 00:00:00,1999-06-01 00:00:00,No,No,Letter,Yes,,Satisfactory,,,,1,,,1,1,,1,,,,
NationsBank Corporation,Jeff Sorenson,Financial - US,1999-05-06 00:00:00,,,,,Yes,,Satisfactory,,,,1,,,1,1,,1,,,,
New York Mercantile Exchange,Jeff Sorenson,Financial - US,1999-05-14 00:00:00,,,,,Yes,,Satisfactory,,,,1,,,1,1,,1,,,,
Paribas,Jeff Sorenson,Financial - US,1999-05-06 00:00:00,,,,,Yes,,Satisfactory,,,,1,,,1,1,,1,,,,
Phibro Inc.,Jeff Sorenson,Financial - US,1999-05-06 00:00:00,1999-06-29 00:00:00,No,No,Letter,Yes,,Satisfactory,,,,1,,,1,1,,1,,,,
Repap New Brunswick Inc.,Jeff Sorenson,Financial - US,1999-05-12 00:00:00,,,,,,,,,,,1,,,,,,,,,,
Salomon Smith Barney Holdings Inc.,Jeff Sorenson,Financial - US,1999-05-06 00:00:00,1999-06-01 00:00:00,No,No,Letter,Yes,,Satisfactory,,,,1,,,1,1,,1,,,,
Sempra Energy,Jeff Sorenson,Financial - US,1999-05-06 00:00:00,1999-06-01 00:00:00,No,No,Letter and survey,Yes,,Satisfactory,,,,1,,,1,1,,1,,,,
Societe Generale,Jeff Sorenson,Financial - US,1999-05-06 00:00:00,"5/26/1999, 6/28/99",No,No,Letter and disclosure on both dates,Yes,,Satisfactory,,,,1,,,1,1,,1,,,,
UBS AG,Jeff Sorenson,Financial - US,1999-05-06 00:00:00,,,,,Yes,,,,,,1,,,1,1,,,,,,
,,Financial - US Total,,,,,,,,,,,,17,,,16,16,3,12,0,0,0,0
,,,,,,,,,,,,,,,,,0.941,0.941,0.176,0.706,0,0,0,0
AEC Energy Company Ltd.,Cliff Lawrick,Gas - Canada,1999-05-21 00:00:00,,,,,,,,,,,1,,,,,,,,,,
CXY Energy Marketing,Cliff Lawrick,Gas - Canada,1999-05-21 00:00:00,,,,,,,,,,,1,,,,,,,,,,
"Engage Energy Canada, L.P.",Cliff Lawrick,Gas - Canada,1999-05-21 00:00:00,,,,,,,,,,,1,,,,,,,,,,
"Foothills Pipe Lines, Ltd.",Cliff Lawrick,Gas - Canada,1999-05-21 00:00:00,,,,,,,,,,,1,,,,,,,,,,
Nova Gas Transmission,Cliff Lawrick,Gas - Canada,1999-05-21 00:00:00,,,,,,,,,,,1,,,,,,,,,,
Poco Petroleums Ltd.,Cliff Lawrick,Gas - Canada,1999-05-21 00:00:00,,,,,,,,,,,1,,,,,,,,,,
TransCanada Pipelines Limited,Cliff Lawrick,Gas - Canada,1999-05-21 00:00:00,1999-06-23 00:00:00,No,No,Letter,,,,,,,1,,,,,,,,,,
Westcoast Energy Inc.,Cliff Lawrick,Gas - Canada,1999-05-21 00:00:00,1999-07-01 00:00:00,No,No,Letter and project status sheet,,,,,,,1,,,,,,,,,,
,,Gas - Canada Total,,,,,,,,,,,,8,,,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
Algonquin Gas Transmission Company,Donna Scott,Gas - US,1999-04-26 00:00:00,,,,,,,,,,,1,,,,,,,,,,
"Altra Energy Technologies, LLC",Lisa Cousino,Gas - US,1999-05-21 00:00:00,,,,,,,,,,,1,,,,,,,,,,
ANR Pipeline Company,Donna Scott,Gas - US,1999-04-26 00:00:00,1999-06-17 00:00:00,No,Yes,Letter,Yes,,Unsatisfactory,Yes,Yes,,1,,,1,1,,,1,1,1,
Boston Gas Company,Lisa Cousino,Gas - US,1999-05-05 00:00:00,1999-05-19 00:00:00,No,No,Letter and brochure,,,,,,,1,,,,,,,,,,
BP Amoco Corporation,Lisa Cousino,Gas - US,1999-05-05 00:00:00,,,,,,,,,,,1,,,,,,,,,,
Burlington Resources Inc.,Lisa Cousino,Gas - US,1999-05-05 00:00:00,,,,,,,,,,,1,,,,,,,,,,
Calpine Corporation,Diane Cook,Gas - US,1999-05-06 00:00:00,1999-06-01 00:00:00,No,No,Letter and disclosure,,,,,,,1,,,,,,,,,,
Chevron Chemical Company,Lisa Cousino,Gas - US,1,1999-05-11 00:00:00,Yes,No,,Yes,1999-05-11 00:00:00,Satisfactory,,,,1,,,1,1,,1,,,,
CNG Transmission Corporation,Donna Scott,Gas - US,1999-04-26 00:00:00,1999-05-17 00:00:00,No,Yes,Web site information,Yes,,Satisfactory,,Yes,,1,,,1,1,,1,,,1,
Colorado Interstate Gas Company,Donna Scott,Gas - US,1999-04-26 00:00:00,1999-06-17 00:00:00,No,Yes,Letter,Yes,,Unsatisfactory,,Yes,,1,,,1,1,,,1,,1,
Columbia Energy Power Marketing Corporation,Diane Cook,Gas - US,1999-05-12 00:00:00,,,,,,,,,,,1,,,,,,,,,,
Columbia Gas Transmission Corporation,Donna Scott,Gas - US,1999-04-26 00:00:00,1999-06-07 00:00:00,No,No,Letter and Fact Sheet,Yes,,Satisfactory,Yes,,,1,,,1,1,,1,,1,,
Columbia Gulf Transmission Corporation,Donna Scott,Gas - US,1999-04-26 00:00:00,,,,,Yes,,Satisfactory,Yes,,,1,,,1,1,,1,,1,,
"Conoco, Inc.",Lisa Cousino,Gas - US,1999-05-05 00:00:00,1999-05-14 00:00:00,No,No,Letter,,,,,,,1,,,,,,,,,,
"Coral Energy, L.P.",Lisa Cousino,Gas - US,1999-05-05 00:00:00,1999-06-22 00:00:00,No,No,Letter,,,,,,,1,,,,,,,,,,
Delta Energy Corp.,Lisa Cousino,Gas - US,1999-05-14 00:00:00,,,,,,,,,,,1,,,,,,,,,,
E.I. DuPont de Nemours and Company,Lisa Cousino,Gas - US,1999-05-05 00:00:00,1999-06-07 00:00:00,No,No,Letter,Yes,,,,,,1,,,1,1,,,,,,
