,,,,,,
S.No,Code,Pipeline,Liquidity,Volatility,Remarks on how best to hedge positions,Any Other remarks
1,NG,Nymex Natural Gas, ,,,
2,IF-AGUA DULCE,IF Agua Dulce,,,,
3,IF-ANR/LA,IF ANR Louisiana,,,,
4,IF-ANR/OK,IF ANR Oklahoma,,,,
5,IF-ARKLA/ARK-OK,"IF Arkla/Ark,OK-50%",,,,
6,IF-CARTHAGE,IF Carthage,,,,
7,IF-CNG/APPALACH,IF CNG Appalachia,,,,
8,IF-CIG/RKYMTN,IF CIG Rocky Mountains,,,,
9,IF-CGT/APPALAC,IF Columbia Gas Appalachia,,,,
10,IF-COLGULF/LA,IF Columbia Gulf Louisiana,,,,
11,IF-ELPO/PERMIAN,IF EL Paso Permian,,,,
12,IF-ELPO/SJ,IF EL Paso San Juan,,,,
13,IF-FGT/Z1,IF FGT Zone 1,,,,
14,IF-FGT/Z2,IF FGT Zone 2,,,,
15,IF-FGT/Z3,IF FGT Zone 3,,,,
16,IF-FGT/MKTAREA,FGT Market Area Transport Cost,,,,
17,IF-HEHUB,IF Henry Hub,,,,
18,IF-HPL/SHPCHAN,IF HPL Ship Channel,,,,
19,IF-KATY,IF KATY Hub East Texas,,,,
20,IF-KERN/RIVER,IF Kern River Wyoming,,,,
21,IF-KOCH/LA,IF Koch Louisiana,,,,
22,IF-KOCH/TX,IF Koch Texas,,,,
23,IF-NGPL/MIDCON,IF NGPL Mid Continent,,,,
24,IF-NGPL/LA,IF NGPL Louisiana,,,,
25,IF-NGPLTXOK,IF NGPL TX-OK,,,,
26,IF-NGPL/TX,IF NGPL South Texas,,,,
27,IF-NORAM/EAST,IF NorAm East,,,,
28,IF-NORAM/WEST,IF NorAm West,,,,
29,IF-NNG/TOK,IF NNG TX-OK-KS,,,,
30,IF-NNG/DEMARCAT,IF NNG Demarcation,,,,
31,IF-NNG/VENT,IF NNG Ventura,,,,
32,IF-NWPL_ROCKY_M,IF NWPL Rocky Mountains,,,,
33,IF-NTHWST/CANBR,IF NWPL Canadian Border,,,,
34,IF-ONG/OKLAHOMA,IF ONG Oklahoma,,,,
35,IF-PAN/TX/OK,IF PEPL TX-OK,,,,
36,IF-QUESTAR,IF Questar Rocky Mountains,,,,
37,IF-SONAT/LA,IF Sonat Louisiana,,,,
38,IF-TENN/LA,IF Tenn LA Zone 1 (500 Line),,,,
39,IF-TENN/LA_OFF,IF Tenn LA Zone 1 (800 Line),,,,
40,IF-TENN/TX,IF Tenn TX Zone 0 (100 Line),,,,
41,IF-TENN/Z5,IF-TENN/Z5,,,,
42,IF-TENN/Z6,IF-TENN/Z6,,,,
43,IF-TETCO/ELA,IF TETCO East Louisiana,,,,
44,IF-TETCO/WLA,IF TETCO West Louisiana,,,,
45,IF-TETCO/ETX,IF TETCO East Texas,,,,
46,IF-TETCO/STX,IF TETCO South Texas,,,,
47,IF-TETCO/M1,IF TETCO Zone M1,,,,
48,IF-TETCO/M3,IF TETCO Zone M3 (Market),,,,
49,IF-TGT/Z1,IF TGT Zone 1,,,,
50,IF-TGT/ZSL,IF TGT South Louisiana,,,,
51,IF-TRANSCO/Z1,IF Transco Zone 1  (30),,,,
52,IF-TRANSCO/Z2,IF Transco Zone 2  (45),,,,
53,IF-TRANSCO/Z3,"IF Transco Zone 3  (50,62,65)",,,,
54,IF-TRANSCO/Z4,IF Transco Miss/Ala  (85),,,,
55,IF-TRANSCO/Z5,IF-TRANSCO/Z5,,,,
56,IF-TRANSCO/Z6,IF Transco Zone 6 (Market),,,,
57,TRANSCO/Z6NONNY,Transco Zone 6 - Non-NY,,,,
58,IF-TW/PERMIAN,IF TW Permian,,,,
59,IF-TRUNKL/LA,IF Trunkline Louisiana,,,,
60,IF-TRUNKL/TX,IF Trunkline Texas,,,,
61,IF-VALERO/TX,IF Valero Texas,,,,
62,IF-WNG/TOK,IF Williams TX-OK-KS,,,,
63,IF-WAHA-TX,IF WAHA,,,,
64,CGPR-CHIPPAWA,CGPR-Chippawa,,,,
65,CGPR-CORNWALL,CGPR-Cornwall,,,,
66,CGPR-DAWN,CGPR-Dawn,,,,
67,CGPR-EMPRESS-US,CGPR-Empress,,,,
68,CGPR-NIAGARA,CGPR-Niagara,,,,
69,CGPR-OJIBWAY,CGPR-Ojibway,,,,
70,ML7/CG,ML7 CITYGATE (CRYSTAL FALLS),,,,
71,MICH/CONS,MichCon Consumers,,,,
72,NAT/FUEL/LEIDY,CNG LEIDY,,,,
73,NGI/CHI. GATE,NGI Chicago City Gate,,,,
74,NGI-MICH_CG,NGI Michigan ConsoIidated,,,,
75,NGI-MALIN,NGI Malin (North Cal Border),,,,
76,NGI-SOCAL,NGI Socal (South Cal Border),,,,
77,NGI-SOBDR-PG&E,NGI-PGE-Topock,,,,
78,NGI-PGE/CG,NGI-PGE-Citygate,,,,
79,NGW-ALGO/CITY,NGW Algonquin City Gate,,,,
80,CGPR-AECO/BASIS,Alberta Aeco Basis,,,,
81,TRUNKL/WLA-GD,Trunkline WLA,,,,
