ENA Purchases from Sequent - Jan. '02,,,,,,,
,,,,,,,
Pipe,,,,,,,
FGT,,,,,,,
Zone 2,,,,,,GD+.10,
 Meter 25309,,,,,,ENA SWING MARGIN,
,Date,Volume,Price/dth,$Value/dth*,Total,ENA,
,6,925,2.5,2.5,2312.5,2.525,23.12499999999992
,9,885,2.5,2.5,2212.5,2.525,22.124999999999922
,10,885,2.5,2.5,2212.5,2.45,-44.249999999999844
,11,2000,2.5,2.5,5000,2.435,-129.9999999999999
,12,2000,2.5,2.5,5000,2.425,-150.00000000000034
,13,2000,2.5,2.5,5000,2.425,-150.00000000000034
,14,2000,2.5,2.5,5000,2.425,-150.00000000000034
,15,2000,FGT.Z2.GDP.D.A + .08,2.43,4860,2.45,40.000000000000036
,16,2000,FGT.Z2.GDP.D.A + .05,2.435,4870,2.49,110.00000000000031
,17,2000,FGT.Z2.GDP.D.A + .05,2.455,4910,2.51,109.99999999999943
,18,2000,FGT.Z2.GDP.D.A + .05,2.445,4890,2.5,110.00000000000031
,22,2000,FGT.Z2.GDP.D.A + .05,2.325,4650,2.38,109.99999999999943
,Sum,20695,,,50917.5,,-99.00000000000139
,,,,,,,
*Gas Daily Midpoint used for flow date indicated.,,,,,,,
,,,,,,,
Wires,Date,,,,,,
,9,18000,,,,,
,14,5000,,,,,
,15,28800,,,,,
,,51800,,,,,
,,,,,,,
,,,,,,,
Balance,,882.5,,,,,
