"** Please be advised that this information is confidential and propietary.  We ask that this confidential information be treated as such, in accordance with",,,,,,,,,,
    applicable laws and regulations governing disclosure of confidential information by gas marketers such as Enron.,,,,,,,,,,
,,,,,,,,,,
Business Unit,Counterparty,Pipe,Zone,Trade Date,Meter,BeginFlow,EndFlow,Volume,Price,$
ENA - IM Denver,"National Fuel Marketing Company, LLC",CIG,Mainline,2001-10-25 00:00:00,UNA-516938,2001-11-01 00:00:00,2001-12-01 00:00:00,5000,2.53,12650
ENA - IM Denver,Kerr-McGee Energy Services Corporation,CIG,Mainline,2001-10-25 00:00:00,UNA-516938,2001-11-01 00:00:00,2001-12-01 00:00:00,5000,2.51,12550
ENA - IM Denver,"Enserco Energy, Inc.",CIG,Mainline,2001-10-25 00:00:00,UNA-516938,2001-11-01 00:00:00,2001-12-01 00:00:00,5000,2.5,12500
ENA - IM Denver,Aquila Energy Marketing Corporation,CIG,Mainline,2001-10-25 00:00:00,UNA-516938,2001-11-01 00:00:00,2001-12-01 00:00:00,5000,2.565,12825
,WACOG,2.526,,,,,,20000,,50525
,,,,,,,,,,
ENA - IM WC SJ,"Duke Energy Trading and Marketing, L.L.C.",EPNG,Blanco,2001-10-25 00:00:00,AVG BLANCO,2001-11-01 00:00:00,2001-12-01 00:00:00,5000,2.62,13100
ENA - IM WC SJ,"AEP Energy Services, Inc.",EPNG,Blanco,2001-10-25 00:00:00,AVG BLANCO,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.645,26450
ENA - IM WC SJ,Red Willow Production Company,EPNG,Blanco,2001-10-25 00:00:00,BLANCO,2001-11-01 00:00:00,2001-12-01 00:00:00,2000,2.65,5300
ENA - IM WC SJ,Williams Energy Marketing & Trading Company,EPNG,Blanco,2001-10-25 00:00:00,AVG BLANCO,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.66,26600
,WACOG,2.646,,,,,,27000,,71450
,,,,,,,,,,
ENA - IM WC CAL,"Mirant Americas Energy Marketing, L.P.",EPNG,Keystone Pool,2001-10-25 00:00:00,KEYSTONE,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.695,26950
ENA - IM WC CAL,"Mirant Americas Energy Marketing, L.P.",EPNG,Keystone Pool,2001-10-25 00:00:00,KEYSTONE,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.69,26900
ENA - IM WC CAL,"Mirant Americas Energy Marketing, L.P.",EPNG,Keystone Pool,2001-10-25 00:00:00,KEYSTONE,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.7,27000
ENA - IM WC CAL,"e prime, inc.",EPNG,Keystone Pool,2001-10-25 00:00:00,KEYSTONE,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.7,27000
ENA - IM WC CAL,"AEP Energy Services, Inc.",EPNG,Keystone Pool,2001-10-25 00:00:00,KEYSTONE,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.7,27000
ENA - IM WC CAL,"AEP Energy Services, Inc.",EPNG,Keystone Pool,2001-10-25 00:00:00,KEYSTONE,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.695,26950
ENA - IM WC CAL,"Mirant Americas Energy Marketing, L.P.",EPNG,Keystone Pool,2001-10-25 00:00:00,KEYSTONE,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.69,26900
ENA - IM WC CAL,"e prime, inc.",EPNG,Keystone Pool,2001-10-25 00:00:00,KEYSTONE,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.69,26900
