,,,,,,Transwestern Pipeline,,,,,,
,,,,,,         11/17/2000,,,,,,
,,,,,,Open Season Results,,,,,,
,,,,,,,,,,,,
,Ignacio to Blanco,,,,,,,,,,,
,Company Name,Volume,,Term,,Rate,,Receipt,,Delivery,,Special Terms
1),BP Energy,100000,,10 years,,0.12,,Florida,,El Paso Blanco,,Increase meter capacity
,,,,,,,,Ignacio,,I/B Link,,"of Florida Plant to 350,000/d"
,,,,,,,,NWPL,,So. Trails,,
,Ignacio to CA,,,,,,,,,,,
,Company Name,Volume,,Term,,Rate,,Receipt,,Delivery,,Special Terms
2),Red Cedar,50000,,5 years,,less than,,Ignacio,,Needles,,
,,,,,,max,,Florida,,Topock,,
,,,,,,,,Red Cedar,,,,
3),Texaco,50000,,5 years,,0.42,,Red Cedar,,Needles,,
,,,,,,,,La Maquina,,Topock,,
,,,,,,,,,,Mojave,,
,San Juan to CA,,,,,,,,,,,
,Company Name,Volume,,Term,,Rate,,Receipt,,Delivery,,Special Terms
4),Duke,50000,,10 years,,0.2,,Bloomfield,,,,
5),BP Energy,50000,,10 years,,0.36,,Bloomfield,,"Needles,Griffith",,
,,,,,,,,"Kutz, Blanco",,"SWG, Calpine",,
,,,,,,,,Transcolorado,,,,
6),ENA,100000,,5 years,,0.2,,Bloomfield,,Needles,,alt. Del points WOT
,,,,,,,,,,,,ENA seeks refund of demand chgs
,,,,,,,,,,,,"on vols subject to ""window"""
7),Texaco,50000,,5 years,,0.38,,Bloomfield,,Needles,,
,,,,,,,,,,Topock,,
,,,,,,,,,,Mojave,,
8),El Paso Merchant,50000,,3 years,,0.35,,Blanco,,Needles,,
,,,,,,plus commodity,,,,,,
9),Burlington,???,,???,,???,,,,,,
10),Barrett Resources,40000,,10 years,,0.39,,Blanco,,border pts.,,
11),Smud,10000,,10 years,,???,,Blanco,,Topock,,
12),Aquila,50000,,5 years,,max rate,,Blanco,,Needles,,alt CA del points
13),Reliant,100000,,3-5 yrs.,,???,,Blanco,,Needles,,alt CA del points
,,,,,,,,,,,,
,EOT - CA,,,,,,,,,,,
,Company Name,Volume,,Term,,Rate,,Receipt,,Delivery,,Special Terms
14),Duke,50000,,10 years,,0.2,,W. Tx Pool,,,,
15),Texaco,50000,,5 years,,0.26,,W. Tx. Pool,,Needles,,
,,,,,,,,,,Topock,,
,,,,,,,,,,Mojave,,
16),El Paso Merchant,50000,,3 years,,0.22,,Pool,,Needles,,
,,,,,,plus commodity,,,,,,
17),USGT,100000,,up to 3 yrs,,max rate,,W.Tx.Pool,,Needles,,
,,,,,,,,Thoreau,,"Topock, EOC",,
18),Richardson,50000,,5 years,,0.25,,Pool,,border,,
19),CMS,100000,,5 years,,0.1,,Panhandle,,Topock,,
,,,,,,,,,,,,
,request for existing space:,,,,,,,,,,,
,EOT - EOT,,,,,,,,,,,
,Company Name,Volume,,Term,,Rate,,Receipt,,Delivery,,Special Terms
19),ENA,60000,,5-15 years,,???,,,,Kirtland AFB,,
,,,,,,,,,,,,
,TOTAL,1160000,,,,,,,,,,
,,,,,,,,,,,,
,Turnback requests:,,,,,,,,,,,
,Burlington,80000,,,,,,San Juan,,EOT,,
,,,,,,,,,,,,
,Notes:,,,,,,,,,,,
,"1)  Unless otherwise noted, all rates are 1-pt demand, exclusive of fuel",,,,,,,,,,,
,"2)  If a shipper requested a range of capacity, the high end of the range is reflected in this summary.",,,,,,,,,,,
