"Offer:  3 yr Gas Daily Fixed Price Straddle at the price, volumes and locations below.",,
,,
,El Paso Perm,Waha
Strike,3.47,3.5
Month,,
2002-01-01 00:00:00,13000,7000
2002-02-01 00:00:00,8000,7000
2002-03-01 00:00:00,10000,7000
2002-04-01 00:00:00,9000,3000
2002-05-01 00:00:00,9000,3000
2002-06-01 00:00:00,8000,3000
2002-07-01 00:00:00,5000,2000
2002-08-01 00:00:00,7000,2000
2002-09-01 00:00:00,14000,2000
2002-10-01 00:00:00,10000,7000
2002-11-01 00:00:00,10000,7000
2002-12-01 00:00:00,12000,7000
2003-01-01 00:00:00,14000,7000
2003-02-01 00:00:00,8000,7000
2003-03-01 00:00:00,10000,7000
2003-04-01 00:00:00,10000,3000
2003-05-01 00:00:00,9000,3000
2003-06-01 00:00:00,7000,3000
2003-07-01 00:00:00,7000,3000
2003-08-01 00:00:00,7000,3000
2003-09-01 00:00:00,15000,3000
2003-10-01 00:00:00,11000,7000
2003-11-01 00:00:00,11000,7000
2003-12-01 00:00:00,12000,7000
2004-01-01 00:00:00,13000,6000
2004-02-01 00:00:00,7000,6000
2004-03-01 00:00:00,10000,6000
2004-04-01 00:00:00,9000,3000
2004-05-01 00:00:00,10000,3000
2004-06-01 00:00:00,7000,3000
2004-07-01 00:00:00,8000,2000
2004-08-01 00:00:00,9000,2000
2004-09-01 00:00:00,16000,2000
2004-10-01 00:00:00,12000,8000
2004-11-01 00:00:00,11000,8000
2004-12-01 00:00:00,11000,8000
