Nomination Summary - Powder River,,,,,,,,,,,
2001-09-01 00:00:00,,,,,,,,,,,
,,,,,,,,,,,
,Mcf,,,,Mmbtu,MMBtu,,Purchase Summary,,Total Purchases,
,Wellhead,Add'l Prod.,,,Wellhead,Less fuel ,,,,,
,Nomination,Mcf,IT,Btu Factor,Confirmation,to Glennrock,NGPL,CIG,CIG GD,,note:
Box Draw/So. Kitty/Maverick,,,,,,,,,,,
Kennedy Box Draw,6940,7260,,0.956,6634.639999999999,5994.728971999999,4080.0000000000005,1227.711999999999,687.0169719999994,5994.728971999999,
Kennedy South Kitty,15060,12640,,0.953,14352.179999999998,12977.0976342,7920,3561.743999999999,1495.3536342000007,12977.0976342,
Wellstar,1950,650,,0.935,1823.25,1677.75465,1677.75465,0,0,1677.75465,
Box Draw/Maverick Total,23950,,,,,20649.581256199996,,,,,
,,,,,,,,,,,
Bear Paw,,,,,,,,,,,
Citation,0,,,,0,0,,0,0,0,
Coleman,,,,,0,0,,0,0,0,
,,,,,,,,,,,
Clydesdale,,,,,,,,,,,
Phillips,12500,2900,,0.947,11837.5,11019.173625,9470,0,1549.1736249999994,11019.173625,
Phillips (Non Dedicated),,,,,0,0,,0,,0,
Clydesdale Total,12500,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Caballo,,,,,,,,,,,
MTG,800,,,0.945,756,753.732,,378,375.73199999999997,753.732,
North Finn,0,1060,,0.952,0,0,,,0,0,
Phillips,0,0,,0.941,0,0,0,0,0,0,
Quantum,1000,50,,0.971,971,879.68716,0,776.8000000000001,102.88715999999988,879.68716,
Independent,14275,(18000),,0.939,13404.224999999999,12806.798691749998,10000,723.3799999999992,2083.418691749999,12806.798691749998,
Caballo Total,16075,,,,,14440.217851749998,,,,,
TOTAL ENA,52525,,,,49778.795,46108.97273295,33147.75465,6667.635999999998,6293.582082949999,46108.97273294999,
,,,,,,,,,,,
,,,,,,,,,Firm Trans.,49053,
,,,,,,,,,Position,-2944.0272670500126,
,,Mcf Avail.,MMBtu Avail.,,MMBtu,,,,,,
ADDITIONAL PURCHASES:,,at Wellhead,at Glenrock,,at Wellhead,,,,,,
Kennedy - CIG Gas Daily + .10 #939837,,1153,996,0.956,1102.268,995.9542514,,,996,996,
Kennedy - CIG Index -  .10 #1019836,,6107,5275,0.956,5838.2919999999995,5275.188736599999,,5275,,5275,
Kennedy - CIG Index -  .10 #1019836,,4260,3668,0.953,4059.7799999999997,3668.2142189999995,,3668,,3668,
Kennedy - CIG Gas Daily - priced on a daily basis GD,,8380,7221,0.953,7986.139999999999,7220.9879266,,,7221,7221,
Citation -CIG Gas Daily - .20 #1019854,,605,540,0.966,584.43,539.8964339999999,,,540,540,
North Finn - CIG Gas Daily - .20 #1019874,,1060,906,0.952,1009.12,905.93748,,,906,906,
Quantum -CIG Gas Daily - .20 #1019881,,50,44,0.971,48.55,43.57362499999999,,,44,44,
Wellstar -CIG Gas Daily - .35 (Sep)939857,,650,542,0.935,607.75,541.9306750000001,,,542,542,
,,,,,,19191.6833476,,8943,10249,19192,
,,21112,19192,,,,,,,,
,,,,,,,,,,ADD'L SUPPLY:,
,,,,,,,,,,5000,WGR - Oct.
,,,,,,,,,Total Supply:,70300.97273294999,
,,,,,,,,,,,
,,,,,,,,,,MARKETS:,
,,,,,,,,,,49053,Firm Transport
,,,,,,,,,,977,Volumetric Firm
,,,,,,,,,,600,Crestone Fuel
,,,,,,,,,,5000,CMS - 5.5
,,,,,,,,,,4700,Retex -5
,,,,,,,,,,,
,,,,,,,,,Total Market:,60330,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,9970.972732949987,Position
