,,,Maximum,,MTD Avg,Prior Mo Avg,Month-2 Avg,Month-2 Avg,Month-3 Avg,Month-4 Avg,,,,,Tue,Mon,Sun,Sat,Fri,,,,,,,,,,,,,,,,,
,,,Capacity,Change,2002-02-05 00:00:00,2002-01-05 00:00:00,2001-12-05 00:00:00,2001-11-05 00:00:00,2001-10-05 00:00:00,2001-09-05 00:00:00,,,,,2002-02-05 00:00:00,2002-02-04 00:00:00,2002-02-03 00:00:00,2002-02-02 00:00:00,2002-02-01 00:00:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry Hub,Receipts HH,ACADIAN,200000,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,BRIDGELINE,80000,0,7000,12251,16494,47117.86666666667,32972.354838709674,27803.933333333334,,,,,7000,7000,7000,7000,0,,,,,,,,,,,,,,,,,
,,COLUMBIA GULF,100000,0,0,1326,5914,9449.133333333333,5785.129032258064,4934.433333333333,,,,,0,0,0,0,30206,,,,,,,,,,,,,,,,,
,,DIGCO,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,JEFFERSON ISLAND,250000,0,7500,68251,18331,9876.2,22367.1935483871,31200.566666666666,,,,,7500,7500,7500,7500,242501,,,,,,,,,,,,,,,,,
,,GULF SOUTH,400000,0,75634,82248,97714,99977.26666666666,147069.67741935485,82277.2,,,,,75634,75634,75634,75634,29317,,,,,,,,,,,,,,,,,
,,MAINLINE,180000,0,100733,116563,148324,139742.43333333332,117176.80645161291,120093.16666666667,,,,,100733,100733,100733,100733,123760,,,,,,,,,,,,,,,,,
,,NGPL,300000,0,105538,148195,115806,156906.63333333333,81239.48387096774,61301.23333333333,,,,,105538,105538,105538,105538,39182,,,,,,,,,,,,,,,,,
,,SONAT,125000,0,5000,2497,0,0,0,0,,,,,5000,5000,5000,5000,0,,,,,,,,,,,,,,,,,
,,SEA ROBIN,250000,0,123367,84474,64111,109748.5,89020.54838709677,157262.66666666666,,,,,123367,123367,123367,123367,75291,,,,,,,,,,,,,,,,,
,,TEXAS GAS,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,TRUNKLINE,75000,0,0,6281,4508,27541.533333333333,10672.09677419355,25791,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,TRANSCO,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,Total,-1175000,0,424772,522086,471202,600359.5666666667,506303.2903225807,510664.2,,,,,424772,424772,424772,424772,540257,,,,,,,,,,,,,,,,,
,Deliveries HH,ACADIAN,-150000,0,-25877,-35854,-6529,-20258.833333333332,-18109.16129032258,-37248.333333333336,,,,,-25877,-25877,-25877,-25877,0,,,,,,,,,,,,,,,,,
,,BRIDGELINE,-85000,0,-85000,-85000,-85000,-84616.7,-83515.09677419355,-85000,,,,,-85000,-85000,-85000,-85000,-85000,,,,,,,,,,,,,,,,,
,,COLUMBIA GULF,-165000,0,-28933,-47911,-20824,-20190.733333333334,-49145.48387096774,-9696.4,,,,,-28933,-28933,-28933,-28933,-11202,,,,,,,,,,,,,,,,,
,,DIGCO,-40000,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,JEFFERSON ISLAND,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,GULF SOUTH,-400000,0,-13239,-77831,-73670,-162841.63333333333,-66116.03225806452,-153961.9,,,,,-13239,-13239,-13239,-13239,-79443,,,,,,,,,,,,,,,,,
,,MAINLINE,-235000,0,-7500,-2935,-2161,-2461.5,-3546.6129032258063,-500,,,,,-7500,-7500,-7500,-7500,0,,,,,,,,,,,,,,,,,
,,NGPL,-150000,0,0,-403,-501,-3606.266666666667,0,0,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,SONAT,-125000,0,-9764,-51107,-25832,-11123.033333333333,-24311.41935483871,-10878.366666666667,,,,,-9764,-9764,-9764,-9764,-26313,,,,,,,,,,,,,,,,,
,,SEA ROBIN,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,TEXAS GAS,-180000,0,-43878,-49822,-54660,-39344.333333333336,-52447.83870967742,-36426.1,,,,,-43878,-43878,-43878,-43878,-139742,,,,,,,,,,,,,,,,,
,,TRUNKLINE,-75000,0,-55,-1662,-3819,-2171.6666666666665,-6561.967741935484,-1741.7666666666667,,,,,-55,-55,-55,-55,0,,,,,,,,,,,,,,,,,
,,TRANSCO,-10000,0,0,0,0,0,0,-0.03333333333333333,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,Total,0,0,-214246,-352525,-272996,-346614.7,-303753.61290322576,-335452.9,,,,,-214246,-214246,-214246,-214246,-341700,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Thu,Wed,Tue,Mon,Sun,Sat,Fri,Thu,Wed,Tue,Mon,Sun,Sat,Fri,Thu,Wed,Tue,Mon,Sun,Sat,Fri,Thu,Wed,Tue,Mon,Sun,Sat,Fri,Thu,Wed,Tue,Prior Mo Avg
,,,,,2002-01-31 00:00:00,2002-01-30 00:00:00,2002-01-29 00:00:00,2002-01-28 00:00:00,2002-01-27 00:00:00,2002-01-26 00:00:00,2002-01-25 00:00:00,2002-01-24 00:00:00,2002-01-23 00:00:00,2002-01-22 00:00:00,2002-01-21 00:00:00,2002-01-20 00:00:00,2002-01-19 00:00:00,2002-01-18 00:00:00,2002-01-17 00:00:00,2002-01-16 00:00:00,2002-01-15 00:00:00,2002-01-14 00:00:00,2002-01-13 00:00:00,2002-01-12 00:00:00,2002-01-11 00:00:00,2002-01-10 00:00:00,2002-01-09 00:00:00,2002-01-08 00:00:00,2002-01-07 00:00:00,2002-01-06 00:00:00,2002-01-05 00:00:00,2002-01-04 00:00:00,2002-01-03 00:00:00,2002-01-02 00:00:00,2002-01-01 00:00:00,2002-01-05 00:00:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,714,714,714,2714,2714,2714,714,12714,7714,8714,8714,8714,8714,40000,0,31000,0,0,0,0,20000,23000,44423,28500,28500,28500,28500,16000,16000,9000,0,12251
,,,,,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,68,5,1326
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,201935,148085,148085,1000,1000,1000,0,7500,5000,7500,7500,7500,7500,7500,0,0,0,0,0,0,14500,224700,74828,250000,250000,250000,250000,147232,147232,3000,28324,68251
,,,,,59067,30987,30987,36513,36513,36513,25906,60147,115683,111402,111402,111402,111402,62415,118418,101618,71050,71050,71050,71050,66050,76834,145747,94754,94754,94754,94754,66476,66476,92789,44166,82248
,,,,,66444,119220,119220,118188,118188,118188,167627,172530,147527,157156,157156,157156,157156,170256,146893,119640,160558,160558,160558,160558,128108,28963,26692,35096,35096,35096,35096,77447,77447,178432,180000,116563
,,,,,78771,39196,39196,256338,256338,256338,207066,200000,200000,104436,104436,104436,104436,140964,177797,200000,126681,126681,126681,126681,116980,95885,118486,117753,117753,117753,117753,147398,147398,200000,74382,148195
,,,,,87,0,0,0,0,0,0,0,899,0,0,0,0,19970,0,9977,0,0,0,0,5909,6005,6003,0,0,0,0,0,0,0,0,2497
,,,,,30273,100268,100268,91544,91544,91544,114249,89961,90431,93880,93880,93880,93880,78357,84397,75057,88532,88532,88532,88532,123092,62811,57341,46721,46721,46721,46721,94674,94674,71298,117593,84474
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,0,0,0,0,0,0,0,35600,39101,11500,11500,11500,11500,12000,34000,10000,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,6281
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,437292,438470,438470,506298,506298,506298,515563,578453,606356,494589,494589,494589,494589,531463,561506,547293,446822,446822,446822,446822,492639,518198,473520,572824,572824,572824,572824,549228,549228,554587,444470,522086
,,,,,-51963,-30018,-30018,0,0,0,0,0,-9323,-21323,-21323,-21323,-21323,-16323,-17823,0,-13323,-13323,-13323,-13323,-61323,-96323,-66323,-98824,-98824,-98824,-98824,-96421,-96421,-59355,-36234,-35854
,,,,,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000
,,,,,-564,-15989,-15989,-12872,-12872,-12872,-13065,-15780,-120360,-52962,-52962,-52962,-52962,-4054,-2114,-23826,-28883,-28883,-28883,-28883,-73537,-45099,-40083,-146981,-146981,-146981,-146981,-73027,-73027,-39210,-67378,-47911
