Deal ID,Deal Start Date,Deal End Date,Portfolio,Counterparty,Deal Status,Instrument,Bank Deal #
757312.1,2001-09-01 00:00:00,2005-08-31 00:00:00,WEST,PPLMON,D,BUY-RESALE,"No Volumes, used 765278.1 instead"
228155.1,2000-01-01 00:00:00,2004-12-31 00:00:00,WEST,EXELON,D,FORWARD,884211.1
247258.1,2000-01-01 00:00:00,2004-12-31 00:00:00,WEST,EXELON,D,FORWARD,884217.1
313325.1,2001-07-01 00:00:00,2002-09-30 00:00:00,WEST,APS,D,FORWARD,884214.1
315589.1,2001-07-01 00:00:00,2003-09-30 00:00:00,WEST,APS,D,FORWARD,884215.1
319355.1,2001-01-01 00:00:00,2003-03-31 00:00:00,WEST,MORGAN,D,FORWARD,884219.1
325196.1,2001-07-01 00:00:00,2002-09-30 00:00:00,WEST,APS,D,FORWARD,884220.1
325203.1,2001-07-01 00:00:00,2002-09-30 00:00:00,WEST,APS,D,FORWARD,884222.1
435164.1,2000-11-01 00:00:00,2004-12-31 00:00:00,WEST,MORGAN,D,FORWARD,884223.1
436151.1,2000-11-01 00:00:00,2004-12-31 00:00:00,WEST,MORGAN,D,FORWARD,884224.1
605356.1,2001-06-01 00:00:00,2005-01-31 00:00:00,WEST,PALOALTOCI,D,FORWARD,884273.1
761666.1,2001-09-01 00:00:00,2005-08-31 00:00:00,WEST,PPLMON,D,FORWARD,No Volumes
765278.1,2001-09-01 00:00:00,2005-08-31 00:00:00,WEST,PPLMON,D,FORWARD,884231.1
765278.2,2001-09-01 00:00:00,2005-08-31 00:00:00,WEST,PPLMON,D,FORWARD,884231.1
796301.1,2001-10-01 00:00:00,2002-12-31 00:00:00,WEST,MORGAN,D,FORWARD,884270.1
264372.1,2000-01-01 00:00:00,2004-12-31 00:00:00,WEST,TEMI,D,FORWARD,884242.1
755172.1,2002-07-01 00:00:00,2002-09-30 00:00:00,WEST,PPL,D,FORWARD,"Just changed desk, no new deal"
800402.1,2001-10-04 00:00:00,2003-09-30 00:00:00,WEST,BP,D,INDEX-FORWARD,884271.1
800403.1,2001-10-04 00:00:00,2003-09-30 00:00:00,WEST,BP,D,INDEX-FORWARD,884274.1
819040.1,2001-10-16 00:00:00,2004-06-30 00:00:00,WEST,BP,D,INDEX-FORWARD,884275.1
819045.1,2001-10-16 00:00:00,2004-06-30 00:00:00,WEST,BP,D,INDEX-FORWARD,884276.1
819609.1,2001-10-16 00:00:00,2004-06-30 00:00:00,WEST,BP,D,INDEX-FORWARD,884277.1
820042.1,2001-10-22 00:00:00,2003-12-31 00:00:00,WEST,BP,D,INDEX-FORWARD,884278.1
820043.1,2001-10-22 00:00:00,2003-12-31 00:00:00,WEST,BP,D,INDEX-FORWARD,884279.1
820044.1,2001-10-22 00:00:00,2003-12-31 00:00:00,WEST,BP,D,INDEX-FORWARD,884281.1
483771.1,2003-01-01 00:00:00,2003-12-31 00:00:00,WEST,MORGAN,D,SWAP,
390822.1,2002-01-01 00:00:00,2004-12-31 00:00:00,WEST,TEMI,D,SWAP,
