contract,,MW,,,$$,start ,end,,path,
10642,EPMI,50,HLH,,,2001-10-01 00:00:00,2006-09-30 00:00:00,,epmi bpa epmi(10123),B/o
22576,EPMI,50,HLH,Purch,29.15,2001-10-01 00:00:00,2001-12-31 00:00:00,,epmi bpa epmi(23636) ,B/o
23342,EPMI,25,HLH,Purch,36.95,2001-10-01 00:00:00,2001-12-31 00:00:00,,epmi bpa epmi(10123),B/o
23397,EPMI,25,HLH,Purch,38,2001-10-01 00:00:00,2001-12-31 00:00:00,,epmi bpa epmi(10123),B/o
23464,EPMI,25,HLH,Purch,47,2001-10-01 00:00:00,2001-12-31 00:00:00,,epmi bpa epmi(23939),B/o
24442,EPMI,25,HLH,Purch,27.5,2001-11-01 00:00:00,2001-11-30 00:00:00,,epmi bpa epmi(23953) ,B/o
24481,EPMI,25,HLH,Purch,29.2,2001-11-01 00:00:00,2001-11-30 00:00:00,,epmi bpa epmi(24414) ,B/o
24483,EPMI,25,HLH,Purch,30.4,2001-11-01 00:00:00,2001-11-30 00:00:00,,epmi bpa epmi(24425) ,B/o
42022,EPMI,2,HLH,,,2001-11-01 00:00:00,2001-11-30 00:00:00,,epmi bpa epmi(10123),B/o
42022,EPMI,16,HLH,Purch,47.5,2001-11-01 00:00:00,2001-11-30 00:00:00,,,
x,EPMI,x,x,x,x,x,x,x,x,
10123,EPMI,-25,HLH,Sale,68,2001-10-01 00:00:00,2001-12-31 00:00:00,,epmi(23342) bpa epmi ,B/o
10123,EPMI,-25,HLH,Sale,,2001-10-01 00:00:00,2001-12-31 00:00:00,,epmi(23397) bpa epmi ,B/o
10123,EPMI,-50,HLH,Sale,,2001-10-01 00:00:00,2001-12-31 00:00:00,,epmi(10642) bpa epmi,B/o
10123,EPMI,-2,HLH,Sale,,2001-10-01 00:00:00,2001-12-31 00:00:00,,epmi(42022) bpa epmi ,B/o
23636,EPMI,-50,HLH,Sale,68,2001-10-01 00:00:00,2001-12-31 00:00:00,,epmi(22576) bpa epmi ,B/o
23939,EPMI,-25,HLH,Sale,222,2001-10-01 00:00:00,2001-12-31 00:00:00,,epmi(23464) bpe epmi ,B/o
23953,EPMI,-25,HLH,Sale,,2001-10-01 00:00:00,2001-12-31 00:00:00,exercised,epmi(24442) bpa epmi ,B/o
24414,EPMI,-25,HLH,Sale,38.25,2001-11-01 00:00:00,2001-11-30 00:00:00,,epmi(24481) bpa epmi ,B/o
24425,EPMI,-25,HLH,Sale,37.75,2001-11-01 00:00:00,2001-11-30 00:00:00,,epmi(24483) bpa epmi ,B/o
24456,EPMI,-25,HLH,Sale,27.5,2001-11-01 00:00:00,2001-11-30 00:00:00,,,
24463,EPMI,-25,HLH,Sale,28.25,2001-11-01 00:00:00,2001-11-30 00:00:00,,,
24466,EPMI,-25,HLH,Sale,28.25,2001-11-01 00:00:00,2001-11-30 00:00:00,,,
24469,EPMI,-25,HLH,Sale,28.25,2001-11-01 00:00:00,2001-11-30 00:00:00,,,
24479,EPMI,-25,HLH,Sale,28.7,2001-11-01 00:00:00,2001-11-30 00:00:00,,,
24491,EPMI,-25,HLH,Sale,30.4,2001-11-01 00:00:00,2001-11-30 00:00:00,,,
