,,,,,,, ,,  (X=not pursuing; INC=incomplete; DONE=Done),,,,,,,, 
Group Name,Counterparty,Priority,"Power 
Commercial","Gas 
Commercial","Online 
Marketer",PA Lead,Credit,Legal,"Master 
Power",ISDA,"Master 
Gas","Power
GTC","Gas
GTC","Finance
GTC","Meet
Date","Complete 
Date",Comments
Adams Resources & Energy Inc.,"Adams Resources Marketing, Ltd.",1,,,,,Bradford,,,,,,,,,,
Allegheny Energy Inc.,"Allegheny Energy Supply Company, LLC",1,Llodra,Vickers,Mcquade,Llodra,Bradford,David,INC,,,,,,,2002-03-01 00:00:00,
Amerada Hess Corporation,Amerada Hess Corporation,1,,Gilbert,Diamond,Gilbert,Bradford,,,,,,,,,,
Amerada Hess Corporation,"Hess Energy Services Company, LLC",1,,Gilbert,Diamond,Gilbert,Bradford,,,,,,,,,,
Amerada Hess Corporation,Hess Energy Trading Company LLC,1,,Gilbert,Diamond,Gilbert,Bradford,,,,,,,,,,
Ameren Corporation,"Ameren Energy Inc, as agent",1,,,,,Bradford,,,,,,,,,,
Ameren Corporation,Ameren Energy Fuels and Services Co,1,,,,,Bradford,,,,,,,,,,
American Electric Power Company,American Electric Power Service Co,1,Thomas,Vickers,Mcquade,Vickers,Bradford,Elizabeth,INC,,,,,,,2002-03-01 00:00:00,
American Electric Power Company,"AEP Energy Services, Inc.",1,Thomas,Vickers,Mcquade,Vickers,Bradford,Elizabeth,,,,,,,,,
American Electric Power Company,Houston Pipeline Company,1,Thomas,Vickers,Mcquade,Vickers,Bradford,Elizabeth,,,,,,,,,
American International Group,"AIG Energy Trading, Inc.",1,,,,,Bradford,,,,,,,,,,
Avista Corporation,Avista Corporation,1,Thomas,Tycholiz,Mcquade,Thomas,Bradford,Christian,,,,,,,,,
Avista Corporation,"Avista Capital, Inc.",1,Thomas,Tycholiz,Mcquade,Thomas,Bradford,Christian,,,,,,,,,
Avista Corporation,"Avista Energy, Inc.",1,Thomas,Tycholiz,Mcquade,Thomas,Bradford,Christian,INC,,,,,,,2002-03-01 00:00:00,
"Bank of America, Nat Assoc","Bank of America, Nat Assoc",1,,Gilbert,Diamond,Gilbert,Bradford,,,,,,,,,,
BNP Paribas,BNP Paribas,1,,Gilbert,Diamond,Gilbert,Bradford,,,,,,,,,,
BP Capital Energy,BP Capital Energy Fund LP,1,,Gilbert,,,Bradford,,,,,,,,,,
BP Capital Energy,BP Capital Energy Equity Fund LP,1,,Gilbert,,,Bradford,,,,,,,,,,
BP Capital Energy,"BP Capital Energy Equity International Holding 1, Ltd.",1,,Gilbert,,,Bradford,,,,,,,,,,
BP Capital Energy,T. Boone Pickens,1,,Gilbert,,,Bradford,,,,,,,,,,
BP Corporation North America,BP Corporation North America,1,Curry,Tycholiz,,Tycholiz,Bradford,David,,,,,,,,,
BP Corporation North America,BP Energy Company,1,Curry,Tycholiz,,Tycholiz,Bradford,David,INC,,,,,,,2002-03-01 00:00:00,
BP Corporation North America,IGI Resources,1,Curry,Tycholiz,,Tycholiz,Bradford,David,,,,,,,,,
BP Corporation North America,BP Canada Energy Company,1,Curry,Tycholiz,,Tycholiz,Bradford,David,,,,,,,,,
BP Corporation North America,BP Canada Energy Marketing Corp.,1,Curry,Tycholiz,,Tycholiz,Bradford,David,,,,,,,,,
Calpine Corporation,"Calpine Energy Services, L.P.",1,Presto,Gilbert,Mandola,Presto,Bradford,Steve,INC,,,,,,,2002-03-01 00:00:00,
Cargill Incorporated,"Cargill, Inc.",1,Valderrama,Abramo,Mcquade,Valderrama,Bradford,Carol,,,,,,,,,
Cargill Incorporated,"Cargill-Alliant, LLC",1,Valderrama,Abramo,Mcquade,Valderrama,Bradford,Carol,,,,,,,,,
Cargill Incorporated,"Cargill Energy Trading Canada, Inc.",1,Valderrama,Abramo,Mcquade,Valderrama,Bradford,Carol,INC,,,,,,,2002-03-01 00:00:00,
ChevronTexaco Corp.,Texaco Inc.,1,,,,,Bradford,,,,,,,,,,
ChevronTexaco Corp.,"Texaco Natural Gas, Inc.",1,,,,,Bradford,,,,,,,,,,
Cinergy Corp,Cinergy Canada Inc,1,Furrow,Lagrasta,Mandola,Furrow,Bradford,,,,,,,,,,
Cinergy Corp,Cinergy Capital & Trading LLC,1,Furrow,Lagrasta,Mandola,Furrow,Bradford,,,,,,,,,,
Cinergy Corp,Cinergy Marketing & Trading LLC,1,Furrow,Lagrasta,Mandola,Furrow,Bradford,,,,,,,,,,
Cinergy Corp,Cinergy Services Inc,1,Furrow,Lagrasta,Mandola,Furrow,Bradford,,,,,,,,,,
Cinergy Corp,PSI Energy Inc.,1,Furrow,Lagrasta,Mandola,Furrow,Bradford,,,,,,,,,,
Cinergy Corp,The Cinncinatti Gas & Electric Company,1,Furrow,Lagrasta,Mandola,Furrow,Bradford,,,,,,,,,,
CLECO Corporation,CLECO Marketing and Trading LLC,1,,,,,Bradford,,,,,,,,,,
CMS Enterprises,CMS Marketing Services and Trading Co.,1,Valderrama,Vickers,Mcquade,Vickers,Bradford,Carol,,,,,,,,,
CMS Enterprises,Premstar Energy Canada Ltd,1,Valderrama,Vickers,Mcquade,Vickers,Bradford,Carol,INC,,,,,,,2002-03-01 00:00:00,
Colonial Group Inc.,Colonial Energy Inc.,1,,,,,Bradford,,,,,,,,,,
"Conagra Foods, Inc.","Conagra Trade Group, Inc.",1,,,,,Bradford,,,,,,,,,,
Conectiv Inc.,"Conectiv Energy Supply, Inc.",1,Wood,Vickers,Diamond,Vickers,Bradford,,,,,,,,,,
Conectiv Inc.,Delmarva Power & Light Co.,1,Wood,Vickers,Diamond,Vickers,Bradford,,,,,,,,,,
Conectiv Inc.,Atlantic City Electric Co.,1,Wood,Vickers,Diamond,Vickers,Bradford,,,,,,,,,,
"Conoco, Inc.","Conoco, Inc.",1,,Vickers,Mandola,Vickers,Bradford,,,,,,,,,,
"Conoco, Inc.",Conoco Canada Energy Partnership,1,,Vickers,Mandola,Vickers,Bradford,,,,,,,,,,
Constellation Energy Group,Constellation Power Source nc.,1,Llodra,Vickers,Mandola,Vickers,Bradford,Elizabeth,,,,,,,,,
Constellation Energy Group,Baltimore Gas & Electric Company,1,Llodra,Vickers,Mandola,Vickers,Bradford,Elizabeth,INC,,,,,,,2002-03-01 00:00:00,
"Cook Inlet Energy Supply, Inc.","Cook Inlet Energy Supply, Inc.",1,,Tycholiz,Diamond,Tycholiz,Bradford,,,,,,,,,,
"Coral Energy Holding, L.P.","Coral Energy Holding, L.P.",1,Wood,Lagrasta,,Lagrasta,Bradford,Elizabeth,,,,,,,,,
