Transact,Counterparty,TradeDate,B/S,Beg Time,End Time,Volume Rate,Block,Location,Price
113089,ENRO                            ,       Dec  4 2000 12:00AM,SELL     ,2001-07-01 00:00:00,2001-09-01 00:00:00,50,5x16            ,NYIS/ZONE A              ,81
116429,ENRO                            ,       Feb  8 2001  5:11PM,BUY      ,2001-07-01 00:00:00,2001-09-01 00:00:00,50,5x16            ,NYIS/ZONE A              ,80
117292,ENRO                            ,       Feb 26 2001  6:10PM,BUY      ,2001-07-01 00:00:00,2001-09-01 00:00:00,50,5x16            ,NYIS/ZONE A              ,73
117293,ENRO                            ,       Feb 26 2001 12:00AM,BUY      ,2001-07-01 00:00:00,2001-09-01 00:00:00,50,5x16            ,NYIS/ZONE A              ,73
107394,ENRO                            ,       Aug 28 2000 12:00AM,BUY      ,2003-01-01 00:00:00,2004-01-01 00:00:00,50,5x16            ,NYIS/ZONE J              ,43.31401
116032,ENRO                            ,       Feb  5 2001  3:57PM,BUY      ,2001-07-01 00:00:00,2001-09-01 00:00:00,50,5x16            ,NYIS/ZONE J              ,126
116207,ENRO                            ,       Feb  6 2001  4:53PM,BUY      ,2001-07-01 00:00:00,2001-09-01 00:00:00,50,5x16            ,NYIS/ZONE J              ,126
116431,ENRO                            ,       Feb  8 2001 12:00AM,BUY      ,2001-07-01 00:00:00,2001-09-01 00:00:00,50,5x16            ,NYIS/ZONE J              ,126
117296,ENRO                            ,       Feb 27 2001 12:00AM,BUY      ,2001-07-01 00:00:00,2001-09-01 00:00:00,50,5x16            ,NYIS/ZONE J              ,126
114324,ENRO                            ,       Jan  5 2001 12:00AM,SELL     ,2001-10-01 00:00:00,2002-01-01 00:00:00,50,5x16            ,NYIS/ZONE J              ,57.5
115036,ENRO                            ,       Jan 22 2001  4:20PM,SELL     ,2001-10-01 00:00:00,2002-01-01 00:00:00,50,5x16            ,NYIS/ZONE J              ,57.5
117795,ENRO                            ,       Mar  6 2001  6:21PM,SELL     ,2001-06-01 00:00:00,2001-07-01 00:00:00,50,5x16            ,NYIS/ZONE J              ,84.75
107831,ENRO                            ,       Sep  6 2000 12:00AM,BUY      ,2003-01-01 00:00:00,2006-01-01 00:00:00,100,5x16            ,NYIS/ZONE J              ,38.19508
