"Routing; Sloat K, Johnson K, Anderson D, Boschee R, Garcia J, Lytle D, Chesworth J, Russell C, Wong M, McCurdy R, Steiner P",,,,,,,
,,,,,,,
,,Date Collected,,,PCB Result (ppm),,Lab
PGE TOP3,,1998-07-20 00:00:00,,,39,,BC Labs
Pipeline liquid tank,,1998-07-29 00:00:00,,,0,,BC Labs
connected to top ,,1998-08-27 00:00:00,,,0,,BC Labs
section of Peco,,1998-09-10 00:00:00,,,25,,Sherwood
Filter/Separator,,1998-10-28 00:00:00,,,0,,Sherwood
at Topock Compressor,,1998-12-09 00:00:00,,,30,,Sherwood
Station,,1999-01-08 00:00:00,,,45,,Sherwood
,,1999-01-29 00:00:00,,,64,,Sherwood
,,1999-02-05 00:00:00,,,90,,Sherwood
,,1999-02-12 00:00:00,,,92,,Sherwood
,,1999-02-19 00:00:00,,,78,,Sherwood
,,1999-02-26 00:00:00,,,71,,Sherwood
,,1999-03-04 00:00:00,,,75,,Sherwood
,,1999-03-11 00:00:00,,,93,,Sherwood
,,1999-03-18 00:00:00,,,90,,Sherwood
,,1999-03-25 00:00:00,,,86,,Sherwood
,,1999-04-01 00:00:00,,,82,,Sherwood
,,1999-04-09 00:00:00,,,111,,Sherwood
,,1999-04-15 00:00:00,,,92,,Sherwood
,,1999-04-22 00:00:00,,,91,,Sherwood
,,1999-04-23 00:00:00,,,82,,Sherwood
,,1999-04-24 00:00:00,,,117,,Sherwood
,,1999-04-25 00:00:00,,,116,,Sherwood
,,1999-04-26 00:00:00,,,130,,Sherwood
,,1999-04-27 00:00:00,,,131,,Sherwood
,,1999-04-28 00:00:00,,,124,,Sherwood
,,1999-04-29 00:00:00,,,158,,Sherwood
,,1999-04-29 00:00:00,,,156,,Sherwood
,,1999-04-30 00:00:00,,,154,,Sherwood
,,1999-05-01 00:00:00,,,159,,Sherwood
,,1999-05-02 00:00:00,,,169,,Sherwood
,,1999-05-03 00:00:00,,,169,,Sherwood
,,1999-05-04 00:00:00,,,190,,Sherwood
,,1999-05-05 00:00:00,,,111,,Sherwood
,,1999-05-06 00:00:00,,,141,,Sherwood
,,1999-05-07 00:00:00,,,170,,Sherwood
,,1999-05-07 00:00:00,,,144,,Sherwood
,,1999-05-08 00:00:00,,,278,,Sherwood
,,1999-05-09 00:00:00,,,177,,Sherwood
,,1999-05-10 00:00:00,,,194,,Sherwood
,,1999-05-11 00:00:00,,,106,,Sherwood
,,1999-05-12 00:00:00,,,184,,Sherwood
,,1999-05-13 00:00:00,,,208,,Sherwood
,,1999-05-14 00:00:00,,,203,,Sherwood
,,1999-05-15 00:00:00,,,205,,Sherwood
,,1999-05-16 00:00:00,,,204,,Sherwood
,,1999-05-17 00:00:00,,,204,,Sherwood
,,1999-05-20 00:00:00,,,212,,Sherwood
,,1999-05-21 00:00:00,,,204,,Sherwood
,,1999-05-28 00:00:00,,,203,,Sherwood
,,1999-06-03 00:00:00,,,217,,Sherwood
,,1999-06-08 00:00:00,,,213,,Sherwood
,,1999-06-10 00:00:00,,,213,,Sherwood
,,1999-06-17 00:00:00,,,192,,Sherwood
,,1999-07-05 00:00:00,,,79,,Sherwood
,,1999-07-08 00:00:00,,,273,,Sherwood
,,1999-07-15 00:00:00,,,162,,Sherwood
,,1999-07-22 00:00:00,,,105,,Sherwood
,,1999-07-29 00:00:00,,,62,,Sherwood
,,1999-08-05 00:00:00,,,96,,Sherwood
,,1999-08-12 00:00:00,,,104,,Sherwood
,,1999-08-19 00:00:00,,,61,,Sherwood
,,1999-08-26 00:00:00,,,87,,Sherwood
,,1999-08-31 00:00:00,,,79,,Sherwood
,,1999-09-02 00:00:00,,,118,,Sherwood
,,1999-09-06 00:00:00,,,90,,Sherwood
,,2000-06-21 00:00:00,,,16,,Sherwood
