,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Consumers,,,,Michcon,
,,Monthly volume,,,,Monthly volume
,2001-06-01 00:00:00,22030,,,2001-11-01 00:00:00,7700
,2001-07-01 00:00:00,17577,,,2001-12-01 00:00:00,13500
,2001-08-01 00:00:00,22232,,,2002-01-01 00:00:00,14700
,2001-09-01 00:00:00,15977,,,2002-02-01 00:00:00,11000
,2001-10-01 00:00:00,17880,,,2002-03-01 00:00:00,8500
,2001-11-01 00:00:00,24280,,,,
,2001-12-01 00:00:00,34400,,,,
,2002-01-01 00:00:00,34600,,,,
,2002-02-01 00:00:00,30200,,,,
,2002-03-01 00:00:00,27217,,,,
,2002-04-02 00:00:00,18978,,,,
,2002-05-02 00:00:00,18382,,,,
,2002-06-02 00:00:00,8000,,,,
,2002-07-02 00:00:00,8000,,,,
,2002-08-02 00:00:00,8000,,,,
