Enron Direct Deal Sheet,,,,,,,,,,,,,January,8.0,August
,,,,,,,,,,,,,February,,
Counterparty Name:,South Fish Creek Recreation Complex Ass.,,,,Deal Date:,2001-05-23 00:00:00,,,,,,,March,,
Originator:,Greg Frers,,,,Deal ID #:,,,,,,,,April,,
,,,,,,,,,,,,,May,,
Deal Start Date:,2001-08-01 00:00:00,,,,Unit of Measure:,GJ,,,,,,,June,,
Deal End Date:,2002-07-31 00:00:00,,,,Volume (Monthly/Daily):,Monthly,,,,,,,July,,
Term Duration (months):,,,,,,,,,,,,,August,,
,,,,,Price:,,,,,,,,September,,
Fuel Rate %:,0.01561,,,,Buy/Sell:,Buy,,,,,,,October,,
,,,,,,,,,,,,,November,,
,,,,,,,,,,,,,December,,
,Month,Rate 11 Volume,Rate 13 Volume,Combined Volume,Fuel,Total,,,,,,,,,
,,,,,,,,,,,,,,,
,January,1498,0,1498,23.38,1521,,,,,,,,,
,February,1298,0,1298,20.26,1318,,,,,,,,,
,March,950,0,950,14.83,965,,,,,,,,,
,April,653,0,653,10.19,663,,,,,,,,,
,May,467,0,467,7.29,474,,,,,,,,,
,June,416,0,416,6.49,422,,,,,,,,,
,July,276,0,276,4.31,280,,,,,,,,,
Start Month,August,256,0,256,4,260,,,,,,,,,
,September,404,0,404,6.31,410,,,,,,,,,
,October,599,0,599,9.35,608,,,,,,,,,
,November,984,0,984,15.36,999,,,,,,,,,
,December,1146,0,1146,17.89,1164,,,,,,,,,
,,,,,,,,,,,,,,,
,TOTAL:,8947,0,8947,139.66,9084,,,,,,,,,
