,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
E-rating,Call Credit for approval,E-rating,Call Credit for approval (cont.),E-rating,NO TRADES,,
11,Abraxas Petroleum Corporation,7,JN Exploration and Production LP,11,Adonis Energy Corporation ,,
9,"ACN Power, Inc.",9,J Oil & Gas Inc.,12,"AGF, Inc.",,
10,"Adams Resources Marketing, Ltd.",10,"Kaztex Energy Management, Inc.",12,AGF Direct Sales & Servicing Inc.--Bankruptcy,,
11,Agave Energy,12,KCS Energy Marketing Inc.,12,AGF Direct Gas Sales Sales Inc.,,
6,AGIP Petroleum Company Inc.,12,"KCS Resources, Inc.",11,Arcadia Energy Corporation,,
11,Altman Energy Inc.,9,Louisiana Municipal Natural Gas Purchasing a,11,"Aurora Natural Gas, LLC",,
9,"Altra Streamline, LLC",10,Magnum Hunter Resources Inc.,11,Barrington Petroleum Ltd.,,
9,"Altrade Transaction, LLC",10,"Mainline Energy, LLC",11,Brigham Exploration Company,,
11,"American Central Energy, LLC",11,"Makoil Inc,.",12,Bristol Resources Corporation,,
10,"American Atlas #1, Ltd. LLC",11,Mallon Oil Company,11,"C & L Petroleum, Inc.",,
9,Aries Resources LLC,9,"Mariner Energy, Inc.",12,Cage Gas Services,,
9,Aspect Resources,7,"MarkWest Hydrocarbon, Inc.",11,Coho Energy Inc.,,
6,Barrett Resources Corporation,10,"Metromedia Energy, Inc.",12,Costilla Energy Inc.,,
7,"Basin Exploration, Inc.",10,MG Natural Gas Corp,12,"Denbury Energy Services, Inc.",,
10,Beaumont Methanol Limited Partnership,11,"Micah-Tech Industries, Inc -WMBE.",11,"Eagle Gas Marketing, LLC",,
9,Belco Oil & Gas Corp.,9,"Midwest United Energy, LLC",11,Eagle Natural Gas Company,,
10,Bellwether Exploration Company,11,"Millenium Gas Marketing, LLC",11,Edison Mission Marketing & Trading Inc.,, 
11,"Berco Resources, Inc.",11,Mississippi Chemical Corporation,11,"Energy Dynamics, Inc.",,
9,BHP Copper Inc.,9,Mystic River Energy Corporation,11,Empire Pipeline Corp.,,
9,Bonavista Petroleum Ltd.,11,"National Energy & Trade, LLC",11,"Euell Energy Resources, Inc. - WMBE",,
