Region,Utility Name,Tariff Description,CTC Start Date,CTC End Date,Retail Index (Y or N),Linked to Fuel Factor? (Y or N),Linked to Fuel Tariff Curve? (Y or N),Linked to Interest (Y or N),Last Update,Ranking (1-4),Position
ECAR,OhioPower,GS4LgTra,2001-01-01 00:00:00,2005-12-31 00:00:00,N,,,Y,2001-06-30 00:00:00,1,-2360588.5043088435
ECAR,PSI Energy,HLF(Tran),2004-06-01 00:00:00,2008-12-31 00:00:00,N,Y,N,Y,2001-06-30 00:00:00,1,-2454492.6574480566
ERCOT,HLP,MGS64(Sec),2002-01-01 00:00:00,2006-12-31 00:00:00,N,Y,N,Y,2001-10-18 00:00:00,2,-890782.4652619853
ERCOT,HLP,LOSA79(Tran),2002-01-01 00:00:00,2002-01-02 00:00:00,N,Y,N,Y,2001-10-18 00:00:00,2,-586787.3437220012
ERCOT,TUEC,GS(Sec),2002-01-01 00:00:00,2006-12-31 00:00:00,Y,Y,N,Y,2001-10-18 00:00:00,2,-1519107.7211699665
ERCOT,TUEC,HV(Tran),2002-01-01 00:00:00,2002-01-02 00:00:00,N,Y,N,Y,2001-10-18 00:00:00,2,-1095621.885816439
MAAC,JCP&L,GT-FrozNoTEFA,1999-08-01 00:00:00,2003-07-31 00:00:00,N,N,Y,Y,2001-11-02 00:00:00,1,-610540.6059794435
MAAC,JCP&L,GT-Current,1999-08-01 00:00:00,2003-07-31 00:00:00,N,N,Y,Y,2001-11-02 00:00:00,1,-576070.1237580315
MAAC,PSE&G,LPLS-FrozNoTEFA,1999-08-01 00:00:00,2003-07-31 00:00:00,N,N,Y,Y,2001-05-07 00:00:00,1,-1091911.6366293025
MAAC,PSE&G,LPLS-Froz99,1999-08-01 00:00:00,2003-07-31 00:00:00,Y,N,Y,Y,2001-05-07 00:00:00,1,-625248.6733435742
MAIN,Ameren CIPS,DS-3(Sec)_5.45(1),2006-01-01 00:00:00,2005-12-31 00:00:00,N,N,N,N,2001-01-15 00:00:00,1,-843798.6445282557
MAIN,ComEdDA(4_99),6L>3000 4.99(LL)(2),2006-01-01 00:00:00,2005-12-31 00:00:00,N,N,N,Y,2000-04-06 00:00:00,1,-1464944.4849948827
MAIN,ComEdDA(LL),6>0(LL)(1),1999-10-01 00:00:00,2005-12-31 00:00:00,N,N,N,Y,1999-08-18 00:00:00,1,-1962818.3837837034
MAIN,ComEdDA(LW),6>0(LW)(1),1999-10-01 00:00:00,2005-12-31 00:00:00,N,N,N,Y,1999-09-02 00:00:00,1,-3639254.7476817174
MAIN,Illinois Power (IL),SC21(LW)14.080(1),2006-01-01 00:00:00,2005-12-31 00:00:00,N,N,N,Y,2000-02-07 00:00:00,1,-1110876.328333423
MAPP,IES,LGS(Pri)-807-8(3),2005-01-01 00:00:00,2009-12-31 00:00:00,N,N,Y,N,2001-04-23 00:00:00,1,-788353.7678518782
NPCC,BECO,G3(Pri),1998-03-01 00:00:00,2001-08-31 00:00:00,N,N,N,Y,2001-09-01 00:00:00,1,-683439.9789350755
NPCC,CentralHudson(NY),SC13(Tran),1999-01-01 00:00:00,2001-12-31 00:00:00,N,Y,N,Y,2001-02-13 00:00:00,1,-6199608.982378401
NPCC,CMP,Wholesale,1999-01-01 00:00:00,2001-08-31 00:00:00,N,N,N,N,2001-05-01 00:00:00,1,-2776462.685364119
