,,,,,,
,FIRST OF THE MONTH NOMS,,,,,
,2001-05-01 00:00:00,,,,,
,,,WELLHEAD,,,WELLHEAD
,WELL NAME,METER #,Mcf/d,,,MMBTU/d
,,,,,,
,DAKOTA - Wildhorse Transport Contract #408,,,,,
,Blackhorse 31-1,30139,22,SA #4,87.0,24.002
,Federal Gilbert,9564,53,SA #17,4.0,57.823
,San Arroyo #3,9860,75,SA #18,31.0,81.825
,San Arroyo #4,401040,78,SA #21,59.0,85.098
,San Arroyo #8,401080,125,SA #24,57.0,136.375
,San Arroyo #9,401090,160,SA #26,46.0,174.56
,San Arroyo #11,401110,206,SA #27,22.0,224.74599999999998
,San Arroyo #12,401120,541,SA #28,41.0,590.231
,San Arroyo #13,401130,26,SA #30,38.0,28.366
,San Arroyo #16,401160,85,SA #3,64.0,92.735
,San Arroyo #17,401170,13,SA #35,55.0,14.183
,San Arroyo #18,401180,19,SA #36,35.0,20.729
,San Arroyo #19,401190,23,SA #37,25.0,25.093
,San Arroyo #20,401200,53,SA #12,123.0,57.823
,San Arroyo #21,401210,43,SA #16,110.0,46.913
,San Arroyo #24,401240,48,SA #20,44.0,52.367999999999995
,San Arroyo #25,401250,278,ROUTE #1 TOTAL,841.0,303.298
,San Arroyo #26,401260,50,,,54.55
,San Arroyo #27,401270,30,SA #8,84.0,32.73
,San Arroyo #28,401280,29,SA #9,179.0,31.639
,San Arroyo #29,401290,14,SA #11,287.0,15.274
,San Arroyo #30,401300,39,SA #13,88.0,42.549
,San Arroyo #31,401310,32,SA #19,79.0,34.912
,San Arroyo #35,401350,51,SA #22,48.0,55.641
,San Arroyo #36,401360,35,SA #25,386.0,38.185
,San Arroyo #37,401370,31,SA #29,25.0,33.821
,San Arroyo #38,401380,255,SA #31,13.0,278.205
,San Arroyo #174,401410,51,SA #32,31.0,55.641
,Arco 27-1,401420,8,SA #38,375.0,8.728
,Bittercreek #1,401440,135,FED 174-1,48.0,147.285
,San Arroyo #22,501220,148,BITTERCREEK#1,163.0,161.468
,San Arroyo #32,501320,222,FEDERAL GILBERT,123.0,242.202
,Arco State #2-1,501650,63,ARCO 36-7,67.0,68.733
,Arco State #2-2,501660,26,ARCO 36-8,26.0,28.366
,Arco 36-7,501670,35,ARCO 2-1,83.0,38.185
,Arco 36-8,501680,21,ARCO 2-2,30.0,22.910999999999998
, ,TOTAL:,3123,BLACKHORSE 31-1,37.0,3407.1929999999998
, ,,,ARCO 27-1,23.0, 
, ,,,,,
