,Western Region,,,,2018-07-16 00:00:00,,
,,,,,,,
,Support Type,Deal Name,Responsible Person,Impact ($MM),Background/Key Issues,Updated,Strategies/Comments/Next Actions
,Regulatory Risk,CAISO Price  mitigation compliance: generation service customer assistance,Alan Comnes,$millions,"CAISO and FERC require cost justification for ""above-cap"" sales",2001-10-05 00:00:00,Assist clients in making filings on their own behalf. Next Step - monitor market activity and assist in cost support as necessary.  Create workable must-offer mechanism
,,Negative CTC Claim,Jeff Dasovich,-580,SCE and PG&E owe Enron for Negative CTC accrued since March 2000.  ,2001-10-05 00:00:00,1.  PG&E recovery tied into PG&E Bankruptcy.  2.  PG&E and SCE have not returned net bill amount to EES' customers with our return to DA.  3.  EES filed CPUC complaint to recoup our net bills.  4.  PG&E in discussions inside bankruptcy.  5. SCE settles outstanding Federal Court case with CPUC allowing SCE to recover $3.3 Billion (language appears to provide for recovery).  Key Risk - FERC refund case may impact our claim by reducing wholesale market prices - attempting to determine impact.
,,CAISO Price mitigation compliance,Alan Comnes,"small immediate impact, but CAISO rules keep Enron from participation","CAISO has implemented various aspects of the FERC rule incorrectly: it is not requiring a creditworthy buyer (ie:  CDWR to buy the full net short position), it is requiring thermal units to make a power available at a loss",2001-10-05 00:00:00,Rehear FERC decisions and protest CAISO compliance filings.  Provide information to media.   Next Step is to monitor and respond as appropriate.  Feed information to FERC on ISO's violations of its own tariffs.                                                                                                                                                                    
,,CAISO Audit by FERC,Alan Comnes,"small immediate impact, but CAISO rules keep Enron from participation",CAISO is in violation of several FERC orders and its own tariffs,2001-10-05 00:00:00,Coordination with other generators and marketers.                                                                                     Provide assistance to FERC and its auditors.  Get media attention on process
,,California DA Suspension Date,Sue Mara,,"CPUC has published Proposed Decision that would retroactively end DA as of July 1, 2001.",2001-09-05 00:00:00,1.  Work with other members of AReM coalition to convince CPUC that this action would be disastrous and result in unnecessary legal fights.
,Advocacy,CA NW Refund,Jeff Dasovich,,,2001-10-05 00:00:00,Review ISO Data for acuracy and develop recievable counter claims.
,,Rate agreement between DWR and CPUC,Jeff Dasovich,,"California PUC voted down Davis' propsed rate agreement between DWR and the CPUC.                                                                                -Davis' proposal would remove all PUC authority to review any contracts between DWR with suppliers, and would require the PUC to pass through utility rates all DWR power contract costs, no questions asked.",2001-10-05 00:00:00,"A broad left-right coalition of energy intersets supported a bill that passed the Legislature with broad bipartisan support.  Davis doesn't want to sign the bill, but may have no alternative."
,,Edison Bailout,Jeff Dasovich,,"PUC approved an Edison bailout 10-2-2001.                                                  1. Commission will keep current rates in place through 2003                      2. Any ""overcollection"" will go toward paying off $3.3 billion.                  3. If Edison collects the $3.3 billion prior to 2003, then rates can change.",2001-10-05 00:00:00,
,,Oregon Direct Access,Paul Kaufman,,"Oregon's version of direct access begins Q2, 2002",2001-11-05 00:00:00,Understand evolving rules and pursue profitable strategies.  Next Step -Collaborate with commercial counterparts to develop deal opportunities
,Deal Support,QF Buyout Study,Alan Comnes,100,Given current forward curve; QF contract buyouts look promising.  Utility interest may be heightened given current rate and credit pressures,2001-09-05 00:00:00,"Assist commercial team on a screening curve analysis.  Develop project types that are most promising from a buyout perspective; consider similar approach in Nevada; keep an eye on impacts on ""in-CA"" and renewable production to prevent political backlash.   Next step is a presentation to Edison to gain utility support."
,,Longview Energy Development,Paul Kaufman,,We are assisting ENA origination in the development of a CT in Longview Washington.  ,2001-11-05 00:00:00,Assisting on an as-available basis.  Key Issue is to gain permits.  Developable projects are near completion.
,Regulatory Ventures,"Modification of 1c/kwh Surcharge (SDG&E, PG&E, SCE)",Sue Mara,30,PUC assigned cost of 1c/kwh Surcharge to DA and non-DA.   ,2001-11-05 00:00:00,Enron working through AREM to modify CPUC rule that 1c/kwh Surcharge applies to DA.
,,Montana PLR Support,Paul Kaufman,,We are working with ENA origination on a number of potential transactions with the state of Montana public power authority.,2001-11-05 00:00:00,Continue discussions.  Business teams will present proposal soon.
