Organization Name,Transaction Type,Firm/Interruptable,Volume (MW),Min Price,Max Price,Point Name,
"Allegheny Energy Supply Company, LLC                                                      ",P,F   ,1548200,13.53,105,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,AP to PJM,
                                                                                          , ,    ,           ,              ,              ,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,Entergy (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
"Allegheny Energy Supply Company, LLC                                                      ",P,I   ,2027,33,88,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,ENWC-WHEATLAND (CIN)-EPMI,
                                                                                          , ,    ,           ,              ,              ,FirstEnergy System Border,
                                                                                          , ,    ,           ,              ,              ,PJM,
                                                                                          , ,    ,           ,              ,              ,SOCO (Into) System,
"Alliant Energy Corporate Services, Inc.                                                   ",P,F   ,10804,35,59,AECI System Border,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,UPA System Border,
"Alliant Energy Corporate Services, Inc.                                                   ",P,I   ,353,28,85,AECI System Border,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,WAUM System Border,
"Alternate Power Source, Inc.                                                              ",P,F   ,30025,26.5,26.5,NEPOOL PTF,
Amerada Hess Corporation                                                                  ,P,F   ,52400,30.5,98,NEPOOL PTF,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
"Ameren Energy, Inc., as agent                                                             ",P,F   ,231828,13,100,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,Ameren (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,Associated,
                                                                                          , ,    ,           ,              ,              ,CILCO-CIPS Interface ,
                                                                                          , ,    ,           ,              ,              ,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,ENWC-WHEATLAND (CIN)-EPMI,
                                                                                          , ,    ,           ,              ,              ,ENWC-Wheatland(CIN)-ENSE,
                                                                                          , ,    ,           ,              ,              ,Entergy (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,UPA System Border,
"Ameren Energy, Inc., as agent                                                             ",P,I   ,49840,13.5,180,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,AEP-TVA Interface,
                                                                                          , ,    ,           ,              ,              ,Ameren (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,Associated,
                                                                                          , ,    ,           ,              ,              ,CILCO-CIPS Interface ,
                                                                                          , ,    ,           ,              ,              ,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,Entergy System Border,
                                                                                          , ,    ,           ,              ,              ,JEA System Border,
                                                                                          , ,    ,           ,              ,              ,LG&E-TVA Interface,
                                                                                          , ,    ,           ,              ,              ,NSP System Border,
                                                                                          , ,    ,           ,              ,              ,OPC System Border,
                                                                                          , ,    ,           ,              ,              ,SOCO (Into) System,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,TVA System Border,
                                                                                          , ,    ,           ,              ,              ,UPA System Border,
                                                                                          , ,    ,           ,              ,              ,WAUM System Border,
American Electric Power Service Corporation                                               ,P,F   ,22632559,14,400,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,AEP-APSE Interface,
                                                                                          , ,    ,           ,              ,              ,AEP-TVA Interface,
                                                                                          , ,    ,           ,              ,              ,BPA Busbar,
                                                                                          , ,    ,           ,              ,              ,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,COB N/S,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,Consumers Power System Border,
                                                                                          , ,    ,           ,              ,              ,ENSE-New Albany-ENSE,
                                                                                          , ,    ,           ,              ,              ,ENWC-WHEATLAND (CIN)-EPMI,
                                                                                          , ,    ,           ,              ,              ,ENWC-Wheatland(CIN)-ENSE,
                                                                                          , ,    ,           ,              ,              ,ERCOT System,
                                                                                          , ,    ,           ,              ,              ,Entergy (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,IP&L System Border,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,NEPOOL PTF,
                                                                                          , ,    ,           ,              ,              ,NP-15,
                                                                                          , ,    ,           ,              ,              ,NSP System Border,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,PJM,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
                                                                                          , ,    ,           ,              ,              ,SOCO (Into) System,
                                                                                          , ,    ,           ,              ,              ,SP-15,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,Tacoma System Border,
                                                                                          , ,    ,           ,              ,              ,UPA System Border,
American Electric Power Service Corporation                                               ,P,I   ,30504,13.75,170,AE System Border,
                                                                                          , ,    ,           ,              ,              ,AECI System Border,
                                                                                          , ,    ,           ,              ,              ,AECI-CSWS/PSO Interface,
                                                                                          , ,    ,           ,              ,              ,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,AEP-DUKE Interface,
                                                                                          , ,    ,           ,              ,              ,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,CSWS System Border ,
                                                                                          , ,    ,           ,              ,              ,CSWS/PSO System Border,
                                                                                          , ,    ,           ,              ,              ,CSWS/PSO-Entergy Interface,
                                                                                          , ,    ,           ,              ,              ,DP&L System Border,
                                                                                          , ,    ,           ,              ,              ,DUKE System Border,
                                                                                          , ,    ,           ,              ,              ,ENSE-Brownsville-ENSE,
                                                                                          , ,    ,           ,              ,              ,ENSE-New Albany-ENSE,
                                                                                          , ,    ,           ,              ,              ,ENWC-Wheatland(CIN)-ENSE,
                                                                                          , ,    ,           ,              ,              ,ERCOT System,
                                                                                          , ,    ,           ,              ,              ,FPC System Border,
                                                                                          , ,    ,           ,              ,              ,FirstEnergy System Border,
                                                                                          , ,    ,           ,              ,              ,Four Corners-345KV,
                                                                                          , ,    ,           ,              ,              ,PJM,
                                                                                          , ,    ,           ,              ,              ,PJM to CEI,
                                                                                          , ,    ,           ,              ,              ,PJM-CEI Interface,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
                                                                                          , ,    ,           ,              ,              ,SC System Border,
                                                                                          , ,    ,           ,              ,              ,SOCO (Into) System,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,TVA System Border,
American Municipal Power-Ohio Inc.                                                        ,P,F   ,4000,82,82,CINERGY (Into) System,
Aquila Energy Marketing Corporation                                                       ,P,F   ,13613050,5.03,3000,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,COB N/S,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,ERCOT System,
                                                                                          , ,    ,           ,              ,              ,Entergy (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,Mead-230KV,
                                                                                          , ,    ,           ,              ,              ,NEPOOL PTF,
                                                                                          , ,    ,           ,              ,              ,NOB S/N,
                                                                                          , ,    ,           ,              ,              ,NP-15,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
                                                                                          , ,    ,           ,              ,              ,SP-15,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
Aquila Energy Marketing Corporation                                                       ,P,I   ,2905,15,110,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,ERCOT System,
                                                                                          , ,    ,           ,              ,              ,Entergy (Into) System Border,
Arizona Public Service Company                                                            ,P,F   ,323582,19,227,BPA Busbar,
                                                                                          , ,    ,           ,              ,              ,Four Corners-345KV,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
