LNG  CIF  Prices  from  World Gas Intelligence  ($/MMBtu),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,NAPHTHA,DISTILLATE
CIF Buyer,,,,     J A P A N *,,,,JAPAN,KOREA *,BELGIUM,FRANCE,ITALY Pipeline Gas,SPAIN,SPAIN,LNG EUROPE (Av.),,India,India
Delivery from,Abu Dhabi,Alaska,Australia,Brunei,Indonesia,Malaysia,Qatar,Average,Indonesia/ Various since Feb-99,Algeria,Algeria,Algeria,Libya,Algeria,Algeria,,Arab Gulf,Arab Gulf
1995-06-01 00:00:00,3.07,3.38,3.63,3.3,3.8,3.37,,3.56,3.35,2.64,2.74,2.72,,2.49,2.6233333333333335,,4.60340858787074,3.9916289742558444
1995-07-01 00:00:00,3.05,3.44,3.67,3.45,3.68,3.44,,3.45,3.12,2.65,2.75,2.75,,2.5,2.6333333333333333,,4.291046923417442,3.7272512918524114
1995-08-01 00:00:00,3.08,3.47,3.74,3.5,3.44,3.46,,3.46,2.85,2.65,2.75,2.7,,2.5,2.6333333333333333,,4.146779548472776,3.7701697467880337
1995-09-01 00:00:00,3.08,3.54,3.81,3.56,3.4,3.55,,3.5,3.04,2.59,2.69,2.67,,2.44,2.573333333333333,,4.178674192120408,3.883474467818076
1995-10-01 00:00:00,3.07,3.52,3.63,3.56,3.4,3.4,,3.45,3.01,2.61,2.71,2.69,,2.47,2.596666666666667,,4.0452191235059765,3.779440133054127
1995-11-01 00:00:00,3.04,3.45,3.47,3.46,3.41,3.46,,3.41,3.02,2.6,2.7,2.66,,2.45,2.5833333333333335,,4.011586985391767,3.9023585879897498
1995-12-01 00:00:00,3.03,3.37,3.42,3.31,3.41,3.3,,3.37,3,2.54,2.64,2.71,,2.39,2.5233333333333334,,4.176128818061089,4.104933695285887
1996-01-01 00:00:00,3.06,3.26,3.48,3.29,3.62,3.29,,3.33,3.16,2.7,2.65,2.76,,2.4,2.5833333333333335,,4.257337317397079,4.110083909878162
1996-02-01 00:00:00,3.06,3.26,3.44,3.28,3.77,3.27,,3.48,3.37,2.83,2.73,2.76,,2.58,2.7133333333333334,,4.12058432934927,4.119010948504771
1996-03-01 00:00:00,3.05,3.21,3.5,3.27,3.76,3.27,,3.47,3.16,2.87,2.7,2.85,,2.62,2.7300000000000004,,4.465914121292608,4.457380047217218
1996-04-01 00:00:00,3.05,3.33,3.68,3.35,3.81,3.32,,3.54,3.32,2.86,2.76,2.94,,2.61,2.7433333333333327,,4.872996901283755,4.625620390564857
1996-05-01 00:00:00,3.05,3.44,3.73,3.45,3.81,3.43,,3.6,3.28,2.91,2.81,3.05,,2.66,2.7933333333333334,,4.739309428950865,4.31197232189533
1996-06-01 00:00:00,3.06,3.5,3.58,3.51,3.79,3.57,,3.6,3.26,2.91,2.81,3.09,,2.66,2.7933333333333334,,4.575132802124835,4.196092493569149
1996-07-01 00:00:00,3.05,3.53,3.76,3.54,3.76,3.51,,3.62,3.37,2.81,2.71,3.04,,2.56,2.6933333333333334,,4.716777335104029,4.403131120178591
1996-08-01 00:00:00,3.05,3.56,3.85,3.57,3.85,3.56,,3.66,3.36,2.84,2.74,3.02,,2.59,2.723333333333333,,4.802124833997344,4.561586055800909
1996-09-01 00:00:00,3.06,3.62,3.82,3.62,3.82,3.6,,3.68,3.42,2.87,2.77,3.02,,2.62,2.753333333333334,,5.037450199203188,4.9186676008652865
1996-10-01 00:00:00,3.06,3.63,3.8,3.64,4.06,3.67,,3.79,3.59,2.86,2.76,3.06,,2.61,2.7433333333333327,,5.304847277556442,5.180813523612068
1996-11-01 00:00:00,3.84,3.62,3.87,3.64,4.36,3.64,,4.01,3.97,2.93,2.83,3.1,,2.68,2.813333333333333,,5.415338645418328,4.928624682410351
1996-12-01 00:00:00,3.89,3.69,3.97,3.69,4.33,3.73,,4.03,3.93,2.91,2.81,3.18,,2.66,2.7933333333333334,,5.6712815405046495,5.134633266101338
1997-01-01 00:00:00,4,3.77,4.13,3.8,4.35,3.87,,4.13,4.01,2.96,2.86,3.31,,2.71,2.8433333333333337,,5.657204515272245,5.094375755371725
1997-02-01 00:00:00,4.18,4,4.37,3.98,4.42,3.95,,4.22,3.84,2.92,2.82,3.15,,2.67,2.8033333333333332,,5.572487826471891,4.633088201723655
1997-03-01 00:00:00,4.17,3.94,4.39,3.98,4.09,4.12,,4.25,3.72,2.77,2.72,3.15,,2.57,2.686666666666667,,5.462295263390883,4.40647875966357
1997-04-01 00:00:00,4.41,4.18,4.45,4.15,3.73,4.27,,4.07,3.51,2.7,2.6,3.05,,2.45,2.5833333333333335,,5.101859229747677,4.099096785414643
1997-05-01 00:00:00,4.45,4.38,4.48,4.25,3.54,4.26,4.15,4.03,3.59,2.61,2.51,3.05,,2.36,2.4933333333333327,,5.149125719344844,4.342616098719363
1997-06-01 00:00:00,4.37,4.24,4.23,4.19,3.62,4.36,4.09,4.04,3.47,2.7,2.6,2.93,,2.45,2.5833333333333335,,4.999169986719789,4.108109660951124
1997-07-01 00:00:00,4.25,4.09,4.01,4.03,3.52,4.11,4.03,3.89,3.24,2.63,2.53,2.81,,2.45,2.5366666666666666,,,
1997-08-01 00:00:00,3.99,3.8,3.81,3.8,3.43,3.83,4.01,3.69,3.08,2.65,2.55,2.69,,2.45,2.55,,,
1997-09-01 00:00:00,3.9,3.69,3.89,3.71,3.5,3.76,3.89,3.69,n.a.,2.73,2.63,2.57,,2.53,2.6299999999999994,,,
1997-10-01 00:00:00,3.83,3.62,3.74,3.61,3.48,3.7,3.7,3.62,3.24,2.76,2.66,2.64,,2.56,2.66,,,
1997-11-01 00:00:00,3.77,3.58,3.69,3.6,3.69,3.63,3.73,3.68,3.37,2.83,2.73,2.71,,2.63,2.7300000000000004,,,
1997-12-01 00:00:00,3.82,3.62,3.77,3.63,3.48,3.6,3.6,3.6,3.59,2.76,2.66,2.79,,2.56,2.66,,,
1998-01-01 00:00:00,3.75,3.58,3.78,3.55,3.4,3.54,3.57,3.54,3.4,2.67,2.57,2.61,,2.47,2.5700000000000003,,,
1998-02-01 00:00:00,3.81,3.6,3.92,3.62,2.96,3.66,3.65,3.43,2.93,2.7,2.6,2.73,,2.5,2.6,,,
1998-03-01 00:00:00,3.83,3.63,3.94,3.64,2.83,3.76,3.59,3.44,2.74,2.67,2.57,2.61,,2.42,2.5533333333333332,,,
1998-04-01 00:00:00,3.54,3.55,3.57,3.55,2.51,3.75,3.42,3.19,2.8,2.66,2.56,2.49,,2.46,2.56,,,
1998-05-01 00:00:00,3.41,3.49,3.35,3.44,2.71,3.51,3.42,3.19,2.5,2.65,2.55,2.34,,2.45,2.55,,,
1998-06-01 00:00:00,3.41,3.06,3.23,3.1,2.58,3.18,3.3,3,2.37,2.64,2.54,2.14,,2.39,2.5233333333333334,,,
1998-07-01 00:00:00,3.21,2.78,3.12,2.79,2.56,2.85,3.17,2.84,2.36,2.67,2.57,2,,2.42,2.5533333333333332,,,
1998-08-01 00:00:00,3.17,2.68,3.12,2.68,2.58,2.77,3.06,2.79,2.38,2.6,2.5,1.92,,2.35,2.483333333333333,,,
1998-09-01 00:00:00,2.98,2.65,3.17,2.66,2.56,2.68,2.78,2.74,2.36,2.51,2.41,1.85,,2.26,2.393333333333333,,,
1998-10-01 00:00:00,2.78,2.74,3.1,2.71,2.58,2.81,2.82,2.76,2.38,2.49,2.39,1.83,2.34,2.24,2.365,,,
1998-11-01 00:00:00,2.75,2.67,3.15,2.69,2.71,2.78,2.76,2.78,2.51,2.45,2.35,1.77,2.3,2.2,2.325,,,
1998-12-01 00:00:00,2.75,2.66,3.15,2.66,2.57,2.71,2.75,2.72,n.a.,2.39,2.29,1.69,2.24,2.14,2.265,,,
1999-01-01 00:00:00,2.76,2.7,3.2,2.7,2.61,2.78,2.77,2.77,2.53,2.3,2.2,1.62,2.15,2.05,2.175,,,
1999-02-01 00:00:00,2.79,2.71,3.19,2.88,2.61,2.79,2.71,2.78,2.57,2.25,2.15,1.61,2.1,2,2.125,,,
1999-03-01 00:00:00,2.79,2.72,3.14,2.91,2.6,2.79,2.77,2.78,2.5,2.19,2.09,1.57,2.04,1.94,2.065,,,
1999-04-01 00:00:00,2.78,2.57,3.04,2.86,2.67,2.72,2.8,2.76,2.58,2.17,2.07,1.54,2.02,1.92,2.045,,,
1999-05-01 00:00:00,2.78,2.46,3.03,2.79,3.05,2.56,2.78,2.88,2.8,2.21,2.11,1.57,2.06,1.96,2.085,,,
1999-06-01 00:00:00,2.79,2.42,3.02,2.77,3.15,2.73,2.77,2.93,2.99,2.28,2.18,1.64,2.13,2.03,2.155,,,
1999-07-01 00:00:00,2.78,2.47,3.13,2.8,3.17,2.88,2.87,2.99,2.94,2.41,2.31,1.77,2.26,2.16,2.285,,,
1999-08-01 00:00:00,2.88,2.54,3.3,2.88,3.43,3.01,3.11,3.17,3.34,2.62,2.52,1.92,2.47,2.37,2.495,,,
1999-09-01 00:00:00,2.94,2.89,3.35,3.01,3.71,3.14,3.25,3.35,3.48,2.92,2.82,2.23,2.77,2.67,2.795,,,
1999-10-01 00:00:00,3,3.26,3.4,3.17,4.1,3.29,3.46,3.57,3.74,3.19,3.09,2.52,3.04,2.94,3.065,,,
1999-11-01 00:00:00,3.19,3.52,3.63,3.32,4.22,3.43,3.62,3.73,n.a.,3.29,3.19,2.61,3.14,3.04,3.165,,,
1999-12-01 00:00:00,3.4,3.77,3.88,3.52,4.37,3.66,3.92,3.94,n.a.,3.66,3.56,2.99,3.51,3.41,3.535,,,
2000-01-01 00:00:00,3.65,4.01,4.19,3.78,4.59,3.87,4.15,4.16,4.14,3.87,3.74,3.21,3.59,3.69,3.7224999999999997,,,
2000-02-01 00:00:00,3.78,4.03,4.32,3.96,4.66,4.15,4.35,4.3,4.46,4.1,4,3.41,3.95,3.85,3.975,,,
2000-03-01 00:00:00,3.79,4.1,4.44,4.05,4.86,4.32,4.52,4.46,n.a.,4.27,4.17,3.5,4.12,4.02,4.145,,,
2000-04-01 00:00:00,4.2,4.23,4.49,4.25,5.03,4.46,4.69,4.64,n.a.,4.44,4.34,3.61,4.29,4.19,4.315,,,
2000-05-01 00:00:00,4.38,4.22,4.5,4.35,4.59,4.51,4.79,4.53,n.a.,4.51,4.41,3.65,4.36,4.26,4.385,,,
2000-06-01 00:00:00,4.52,4.29,4.57,4.38,5.07,4.54,4.85,4.74,n.a.,4.73,4.63,3.73,4.58,4.48,4.605,,,
2000-07-01 00:00:00,4.66,4.32,4.6,4.42,5.43,4.55,4.84,4.86,n.a.,4.73,4.63,3.74,4.58,4.48,4.605,,,
2000-08-01 00:00:00,4.56,4.18,4.47,4.4,5.46,4.57,4.78,4.84,n.a.,4.88,4.78,3.8,4.73,4.63,4.755,,,
2000-09-01 00:00:00,4.58,4.34,4.6,4.41,5.53,4.56,4.77,4.9,n.a.,4.95,4.85,3.83,4.8,4.7,4.825,,,
2000-10-01 00:00:00,4.6,4.45,4.74,4.46,5.91,4.63,4.74,5.04,n.a.,5.1,5,3.92,4.95,4.85,4.975,,,
2000-11-01 00:00:00,4.69,4.45,4.72,4.55,5.87,4.69,4.92,5.13,n.a.,5.32,5.22,4.1,5.17,5.07,5.195,,,
2000-12-01 00:00:00,4.75,4.47,4.73,4.6,5.72,4.74,5.22,4.97,,5.46,5.36,4.21,5.31,5.21,5.335,,,
2001-01-01 00:00:00,4.81,4.54,4.89,4.65,4.98,4.8,5.17,5.05,5.26,5.37,5.27,4.27,5.22,5.12,5.245,,,
2001-02-01 00:00:00,4.86,4.68,4.93,4.72,4.66,4.86,5.1,4.8,,5.23,5.13,4.14,5.08,4.98,4.91,,,
2001-03-01 00:00:00,,,,,,,,,,5.15,5.05,4.1,4.9,4.8,4.8,,,
2001-04-01 00:00:00,,,,,,,,,,,,,,,,,,
2001-05-01 00:00:00,,,,,,,,,,,,,,,,,,
2001-06-01 00:00:00,,,,,,,,,,,,,,,,,,
2001-07-01 00:00:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
*,Japanese and Korean prices are CIF before regasification.,,,,,,,,,,,,,,,,,
