ENRON DEAL #,EOL #,DEAL DATE,FLOW START,FLOW END,VOLUME,DELIVERY POINT,DEAL TYPE,ENRON'S BUY/SALE,FIRMNESS
144378.1,,1998-09-15 00:00:00,2000-01-01 00:00:00,2000-12-31 00:00:00,408000,CINERGY (Into) System,FORWARD,B,Firm
147126.1,,1998-09-24 00:00:00,2000-01-01 00:00:00,2000-12-31 00:00:00,204000,CINERGY (Into) System,FORWARD,B,Firm
153992.1,,1998-10-21 00:00:00,2000-01-01 00:00:00,2002-12-31 00:00:00,289200,COB N/S,FORWARD,B,Firm
161541.1,,1998-11-19 00:00:00,2001-01-01 00:00:00,2001-12-31 00:00:00,219000,MID COLUMBIA,FORWARD,S,Firm
175316.1,,1999-01-20 00:00:00,2000-01-01 00:00:00,2000-12-31 00:00:00,204000,CINERGY (Into) System,FORWARD,S,Firm
179660.1,,1999-02-04 00:00:00,2000-01-01 00:00:00,2000-12-31 00:00:00,204000,PJM-Western Hub,FORWARD,B,Firm
180825.1,,1999-02-10 00:00:00,2000-10-01 00:00:00,2000-12-31 00:00:00,50400,PJM-Western Hub,FORWARD,B,Firm
181156.1,,1999-02-10 00:00:00,2000-10-01 00:00:00,2000-12-31 00:00:00,50400,PJM-Western Hub,FORWARD,B,Firm
181215.1,,1999-02-11 00:00:00,2000-10-01 00:00:00,2000-12-31 00:00:00,50400,PJM-Western Hub,FORWARD,B,Firm
186084.1,,1999-03-03 00:00:00,2000-01-01 00:00:00,2000-12-31 00:00:00,439200,MID COLUMBIA,FORWARD,B,Firm
189716.1,,1999-03-15 00:00:00,2000-01-01 00:00:00,2000-12-31 00:00:00,122800,PALO VERDE,FORWARD,B,Firm
191784.1,,1999-03-24 00:00:00,2001-07-01 00:00:00,2001-08-31 00:00:00,35200,CINERGY (Into) System,FORWARD,S,Firm
192145.1,,1999-03-25 00:00:00,2000-01-01 00:00:00,2000-12-31 00:00:00,204000,PJM-Western Hub,FORWARD,B,Firm
199084.1,,1999-04-20 00:00:00,2000-01-01 00:00:00,2000-12-31 00:00:00,204000,PJM-Western Hub,FORWARD,S,Firm
203212.1,,1999-05-03 00:00:00,2000-01-01 00:00:00,2000-12-31 00:00:00,204000,PJM-Western Hub,FORWARD,S,Firm
208422.1,,1999-05-19 00:00:00,2000-01-01 00:00:00,2000-12-31 00:00:00,204000,PJM-Western Hub,FORWARD,B,Firm
209214.1,,1999-05-21 00:00:00,2000-01-01 00:00:00,2000-12-31 00:00:00,204000,PJM-Western Hub,FORWARD,S,Firm
211006.1,,1999-05-27 00:00:00,2000-01-01 00:00:00,2000-12-31 00:00:00,122800,COB N/S,FORWARD,B,Firm
211080.1,,1999-05-27 00:00:00,2000-01-01 00:00:00,2000-12-31 00:00:00,204000,PJM-Western Hub,FORWARD,S,Firm
214055.1,,1999-06-07 00:00:00,2000-01-01 00:00:00,2000-12-31 00:00:00,204000,PJM-Western Hub,FORWARD,B,Firm
225994.1,,1999-07-14 00:00:00,2000-10-01 00:00:00,2000-12-31 00:00:00,60800,PALO VERDE,FORWARD,S,Firm
228696.1,,1999-07-23 00:00:00,2000-10-01 00:00:00,2000-12-31 00:00:00,151200,PJM-Western Hub,FORWARD,B,Firm
228702.1,,1999-07-23 00:00:00,2000-10-01 00:00:00,2000-12-31 00:00:00,201600,PJM-Western Hub,FORWARD,B,Firm
228727.1,,1999-07-23 00:00:00,2000-10-01 00:00:00,2000-12-31 00:00:00,100800,PJM-Western Hub,FORWARD,B,Firm
229659.1,,1999-07-27 00:00:00,2000-01-01 00:00:00,2000-12-31 00:00:00,122800,PALO VERDE,FORWARD,S,Firm
232850.1,,1999-08-06 00:00:00,2000-10-01 00:00:00,2000-12-31 00:00:00,50400,PJM-Western Hub,FORWARD,B,Firm
232922.1,,1999-08-06 00:00:00,2000-10-01 00:00:00,2000-12-31 00:00:00,50400,PJM-Western Hub,FORWARD,B,Firm
242524.1,,1999-09-10 00:00:00,2000-01-01 00:00:00,2000-12-31 00:00:00,204000,PJM-Western Hub,FORWARD,B,Firm
247847.1,,1999-09-29 00:00:00,2000-01-01 00:00:00,2000-12-31 00:00:00,204000,PJM-Western Hub,FORWARD,B,Firm
250341.1,,1999-10-07 00:00:00,2000-01-01 00:00:00,2000-12-31 00:00:00,122800,COB N/S,FORWARD,B,Firm
252140.1,,1999-10-13 00:00:00,2000-10-01 00:00:00,2000-12-31 00:00:00,50400,PJM-Western Hub,FORWARD,B,Firm
252198.1,,1999-10-13 00:00:00,2000-12-01 00:00:00,2000-12-31 00:00:00,16000,PJM-Western Hub,FORWARD,B,Firm
255119.1,,1999-10-21 00:00:00,2001-06-01 00:00:00,2001-06-30 00:00:00,16800,CINERGY (Into) System,FORWARD,S,Firm
257121.1,,1999-10-27 00:00:00,2000-10-01 00:00:00,2000-12-31 00:00:00,30400,PALO VERDE,FORWARD,B,Firm
259897.1,,1999-11-04 00:00:00,2001-07-01 00:00:00,2001-08-31 00:00:00,35200,CINERGY (Into) System,FORWARD,S,Firm
260669.1,,1999-11-08 00:00:00,2001-01-01 00:00:00,2001-02-28 00:00:00,67200,CINERGY (Into) System,FORWARD,B,Firm
260713.1,,1999-11-08 00:00:00,2001-01-01 00:00:00,2001-02-28 00:00:00,33600,CINERGY (Into) System,FORWARD,B,Firm
261398.1,,1999-11-09 00:00:00,2000-10-01 00:00:00,2000-12-31 00:00:00,50400,CINERGY (Into) System,FORWARD,B,Firm
261923.1,,1999-11-10 00:00:00,2000-10-01 00:00:00,2000-12-31 00:00:00,50400,PJM-Western Hub,FORWARD,S,Firm
264388.1,,1999-11-17 00:00:00,2000-01-01 00:00:00,2000-12-31 00:00:00,122800,COB N/S,FORWARD,S,Firm
264389.1,,1999-11-17 00:00:00,2000-01-01 00:00:00,2000-12-31 00:00:00,122800,NP-15,FORWARD,B,CAISO Energy
264984.1,,1999-11-22 00:00:00,2000-10-01 00:00:00,2000-12-31 00:00:00,50400,PJM-Western Hub,FORWARD,S,Firm
265363.1,,1999-11-23 00:00:00,2001-06-01 00:00:00,2001-06-30 00:00:00,67200,CINERGY (Into) System,FORWARD,S,Firm
266473.1,,1999-11-29 00:00:00,2001-07-01 00:00:00,2001-08-31 00:00:00,35200,CINERGY (Into) System,FORWARD,S,Firm
268628.1,,1999-12-07 00:00:00,2000-10-01 00:00:00,2000-12-31 00:00:00,50400,CINERGY (Into) System,FORWARD,S,Firm
270194.1,,1999-12-13 00:00:00,2001-01-01 00:00:00,2001-02-28 00:00:00,33600,CINERGY (Into) System,FORWARD,B,Firm
270367.1,66179,1999-12-14 00:00:00,2001-01-01 00:00:00,2001-02-28 00:00:00,33600,CINERGY (Into) System,FORWARD,S,Firm
270510.1,,1999-12-14 00:00:00,2001-01-01 00:00:00,2001-02-28 00:00:00,33600,CINERGY (Into) System,FORWARD,S,Firm
270830.1,,1999-12-15 00:00:00,2001-01-01 00:00:00,2004-12-31 00:00:00,163520,CINERGY (Into) System,FORWARD,S,Firm
270835.1,,1999-12-15 00:00:00,2005-01-01 00:00:00,2008-12-31 00:00:00,163200,CINERGY (Into) System,FORWARD,B,Firm
271233.1,,1999-12-16 00:00:00,2000-10-01 00:00:00,2000-12-31 00:00:00,60800,MID COLUMBIA,FORWARD,B,Firm
271234.1,,1999-12-16 00:00:00,2000-10-01 00:00:00,2000-12-31 00:00:00,60800,COB N/S,FORWARD,S,Firm
271348.1,,1999-12-16 00:00:00,2001-01-01 00:00:00,2001-02-28 00:00:00,33600,CINERGY (Into) System,FORWARD,B,Firm
271355.1,,1999-12-16 00:00:00,2001-01-01 00:00:00,2001-02-28 00:00:00,33600,CINERGY (Into) System,FORWARD,B,Firm
276360.1,,2000-01-04 00:00:00,2001-01-01 00:00:00,2001-02-28 00:00:00,33600,PJM-Western Hub,FORWARD,S,Firm
277570.1,,2000-01-06 00:00:00,2000-10-01 00:00:00,2000-12-31 00:00:00,30400,MID COLUMBIA,FORWARD,B,Firm
277870.2,,2000-01-07 00:00:00,2001-03-01 00:00:00,2001-03-31 00:00:00,52800,PJM-Western Hub,FORWARD,S,Firm
277909.1,,2000-01-07 00:00:00,2001-04-01 00:00:00,2001-04-30 00:00:00,67200,PJM-Western Hub,FORWARD,B,Firm
277971.1,72624,2000-01-07 00:00:00,2000-10-01 00:00:00,2000-12-31 00:00:00,50400,CINERGY (Into) System,FORWARD,S,Firm
277982.1,,2000-01-07 00:00:00,2000-03-01 00:00:00,2000-12-31 00:00:00,198288,Consumers Power System Border,FORWARD,B,Firm
278003.1,,2000-01-05 00:00:00,2001-01-01 00:00:00,2009-12-31 00:00:00,421360,ERCOT System,FORWARD,B,Unplanned B
279752.1,,2000-01-12 00:00:00,2000-10-01 00:00:00,2000-12-31 00:00:00,24825,PALO VERDE,FORWARD,S,Firm
280678.1,,2000-01-14 00:00:00,2000-10-01 00:00:00,2000-12-31 00:00:00,50400,TVA  (Into) System Border,FORWARD,S,Firm
280762.1,,2000-01-14 00:00:00,2000-10-01 00:00:00,2000-12-31 00:00:00,50400,CINERGY (Into) System,FORWARD,B,Firm
282494.1,,2000-01-19 00:00:00,2001-01-01 00:00:00,2001-02-28 00:00:00,33600,PJM-Western Hub,FORWARD,B,Firm
283263.1,78141,2000-01-21 00:00:00,2001-01-01 00:00:00,2001-02-28 00:00:00,33600,CINERGY (Into) System,FORWARD,B,Firm
285283.1,,2000-01-25 00:00:00,2001-07-01 00:00:00,2001-08-31 00:00:00,35200,PJM-Western Hub,FORWARD,S,Firm
286037.1,,2000-01-26 00:00:00,2001-01-01 00:00:00,2001-02-28 00:00:00,33600,CINERGY (Into) System,FORWARD,B,Firm
286070.1,,2000-01-26 00:00:00,2000-10-01 00:00:00,2000-12-31 00:00:00,403200,CINERGY (Into) System,FORWARD,B,Firm
290553.1,,2000-02-04 00:00:00,2001-07-01 00:00:00,2001-08-31 00:00:00,35200,PJM-Western Hub,FORWARD,S,Firm
291225.1,89663,2000-02-07 00:00:00,2001-01-01 00:00:00,2001-02-28 00:00:00,33600,CINERGY (Into) System,FORWARD,B,Firm
291340.1,89999,2000-02-07 00:00:00,2001-01-01 00:00:00,2001-02-28 00:00:00,33600,CINERGY (Into) System,FORWARD,B,Firm
293801.1,,2000-02-11 00:00:00,2000-10-01 00:00:00,2000-12-31 00:00:00,100800,PJM-Western Hub,FORWARD,B,Firm
293803.1,,2000-02-11 00:00:00,2001-04-01 00:00:00,2001-04-30 00:00:00,33600,PJM-Western Hub,FORWARD,B,Firm
293805.1,,2000-02-11 00:00:00,2001-03-01 00:00:00,2001-03-31 00:00:00,35200,PJM-Western Hub,FORWARD,S,Firm
293811.1,,2000-02-11 00:00:00,2000-12-01 00:00:00,2000-12-31 00:00:00,96000,PJM-Western Hub,FORWARD,B,Firm
293813.1,,2000-02-11 00:00:00,2000-10-01 00:00:00,2000-12-31 00:00:00,100800,PJM-Western Hub,FORWARD,S,Firm
294171.1,94526,2000-02-14 00:00:00,2001-01-01 00:00:00,2001-02-28 00:00:00,33600,PJM-Western Hub,FORWARD,S,Firm
294250.1,94897,2000-02-14 00:00:00,2001-09-01 00:00:00,2001-09-30 00:00:00,15200,PJM-Western Hub,FORWARD,S,Firm
294475.1,,2000-02-14 00:00:00,2001-01-01 00:00:00,2001-02-28 00:00:00,33600,PJM-Western Hub,FORWARD,B,Firm
294478.1,,2000-02-14 00:00:00,2001-01-01 00:00:00,2001-02-28 00:00:00,33600,PJM-Western Hub,FORWARD,B,Firm
294482.1,,2000-02-14 00:00:00,2001-06-01 00:00:00,2001-06-30 00:00:00,16800,PJM-Western Hub,FORWARD,S,Firm
297726.1,99684,2000-02-22 00:00:00,2001-01-01 00:00:00,2001-02-28 00:00:00,33600,PJM-Western Hub,FORWARD,S,Firm
297834.1,,2000-02-22 00:00:00,2001-07-01 00:00:00,2001-08-31 00:00:00,35200,PJM-Western Hub,FORWARD,S,Firm
297838.1,,2000-02-22 00:00:00,2000-12-01 00:00:00,2000-12-31 00:00:00,16000,PJM-Western Hub,FORWARD,B,Firm
297914.1,,2000-02-22 00:00:00,2000-10-01 00:00:00,2000-12-31 00:00:00,50400,Entergy (Into) System Border,FORWARD,S,Firm
297937.1,,2000-02-22 00:00:00,2001-01-01 00:00:00,2001-03-31 00:00:00,30800,COB N/S,FORWARD,B,Firm
297941.1,,2000-02-22 00:00:00,2001-07-01 00:00:00,2005-09-30 00:00:00,153600,PALO VERDE,FORWARD,S,Firm
299248.1,103024,2000-02-25 00:00:00,2001-01-01 00:00:00,2001-02-28 00:00:00,16800,NEPOOL PTF,FORWARD,S,Firm
299687.1,103439,2000-02-28 00:00:00,2001-07-01 00:00:00,2001-08-31 00:00:00,35200,PJM-Western Hub,FORWARD,B,Firm
299955.1,,2000-02-28 00:00:00,2001-07-01 00:00:00,2001-09-30 00:00:00,30400,MID COLUMBIA,FORWARD,B,Firm
299984.1,,2000-02-28 00:00:00,2002-01-01 00:00:00,2002-12-31 00:00:00,122800,COB N/S,FORWARD,B,Firm
299985.1,,2000-02-28 00:00:00,2001-01-01 00:00:00,2001-12-31 00:00:00,122800,COB N/S,FORWARD,S,Firm
300599.1,,2000-02-28 00:00:00,2001-07-01 00:00:00,2001-09-30 00:00:00,30400,MID COLUMBIA,FORWARD,B,Firm
301158.1,,2000-03-01 00:00:00,2001-05-01 00:00:00,2001-05-31 00:00:00,35200,PJM-Western Hub,FORWARD,S,Firm
301250.1,,2000-03-01 00:00:00,2001-07-01 00:00:00,2001-09-30 00:00:00,30400,MID COLUMBIA,FORWARD,B,Firm
302561.1,,2000-03-03 00:00:00,2001-09-01 00:00:00,2001-09-30 00:00:00,76000,PJM-Western Hub,FORWARD,B,Firm
302787.1,,2000-03-06 00:00:00,2001-07-01 00:00:00,2001-08-31 00:00:00,35200,PJM-Western Hub,FORWARD,B,Firm
302852.1,,2000-03-06 00:00:00,2001-05-01 00:00:00,2001-05-31 00:00:00,70400,PJM-Western Hub,FORWARD,B,Firm
302853.1,,2000-03-06 00:00:00,2001-06-01 00:00:00,2001-06-30 00:00:00,33600,PJM-Western Hub,FORWARD,B,Firm
304006.1,,2000-03-08 00:00:00,2001-07-01 00:00:00,2001-08-31 00:00:00,105600,PJM-Western Hub,FORWARD,B,Firm
304124.1,,2000-03-08 00:00:00,2001-06-01 00:00:00,2001-06-30 00:00:00,16800,PJM-Western Hub,FORWARD,B,Firm
304376.1,,2000-03-08 00:00:00,2001-01-01 00:00:00,2001-02-28 00:00:00,33600,NEPOOL PTF,FORWARD,B,Firm
305192.1,,2000-03-09 00:00:00,2001-05-01 00:00:00,2001-05-31 00:00:00,17600,CINERGY (Into) System,FORWARD,S,Firm
305194.1,,2000-03-09 00:00:00,2003-06-01 00:00:00,2003-06-30 00:00:00,33600,CINERGY (Into) System,FORWARD,S,Firm
305655.1,,2000-03-10 00:00:00,2001-05-01 00:00:00,2001-05-31 00:00:00,176000,PJM-Western Hub,FORWARD,B,Firm
305656.1,,2000-03-10 00:00:00,2001-06-01 00:00:00,2001-06-30 00:00:00,168000,PJM-Western Hub,FORWARD,B,Firm
305657.1,,2000-03-10 00:00:00,2001-07-01 00:00:00,2001-08-31 00:00:00,176000,PJM-Western Hub,FORWARD,B,Firm
306527.1,,2000-03-13 00:00:00,2001-01-01 00:00:00,2001-02-28 00:00:00,33600,PJM-Western Hub,FORWARD,B,Firm
306582.1,,2000-03-13 00:00:00,2000-10-01 00:00:00,2000-12-31 00:00:00,30400,COB N/S,FORWARD,B,Firm
306735.1,,2000-03-14 00:00:00,2001-01-01 00:00:00,2001-02-28 00:00:00,33600,PJM-Western Hub,FORWARD,B,Firm
306736.1,,2000-03-14 00:00:00,2001-01-01 00:00:00,2001-02-28 00:00:00,134400,PJM-Western Hub,FORWARD,B,Firm
307182.1,,2000-03-14 00:00:00,2001-01-01 00:00:00,2001-12-31 00:00:00,122800,MID COLUMBIA,FORWARD,B,Firm
307306.1,118639,2000-03-15 00:00:00,2001-01-01 00:00:00,2001-02-28 00:00:00,33600,NEPOOL PTF,FORWARD,B,Firm
307321.1,,2000-03-15 00:00:00,2001-01-01 00:00:00,2001-02-28 00:00:00,134400,PJM-Western Hub,FORWARD,B,Firm
307345.1,,2000-03-15 00:00:00,2001-01-01 00:00:00,2001-12-31 00:00:00,204000,PJM-Western Hub,FORWARD,S,Firm
