,,,,
,,,,
Old Company,Old RC,New Company,Cost Center,Description
413,0000,413,105680,NA-Enron North America B/S
413,0006,413,105653,NA-Finance Originations M&A
413,0007,413,105654,NA-Power Assets
413,0009,413,106585,NA-Energy Finance G&A
413,0010,413,105896,NA-East Power Trading
413,0031,413,105722,NA-Office of the Chair
413,0063,413,105602,NA-Energy Ops Logisitics
413,0080,413,106736,NA-Lan Infrastructure
413,0094,413,105590,NA-Energy Ops Info and Records Mgmt
413,0096,413,105682,NA-Aviation Charges
413,0098,413,105723,NA-Office of the Chair Executive
413,0102,413,105655,NA-Executive
413,0112,413,105688,NA-Company 413 Group
413,0120,413,105574,NA-HR Compensation and Perf Management
413,0139,413,105575,NA-HR North America
413,0235,413,105894,NA-Financial Gas
413,0236,413,105595,NA-Energy Ops Global Facilities
413,0259,413,105645,NA-IT Trader Support
413,0261,413,105625,NA-Energy Ops Physical Pwr Confirmations
413,0263,413,105618,NA-Energy Ops Deal Validation
413,0264,413,105576,NA-HR Commercial Training/Leadership
413,0266,413,106827,NA-Ag Trading
413,0271,413,106585,NA-Energy Finance G&A
413,0276,413,106803,NA-Day Rate Hedging
413,0278,413,106585,NA-Energy Finance G&A
413,0332,413,105979,NA-Gas Logistics Control
413,0366,413,105664,NA-BAR Gas and Transmission Assets
413,0406,413,105646,NA-IT EDS Prepaid
413,0418,413,105647,NA-IT Operation Systems
413,0422,413,105683,NA-London Billable
413,0448,413,105626,NA-Energy Ops Power Logistics
413,0450,413,105596,NA-Energy Ops Global Contracts
413,0454,413,105649,NA-IT System Allocation
413,0463,413,105612,NA-Energy Ops Financial Confimarions
413,0466,413,106327,NA-CTG NAES BUC
413,0468,413,105587,NA-Energy Ops Depreciation
413,0469,413,105871,NA-Controls and Risk
413,0470,413,105872,NA-Risk Management
413,0473,413,105665,NA-BAR SAP Implementation
413,0475,413,105603,NA-Energy Ops Gas Logisitcs SE
413,0476,413,105666,NA-BAR Trading Assets
413,0491,413,105649,NA-IT System Allocation
413,0513,413,105724,NA-Office of the Chair Vice Presidemt
413,0521,413,106799,NA-Upstream Transport
413,0524,413,105587,NA-Energy Ops Depreciation
413,0537,413,105684,NA-Canadian Billable
413,0547,413,106303,NA-Middle Market Nymex Houston
413,0565,413,105587,NA-Energy Ops Depreciation
413,0574,413,106752,NA-Asset Trading
413,0602,413,105886,NA-West Originations Portland
413,0618,413,106612,NA-Treasury G&A
413,0621,413,106753,NA-Financial Trading
413,0626,413,106348,NA-Energy Operations Phys Gas Confirm
413,0630,413,105656,NA-Legal Litigation
413,0635,413,105882,NA-East Originations Houston
413,0661,413,106336,NA-Gas Logistics
413,0671,413,105577,NA-HR North America
413,0674,413,105649,NA-IT System Allocation
413,0688,413,105631,NA-Energy Ops On System Settlements
413,0719,413,105604,NA-Energy Ops Gas Logisitcs NE
413,0720,413,105605,NA-Energy Ops Gas Logistics Central
413,0721,413,105606,NA-Energy Ops Gas Logistics West
413,0726,413,105667,NA-BAR Consolidated Reporting
413,0743,413,105572,NA-ENA Tax Support
413,0753,413,105662,NA-BAR Executive
413,0754,413,105648,NA-IT Vice President
413,0758,413,105619,NA-Energy Ops Client Services
413,0761,413,105587,NA-Energy Ops Depreciation
413,0765,413,105890,NA-East Gas Trading
413,0766,413,105892,NA-Central Gas Trading
413,0768,413,105891,NA-West Gas Trading
413,0771,413,105668,NA-BAR Merchant Finance and Comm Trans
413,0790,413,105649,NA-IT System Allocation
413,0791,413,105649,NA-IT System Allocation
413,0813,413,105588,NA-Energy Ops Management
413,0818,413,105980,NA-Gas Logistics
413,0821,413,105725,NA-Office of the Chair Executive
413,0825,413,106263,NA-CTG Commodity Structuring
413,0828,413,105649,NA-IT System Allocation
413,0834,413,105627,NA-Energy Ops Power Settlement
413,0847,413,105589,NA-Energy Ops Strategic Operations
413,0849,413,105613,NA-Energy Ops Financial Statements
413,0928,413,105640,NA-Energy Ops Sirius
413,0930,413,106754,NA-ENA Risk Management
413,1132,413,105914,NA-Equity Trading
413,1147,413,105688,NA-Company 413 Group
413,1151,413,106755,NA-HR Retail Energy
413,1157,413,105657,NA-Physical and Financial Trading
413,1159,413,105658,NA-Legal Emerging Markets
413,1160,413,105632,NA-Energy Ops Volume Management TX
413,1161,413,106349,NA-Office of the Chair
413,1162,413,105623,NA-Energy Ops Power Risk Mgmt East
413,1177,413,106585,NA-Energy Finance G&A
413,1187,413,106802,NA-E Commerc/Outsourcing
413,1188,413,105757,NA-CTG Treasury
413,1190,413,105607,NA-Energy Ops GISB Logisitcs
413,1191,413,105608,NA-Energy Ops Sirius Unify
413,1194,413,106606,NA-Currency Trading
413,1230,413,105887,NA-West Originations San Francisco
413,1231,413,106365,NA-East Other Expenses
413,1234,413,106594,NA-Rocky Mountain G&A
413,1235,413,106635,NA-Principal Investing G&A
413,1248,413,105688,NA-Company 413 Group
413,1251,413,106621,NA-Equity Trading G&A
413,1262,413,106593,NA-Gas Network Opererations
413,1263,413,106592,NA-Gas Network Engineering G&A
413,1269,413,106333,NA-Bridgeline Commercial
413,1270,413,106279,NA-IT Mgmt
413,1275,413,105573,NA-Public Relations
413,1277,413,106271,NA-EES Global Ctrpty
413,1278,413,106322,NA-CTG Midstream
413,1279,413,106694,NA-CTG Transaction Development
413,1280,413,106636,NA-Downstream Trans Dev
413,1281,413,106301,NA-Enron Networks - Paper
413,1282,413,106735,NA-IT Energy Ops
413,1285,413,106756,NA-Enron Networks
413,1354,413,105732,NA-Capital Risk Management
413,1358,413,105689,NA-SAP Project
413,1363,413,106347,NA-Mexico Charges
413,1368,413,105867,NA-American Coal Trading
413,1370,413,105649,NA-IT System Allocation
413,1402,413,105717,NA-Corporate Charges North America
413,1477,413,106358,NA-East Originations - Midstream
413,1487,413,105912,Na-Paper Trading
413,1491,413,106761,NA-Client Svc GP
413,1492,413,106757,NA-WPT System Costs
413,1495,413,105659,NA-Gas Assets
413,1497,413,105633,NA-Energy Ops Gas Logistics TX
413,1499,413,106820,NA-Energy Ops - SAP
413,1631,413,105594,NA-Energy Ops Global Financial Products
413,1638,413,105634,NA-Energy Ops TX Gas Team
413,1639,413,105998,NA-Resevoir Engineering
413,1645,413,105718,NA-Corporate Charges North America
413,1649,413,105719,NA-Corporate Charges North America
413,1701,413,105990,NA-Asset Management
413,1702,413,105985,NA-Asset Development
413,1703,413,105987,NA-Strategic Ventures
413,1704,413,105991,NA-Asset Facility Planning
413,1706,413,105714,NA-Other Allocations
413,1707,413,105726,NA-Competitive Analysis
413,1708,413,106295,NA-Business to Business
413,1709,413,106323,NA-CTG Assets
413,1710,413,106302,NA-Industrial Energy Originations
413,1713,413,106758,NA-Coal Australia
413,1714,413,106762,NA-West Power Trading
413,1717,413,105900,NA-West Power Trading
413,1726,413,106585,NA-Energy Finance G&A
