The Enron 12/31/01 Stock Price Picks,,,,,,,,,,,,,,,,,,,
I.  Raw Data,,,,,,,III. Graphs,,,,,,,,,,,,
,"""Junior""","""Junior""","""Senior""","""Senior""",,,,,,,,,,,,,,,
,7.5,AN,12.8,DR,,,,,,,,,,8.0,Bin,Frequency,,,7.5
,9,SS,17.76,MG,,,,,,,,,,10.0,8,1,,,9.0
,11.13,SS,18.59,DR,,,,,,,,,,12.0,10,1,,,11.13
,12.75,AN,18.85,DR,,,,,,,,,,14.0,12,1,,,12.75
,13.78,AS,19.25,DR,,,,,,,,,,16.0,14,2,,,13.78
,17.43,AN,21.4,DR,,,,,,,,,,18.0,16,0,,,17.43
,19.5,SS,21.49,MG,,,,,,,,,,20.0,18,1,,,19.5
,19.72,SP,22.5,MG,,,,,,,,,,22.0,20,2,,,19.72
,20.52,AN,23.5,DR,,,,,,,,,,24.0,22,4,,,20.52
,20.65,S,23.69,MG,,,,,,,,,,26.0,24,2,,,20.65
,21,SS,23.75,DR,,,,,,,,,,28.0,26,5,,,21.0
,21.5,AS,24,MG,,,,,,,,,,30.0,28,1,,,21.5
,22.11,AN,26.42,DR,,,,,,,,,,32.0,30,3,,,22.11
,23.38,AS,26.5,DR,,,,,,,,,,34.0,32,1,,,23.38
,24.12,AN,27.5,MG,,,,,,,,,,36.0,34,0,,,24.12
,24.25,AS,28.15,DR,,,,,,,,,,38.0,36,0,,,24.25
,25,SS,,,,,,,,,,,,,38,2,,,25.0
,25.32,AN,,,,,,,,,,,,,More,0,,,25.32
,26,SS,,,,,,,,,,,,,,,,,26.0
,27.79,AN,,,,,,,,,,,,,,,,,27.79
,29,S,,,,,,,,,,,,,Bin,Frequency,,,29.0
,29.5,AN,,,,,,,,,,,,,8,0,,,29.5
,29.92,AN,,,,,,,,,,,,,10,0,,,29.92
,32,AS,,,,,,,,,,,,,12,0,,,32.0
,36.01,AN,,,,,,,,,,,,,14,1,,,36.01
,37.04,AN,,,,,,,,,,,,,16,0,,,37.04
,,,,,,,,,,,,,,,18,1,,,12.8
II. Statistics,,,,,,,,,,,,,,,20,3,,,17.76
,"""Junior""",,"""Senior""",,Total,,,,,,,,,,22,2,,,18.59
Average,22.53538461538462,,22.259375,,22.430238095238096,,,,,,,,,,24,5,,,18.85
Median,22.744999999999997,,23,,22.939999999999998,,,,,,,,,,26,0,,,19.25
High,37.04,,28.15,,37.04,,,,,,,,,,28,3,,,21.4
Low,7.5,,12.8,,7.5,,,,,,,,,,30,1,,,21.49
Spread,29.54,,15.349999999999998,,29.54,,,,,,,,,,32,0,,,22.5
Std. Dev.,7.621441979452041,,4.095134460551945,,6.4476615114565625,,,,,,,,,,34,0,,,23.5
Count,26,,16,,42,,,,,,,,,,36,0,,,23.69
,,,,,,,,,,,,,,,38,0,,,23.75
,,,,,,,,,,,,,,,More,0,,,24.0
,,,,,,,,,,,,,,,,,,,26.42
,,,,,,,,,,,,,,,,,,,26.5
,,,,,,,,,,,,,,,Bin,Frequency,,,27.5
,,,,,,,,,,,,,,,8,1,,,28.15
,,,,,,,,,,,,,,,10,1,,,
,,,,,,,,,,,,,,,12,1,,,
,,,,,,,,,,,,,,,14,3,,,
,,,,,,,,,,,,,,,16,0,,,
,,,,,,,,,,,,,,,18,2,,,
,,,,,,,,,,,,,,,20,5,,,
,,,,,,,,,,,,,,,22,6,,,
,,,,,,,,,,,,,,,24,7,,,
,,,,,,,,,,,,,,,26,5,,,
,,,,,,,,,,,,,,,28,4,,,
,,,,,,,,,,,,,,,30,4,,,
,,,,,,,,,,,,,,,32,1,,,
,,,,,,,,,,,,,,,34,0,,,
,,,,,,,,,,,,,,,36,0,,,
,,,,,,,,,,,,,,,38,2,,,
,,,,,,,,,,,,,,,More,0,,,
