,,Phy/,,,Monthly,PV,Discount,Mid,Fixed,,Mid
Counterparty,Deal Num,Fin,Pub Code,Period,Quantity,Quantity,Factor,Price,Price,Cash,Value
CROSSTEXENESER,VR7146.1,P,IF-TETCO/ETX,2002-05-01 00:00:00,31000,30703.4186,0.990432856933711,0.005,1e-07,0,153.514
CROSSTEXENESER,VR7146.1,P,IF-TETCO/ETX,2002-06-01 00:00:00,30000,29652.2381,0.988407935854086,0.005,1e-07,0,148.2582
CROSSTEXENESER,VR7146.1,P,IF-TETCO/ETX,2002-07-01 00:00:00,31000,30576.2265,0.986329886328037,0.005,1e-07,0,152.8781
CROSSTEXENESER,VR7146.1,P,IF-TETCO/ETX,2002-08-01 00:00:00,31000,30503.7699,0.983992576536741,0.005,1e-07,0,152.5158
CROSSTEXENESER,VR7146.1,P,IF-TETCO/ETX,2002-09-01 00:00:00,30000,29446.5782,0.981552608002441,0.005,1e-07,0,147.2299
CROSSTEXENESER,VR7146.1,P,IF-TETCO/ETX,2002-10-01 00:00:00,31000,30350.76,0.979056774556128,0.005,1e-07,0,151.7508
CROSSTEXENESER,VR7146.1,P,IF-TETCO/ETX,2002-11-01 00:00:00,30000,29289.3812,0.976312707736482,0.0025,1e-07,0,73.2205
CROSSTEXENESER,VR7146.1,P,IF-TETCO/ETX,2002-12-01 00:00:00,31000,30179.9041,0.973545293605352,0.0025,1e-07,0,75.4467
CROSSTEXENESER,VR7146.1,P,IF-TETCO/ETX,2003-01-01 00:00:00,31000,30086.9013,0.9705452036756,0.0025,1e-07,0,75.2142
CROSSTEXENESER,VR7146.1,P,IF-TETCO/ETX,2003-02-01 00:00:00,28000,27086.9866,0.967392378261224,0.0025,1e-07,0,67.7148
CROSSTEXENESER,VR7146.1,P,IF-TETCO/ETX,2003-03-01 00:00:00,31000,29897.6279,0.964439611017537,0.0025,1e-07,0,74.7411
CROSSTEXENESER,VR7146.1,P,IF-TETCO/ETX,2003-04-01 00:00:00,30000,28831.9,0.961063333272501,0.005,1e-07,0,144.1566
CROSSTEXENESER,VR7159.1,P,IF-TETCO/ETX,2003-05-01 00:00:00,46500,44533.446,0.957708515114718,0.005,1e-07,0,222.6628
CROSSTEXENESER,VR7159.1,P,IF-TETCO/ETX,2003-06-01 00:00:00,45000,42935.8246,0.954129435748229,0.005,1e-07,0,214.6748
CROSSTEXENESER,VR7159.1,P,IF-TETCO/ETX,2003-07-01 00:00:00,46500,44201.7946,0.950576228365362,0.005,1e-07,0,221.0046
CROSSTEXENESER,VR7159.1,P,IF-TETCO/ETX,2003-08-01 00:00:00,46500,44027.2938,0.946823522977017,0.005,1e-07,0,220.1321
CROSSTEXENESER,VR7159.1,P,IF-TETCO/ETX,2003-09-01 00:00:00,45000,42433.4306,0.942965125123024,0.005,1e-07,0,212.1629
CROSSTEXENESER,VR7159.1,P,IF-TETCO/ETX,2003-10-01 00:00:00,46500,43671.5207,0.939172487196339,0.005,1e-07,0,218.3532
CROSSTEXENESER,VR7159.1,P,IF-TETCO/ETX,2003-11-01 00:00:00,45000,42084.383,0.935208512108617,0.0025,1e-07,0,105.2067
CROSSTEXENESER,VR7159.1,P,IF-TETCO/ETX,2003-12-01 00:00:00,46500,43304.6651,0.931283120847519,0.0025,1e-07,0,108.2573
CROSSTEXENESER,VR7159.1,P,IF-TETCO/ETX,2004-01-01 00:00:00,46500,43112.857,0.927158215713369,0.0025,1e-07,0,107.7778
CROSSTEXENESER,VR7159.1,P,IF-TETCO/ETX,2004-02-01 00:00:00,43500,40149.128,0.922968460748243,0.0025,1e-07,0,100.3688
