,CITY OF GLENDALE,,,,,,,,,,
,CAISO SALES PURSUANT TO DOE ORDER,,,,,,,,,,
,Revised 11/19/01,,,,,,,,,,
,,,,,,,,,,,
,Ancillary Services,,,,,,Instructed Energy,,,,
,STL_QTY,,STL_AMT,,REFUND,,MWH Sold,,STL_AMT,,Refund (1)
,MWH,,,,,,MWH,,,,
2000-12-14 00:00:00,1301,,271984.82,,0,,,,0,,
2000-12-15 00:00:00,2500,,473330.85,,-40715.000400000004,,,,0,,
2000-12-16 00:00:00,2255,,363254.2,,-8669.5,,,,0,,
2000-12-17 00:00:00,2255,,254598.1,,-19259.49945,,,,0,,
2000-12-18 00:00:00,2085,,274683.1,,-14494.55,,17.1,,23916.74,,-13583.384829000002
2000-12-19 00:00:00,1827,,283156.26,,-5088.86,,,,0,,
2000-12-20 00:00:00,1765.55,,320814.89,,-26545.527599999987,,,,0,,
2000-12-21 00:00:00,1871.42,,310103.43,,-21234.6171,,,,0,,
2000-12-22 00:00:00,2035.76,,333315.95,,-9751.199600000004,,,,0,,
2000-12-23 00:00:00,1991.4,,276186.84,,-4662.650800000005,,,,0,,
2000-12-24 00:00:00,2714.4,,355043.27,,-901.5427860000007,,,,0,,
2000-12-25 00:00:00,2924.8,,319020.59,,0,,,,0,,
2000-12-26 00:00:00,3031.86,,337107.68,,-842.21,,,,0,,
2000-12-27 00:00:00,1355.2,,129618.3,,0,,,,0,,
2000-12-28 00:00:00,1372.6,,150538.11,,-2108.7968600000027,,,,0,,
2000-12-29 00:00:00,1360.8,,125491.65,,-29.64,,,,0,,
2000-12-30 00:00:00,1680,,151990.1,,-1083.9,,,,0,,
2000-12-31 00:00:00,1680,,125513.16,,0,,,,0,,
Total,36006.79,,4855751.300000001,,-155387.494596,,17,,23916.74,,-13583.384829000002
,,,,,,,,,,,
2001-01-01 00:00:00,1847.6,,137851.27,,0,,,,0,,
2001-01-02 00:00:00,1527.2,,162543.79,,-378,,,,0,,
2001-01-03 00:00:00,1512.14,,166998.16,,-378.72,,,,0,,
2001-01-04 00:00:00,1878.9,,157461.54,,-982.26,,,,0,,
2001-01-05 00:00:00,1737.4,,133328.75,,0,,,,0,,
2001-01-06 00:00:00,1591,,98470.96,,0,,,,0,,
2001-01-07 00:00:00,1150.95,,69322.82,,0,,,,0,,
2001-01-08 00:00:00,1392,,91435.36,,0,,,,0,,
2001-01-09 00:00:00,679.64,,33364.82,,0,,,,0,,
2001-01-10 00:00:00,974.96,,78829.26,,0,,120.7,,168932.57,,-122984.81811299997
2001-01-11 00:00:00,938.5,,86289.91,,0,,194.15,,272016.05,,-188411.31517549997
2001-01-12 00:00:00,885,,68298.52,,0,,49.12,,68774.05,,-47527.53530879999
2001-01-13 00:00:00,1425,,82528.92000000007,,0,,18.35,,25666.78,,-18288.9208165
2001-01-14 00:00:00,1500,,90593.86,,0,,9.17,,12833.29,,-9117.5969083
2001-01-15 00:00:00,1260,,79271.84,,0,,124.73,,174728.89,,-119200.84435270006
2001-01-16 00:00:00,1253,,96268.09,,0,,297.07,,448260.41,,-320964.7526888997
2001-01-17 00:00:00,1095,,109282.27,,-123.42,,350.03,,721469.4099999995,,-579862.0801565001
2001-01-18 00:00:00,1084,,97441.5,,-141.9,,289.03,,526427.199999999,,-411206.61691769975
2001-01-19 00:00:00,0,,0,,0,,0,,0,,0
2001-01-20 00:00:00,197,,9786.33,,-19.14,,6.08,,18249.98,,-15405.865560799997
2001-01-21 00:00:00,200,,6623.45,,0,,1.07,,3249.64,,-2673.8123107
2001-01-22 00:00:00,200,,8391.35,,0,,1.67,,5000.14,,-4179.2418167
2001-01-23 00:00:00,199.63,,7623.9,,0,,,,0,,
2001-01-24 00:00:00,120,,7733.98,,0,,,,0,,
2001-01-25 00:00:00,120,,3444.8,,0,,,,0,,
2001-01-26 00:00:00,100,,7639.75,,0,,,,0,,
2001-01-27 00:00:00,120,,11322.58,,0,,,,0,,
2001-01-28 00:00:00,105,,9697.6,,-292.25,,,,0,,
2001-01-29 00:00:00,113.97,,9467.83,,0,,,,0,,
2001-01-30 00:00:00,120,,14768.2,,0,,,,0,,
2001-01-31 00:00:00,110,,13840.25,,0,,,,0,,
Total,25437.890000000003,,1949921.6600000006,,-2315.6900000000005,,1461.1699999999998,,2445608.4099999988,,-1839823.4001260998
,,,,,,,,,,,
,,,,,,,,,,,
2001-02-01 00:00:00,100,,13030.3,,0,,,,,,
2001-02-02 00:00:00,110,,15101.65,,-32.85,,,,,,
2001-02-03 00:00:00,95,,12816.6,,-521.65,,,,,,
2001-02-04 00:00:00,95,,13425.7,,-215.6,,,,,,
2001-02-05 00:00:00,95,,13451.85,,0,,,,,,
2001-02-06 00:00:00,100,,13546.4,,0,,,,,,
Total,595,,81372.5,,-770.1,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Total Refund Due during  DOE Order,,,,,-158473.284596,,,,,,-1853406.7849551
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
DOE Order in effect with ISO Certificate,,,,,,,,,,,
ISO Purchases per DOE Order,,,,,,,,,,,
Go to Jail Day,,,,,,,,,,,
(1) Not adjusted for NOX credits,,,,,,,,,,,
