Ticker,Name,Last Price,Price Earnings Ratio (P/E),Avg. # of Shares for EPS,Earnings Per Share,Price to Book Ratio,Dividend 12 Month Yld - Gross,Dividend Indicated Yld - Net,Dividend Per Share Growth Rate,,
ENE,ENRON CORP,12.5,7.1,736.2,1.22,0.88,4,4,3.304,,
EPG,EL PASO CORPORATION,48.07,14.75,230.286,2.83,3.13,1.755,1.768,4.213,,
WMB,WILLIAMS COS INC,28.75,10.69,444.416,1.18,2.36,2.191,2.504,7.938,,
DYN,DYNEGY INC-CL A,35.62,17.72,302.011,1.54,2.82,0.842,0.842,64.375,,
KMI,KINDER MORGAN INC,49.01,27.23,114.063,1.33,2.93,0.408,0.408,-22.014,,
KMP,KINDER MORGAN ENERGY PRTNRS,37.81,24.96,126.212,1.34,2.01,5.488,5.819,26.922,,
EQT,EQUITABLE RESOURCES INC,32.68,12.97,65.1,1.63,2.62,1.882,1.958,0.833,,
ILA,AQUILA INC,18.75,#N/A N.A.,#N/A N.A.,#N/A N.A.,2.6,0,0,#N/A N Ap,,2.768
NFG,NATIONAL FUEL GAS CO,23.14,10.97,79.053,0.83,1.67,4.257,4.365,3.609,,
STR,QUESTAR CORP,22.11,10.84,80.412,1.95,1.71,3.166,3.256,3.478,,
NBP,NORTHERN BORDER PARTNERS-LP,38.81,15.78,29.665,2.5,1.71,7.698,7.859,6.311,,
EEP,ENBRIDGE ENERGY PARTNERS LP,43.49,35.94,28.9,1.78,2.3,8.048,8.048,6.125,,
WGR,WESTERN GAS RESOURCES INC,31.55,12.67,32.241,1.42,2.15,0.634,0.634,0,,
PAA,PLAINS ALL AMER PIPELINE LP,26,20.16,34.386,2.2,3.3,7.308,7.885,#N/A N Ap,,
BPL,BUCKEYE PARTNERS  -LP,35.05,13.69,27.063,3.56,2.7,6.919,7.133,10.455,,
EPN,EL PASO ENERGY PARTNERS LP,36.8,50.41,29.077,-0.03,3.46,6.284,6.658,#N/A N Ap,,
TPP,TEPPCO PARTNERS  -LP,34.88,17.71,33.6,1.89,2.77,6.164,6.594,8.197,,
KPP,KANEB PIPELINE PARTNERS LP,41.14,13.31,18.31,2.43,3.86,6.928,7.292,4.841,,
UDL,SHAMROCK LOGISTICS LP,36.04,#N/A N.A.,#N/A N.A.,#N/A N.A.,2.42,3.055,6.659,#N/A N Ap,,
TCLPZ,TC PIPELINES LP,26.25,#N/A N.A.,#N/A N Ap,#N/A N Ap,#N/A N.A.,7.429,7.619,#N/A N Ap,,
KSL,KANEB SERVICES LLC,18.65,#N/A N.A.,#N/A N.A.,#N/A N.A.,6.65,1.944,7.775,#N/A N Ap,,
TMG,TRANSMONTAIGNE INC,5.95,#N/A N.A.,31.448,0.08,1.08,0,0,#N/A N Ap,,
POCC,PENN OCTANE CORP,3.85,#N/A N.A.,12.97,0.11,5.61,0,0,#N/A N Ap,,
GEL,GENESIS ENERGY L.P.,4.39,14.16,8.617,0.02,0.44,24.601,18.223,#N/A N Ap,,
APL,ATLAS PIPELINE PARTNERS-UTS.,28.39,10.18,3.141,2.07,4.05,8.735,8.454,#N/A N Ap,,
BDCO,BLUE DOLPHIN ENERGY,3.34,30.36,5.963,-1.7,2.53,0,0,#N/A N Ap,,
PRTK,PROFILE TECHNOLOGIES INC,1.6,#N/A N.A.,4.285,-0.33,8.96,0,0,#N/A N Ap,,
GNRG,GATEWAY ENERGY CORP,0.45,#N/A N.A.,15.312,-0.06,1.06,0,0,#N/A N Ap,,
18758Z,SUNOCO LOGISTICS PARTNERS,#N/A N.A.,#N/A N.A.,#N/A N.A.,#N/A N.A.,#N/A N.A.,#N/A N Ap,#N/A N Ap,#N/A N Ap,,
TOFF,TATHAM OFFSHORE INC,0.01,#N/A N.A.,26.076,-3.21,#N/A N.A.,0,0,#N/A N Ap,,
WEG,WILLIAMS ENERGY PARTNERS LP,40.44,#N/A N.A.,#N/A N.A.,#N/A N.A.,2.01,3.541,5.712,#N/A N Ap,,
